gene_id	simbol	ratio
374000	CRYBB1	0
374001	CHRNA7	0.5348837209302326
374002	CKMT1A	0.20481927710843376
374003	POLK	1.556521739130435
374004	MYOG	NaN
374005	HCRT	2.6
374006	SAT1	0.6925897221891021
374007	CDH7	NaN
374008	EPHA6	NaN
374009	ACO2	1.5713414634146343
374010	UNG	1.0268997982515131
374011	MAB21L2	0.46990291262135925
374012	BIRC2	0.502301117685733
374015	FABP1	0
374016	LAMA1	Infinity
374017	BARX1	Infinity
374018	ILK	1.0529976813514408
374019	SOX3	0.7
374020	FECH	1.4278126508932882
374021	RNF111	0.8007915567282322
374022	DPYSL4	0
374024	TWSG1	1.3932794026135658
374025	SMN	1.4160177975528365
374026	ARNT	1.2640851212279784
374027	NEB	0.7674418604651163
374028	CLDN5	NaN
374030	PCBD2	1.347732181425486
374031	NOTCH2	0.9381116106850039
374033	UGT8	2.638453500522466
374034	AFAP1	0.6141732283464567
374035	GIT2	1.34086156419908
374037	HAT1	1.8083067092651757
374038	CBL	0.5686968838526912
374039	OGN	0
374040	DIAPH1	1.290274314214464
374042	SOD2	1.1983362521891419
374046	COL11A1	2.7
374047	CCND2	0.6080603725112396
374048	MYOD1	0.1875
374049	TPD52L1	1.9189189189189189
374050	DDB1	1.3997999333111038
374051	HOXA2	0.7777777777777777
374052	F5	3.3937753721244923
374053	RPS17	0.9637710257439879
374054	DAZL	NaN
374055	TRAF5	2.555555555555556
374056	GPX4	1.1123817444640816
374058	ITGB1	1.0625863116610508
374059	FZD8	0.7422062350119905
374060	FZD7	0.5496688741721854
374062	FZD1	0.8359739049394223
374065	KCNMA1	0.20717592592592593
374066	DCXR	1.8105349122090653
374067	PKNOX2	1.447488584474886
374068	CDH5	0
374069	MYH2	NaN
374071	KHDRBS1	1.5437629221226739
374072	SLC25A6	1.166568806723817
374073	CFDP1	0.9529243937232524
374074	HIRA	0.9094710432782772
374075	BTK	1.1304347826086956
374076	SIAH1	0.8897694524495676
374078	BIRC5	3.3029045643153525
374079	OPTN	1.3215831787260357
374080	TLE4	0.41160593792172734
374083	DAB1	1.2380952380952381
374084	ERAL1	1.1565265486725664
374087	ADARB1	1.9912891986062717
374088	IMPG1	0.39999999999999997
374089	SEMA3E	0
374090	SEMA3C	0.275609756097561
374091	P4HB	1.177136622187243
374092	CRY2	0.5970961887477314
374093	CRY1	1.1499606057953253
374094	TGFBR1	0.760515873015873
374095	ENTPD8	1.8923076923076922
374096	SMAD6	0.5236139630390143
374098	KCNIP2	0
374100	FLT1	4
374102	SDC2	0.8977850825702434
374103	ZIC1	0.926829268292683
374105	RIMBP2	1.5
374106	CDKN1B	0.48925129725722755
374108	FSHB	NaN
374110	PTGDS	4.783269961977187
374111	CELF2	Infinity
374113	ADAM10	0.939454094292804
374115	ARNTL	2.2788461538461537
374116	PER2	0.9017488076311606
374117	IGJ	0.5
374118	SUFU	0.8873692679002413
374119	NEDD4L	1.1490384615384615
374120	PPARA	0.582815734989648
374122	NDUFS4	1.3941344778254647
374123	UBE2I	1.08388922579341
374125	LITAF	3.703482587064676
374126	NAB1	0.7152487528650397
374127	PAX3	3.483870967741936
374128	PDGFB	2.6363636363636362
374129	LMO2	1.3333333333333335
374131	NR3C2	1.3059360730593608
374132	RPL39	0.9119291631686495
374133	RPL35	1.0096707672616085
374134	RPL14	0.9447085166561912
374135	CTGF	0.9800796812749004
374136	IL1RL1	NaN
374137	MEOX2	0.6666666666666667
374138	HIPK2	1.411730136342266
374139	BRCA2	3.148148148148148
374141	TLR2-1	1.5
374142	WNT3	NaN
374143	KCND2	0
374144	PTS	1.5018975332068312
374146	ERG	0
374147	BMPR2	0.9770328988206084
374148	SOX9	0.736842105263158
374150	ID4	0.737295081967213
374155	ST8SIA4	1.7131782945736433
374156	DKK1	NaN
374157	NRP2	1.5482076637824476
374158	DFFB	0.8204334365325078
374159	ATP5A1	1.3143333483530844
374161	THYN1	1.6338818249813014
374162	MKRN2	1.1685162351006988
374163	HSP90B1	0.3147613480000318
374165	FABP4	NaN
374166	P2RX4	2.1683467741935485
374168	WNT7A	0.34831460674157305
374169	CACNA1B	1.25
374173	SLIT3	3
374175	CAMK2A	0
374177	HIF1A	1.8725341426403643
374179	IRF4	0.9298245614035089
374180	ENAH	0.7490356251418198
374182	ROCK2	1.19009900990099
374184	IRX5	0.4426229508196722
374185	IRX1	0.3644859813084112
374186	UFD1L	1.0251128114577202
374187	PTCH2	1.0101010101010102
374188	PSEN2	1.2210953346855986
374189	ME1	2.523489932885906
374191	PDCD4	1.3161931818181816
374192	DUSP1	1.6665995570767063
374193	GAPDH	0.9884726874880159
374194	UBE3B	0.8597449908925318
374196	PDGFA	0.812280701754386
374197	ACTR3	0.9042229838970446
374198	APP	1.173222364195186
374199	JAK2	0.9635036496350364
374200	SOX18	NaN
374201	PITX1	5
374202	TBX3	2.988082340195016
374203	FBN2	0.7000000000000001
374204	QKI	0.9872251308900524
374205	CDX2	NaN
374206	SAP18	1.0602353307878125
374207	HDAC4	1.102588686481304
374208	PTPRG	2.0827250608272507
374209	ITGB3	1.9285714285714286
374211	CRABP1	0.3103448275862069
374212	ADORA1	Infinity
374213	ACVR2B	1.1557377049180328
374214	GABRA1	NaN
374215	POU1F1	2.25
374216	GUCA1A	0.7727272727272728
374218	CRHR1	NaN
374222	GLDC	0.9806763285024155
374223	LEPR	0.6363636363636364
374224	PAFAH1B1	0.993006993006993
374226	MAGOH	1.440812846383402
374228	KCND3	NaN
374229	TNFSF13B	0
374231	FOXO1A	2.621621621621622
374232	KAT2A	0.18662092624356774
374233	FKBP1A	0.8212303384666063
374234	SPTAN1	0.6129787433280268
374240	SOX1	NaN
374241	PI15	0.5402809460919678
374242	DCX	0.7222222222222223
374243	WNT2B	0.6428571428571429
374244	ATP2B1	0.8524997300507505
374246	NBN	0.6556354916067145
374249	GDF5	NaN
374251	TGFBR3	0.4290375203915171
374252	TNKS	2.6671251719394777
374253	TNKS2	1.5635775862068966
374254	LSP1	3.108843537414966
374255	MRPL23	1.130098452883263
374256	CD81	0.6737484223811527
374258	F9	3.1578947368421053
374259	CACNB4	0.7976653696498054
374260	STT3A	1.0348476297968396
374264	LIX1	NaN
374266	XIRP1	0.38461538461538464
374267	MBL2	0.6333907056798623
374268	PIK3AP1	0.7612732095490716
374269	TP63	NaN
374270	IL16	0.717948717948718
374272	DUSP6	2.283505154639175
374273	SURF4	0.9379687816744374
374274	TIAL1	0.9832726068234514
378424	ATXN3	1.2483720930232558
378779	BMP2	0.5570051049347703
378781	GH	1.7391304347826086
378782	EPHA1	2.2807017543859653
378783	KIT	1.6156583629893237
378784	NPFFR1	0.5517241379310346
378785	NPVF	0
378788	FZD6	1.1869328493647913
378789	SLC15A1	NaN
378790	RTN4	1.1718157971436898
378791	RTN1	Infinity
378792	RHBG	1.8189655172413792
378793	TRMT11	3.0615942028985508
378796	CAV3	Infinity
378797	GJB1	1.390544298768375
378798	ARSH	0
378799	MSH2	1.3638985005767013
378800	SOSTDC1	4
378801	STK25	0.8396443859071452
378802	SLC2A8	1.3630748112560054
378803	TNFRSF11B	1.9
378804	PPP3R1	1.159253499222395
378890	PPP3CB	1.5966037735849057
378891	CSNK1E	0.6796399594320487
378892	SMARCB1	0.8579654510556621
378893	FANCG	1.2079207920792079
378894	TNFSF10	3.986301369863014
378895	STX2	1.1589723002810117
378896	TERF1	1.7742363877822043
378897	THY1	0.04395604395604395
378898	DDAH1	0.6973859105006646
378899	FTD	2.5616438356164384
378901	RGS4	1.8421052631578947
378902	LOC378902	0.890303623898139
378903	CREM	0.24858305478854817
378905	FAM53A	0.7253521126760564
378906	ZP3	2.166666666666667
378907	SGMS1	1.6589147286821708
378908	SLA	Infinity
378909	PYGL	1.5573009639414492
378910	RECQL	0.8985138004246285
378911	GHSR	11.25
378912	RGS2	1.0021892483580639
378913	FLNB	0.804801930758988
378915	PSMB7	1.1254100106496272
378916	LHFPL5	NaN
378917	FGF9	0
378918	TRAM1	0.8461184058972587
378919	TRIB2	0.24967791806235504
378921	RIPK1	1.249215754618334
378922	BUB1B	3.1617357001972386
378924	HAL	0.7741935483870968
378926	ANKRD1	0.47058823529411764
378927	BRS3	NaN
378928	GRPR	Infinity
378929	PDE6H	NaN
378930	TNFSF8	NaN
379037	TERC	0
386571	SPARC	0.8392857142857142
386572	GRB2	1.1234837744171393
386574	NFKB2	1.1305263157894736
386575	YBX1	1.0375905765515703
386577	CHRNA5	0.5283018867924528
386578	CHRNA3	Infinity
386580	PTPRC	1
386581	ATP4B	1.25
386582	RB1	1.1518054532056006
386583	MMP2	NaN
386585	NR2F2	0.36944147990039133
386586	OCM2	1.277777777777778
386747	FMN1	2.1
387330	PAX5	0.12962962962962962
395067	CRIM1	0.8059701492537314
395070	POFUT1	1.1677215189873418
395071	FUT11	0.6651285431773236
395072	CHIA	0.927344782034346
395073	FUT10	0.2631578947368421
395074	CCDC80	7.666666666666665
395075	ARC	0.4615384615384615
395076	CDKN2B	0.46004464285714286
395078	ALG6	1.2534653465346532
395079	FBN2	NaN
395080	NT5C3	1.7157615894039735
395081	TPX2	2.369198312236287
395082	CCL20	6
395083	TNFRSF1B	2.4078014184397163
395084	ALC	2.571428571428571
395085	PROC	1.0750558926860427
395086	F7	1.3395721925133688
395087	TSPAN32	1.25
395088	ZMYND19	1.1688867745004758
395089	WRNIP1	1.5149384885764496
395090	TNFRSF8	2.3800738007380073
395091	PDE6G	0.648148148148148
395092	PDE6B	0
395093	PHACTR1	1.0666666666666667
395094	FGFBP2	1.3333333333333335
395095	LOC395095	NaN
395096	TNFRSF6B	Infinity
395097	IGF2	0
395098	DBC1	1.2
395099	CREB1	1.146451033243486
395100	LOC395100	2.5744680851063833
395101	UNC5C	1.4864864864864866
395102	POLH	1.6798516687268232
395104	TBX18	0.37373737373737376
395105	CRHR2	Infinity
395106	SS2	0.854922279792746
395107	FGFRL1	1.4939647168059424
395108	GZMA	0
395109	RFTN1	0.9939759036144579
395110	RGS3	3.5000000000000004
395111	IL17F	NaN
395112	POFUT2	1.3761878144214645
395113	PPP3CA	1.2590361445783134
395114	RHOQ	1.9062499999999996
395115	KCNA5	NaN
395116	KCNA10	NaN
395117	KCNA2	NaN
395118	RHAG	NaN
395119	ARVCF	1.4830614805520703
395120	STK40	1.1979851073149366
395121	RHD	2.2553191489361706
395122	TERF2IP	0.8973830088951915
395123	AIP	1.547517730496454
395124	CCNL2	1.1602551325493322
395126	USP7	1.1845794392523363
395127	AVEN	1.0778732545649838
395128	HES1	1.3345833333333335
395129	ANGPT1	NaN
395130	OPTC	Infinity
395131	SLC34A2	1.1666666666666667
395132	SMAD3	1.0858098799448928
395133	SGK1	1.6489660454429411
395134	NDC80	2.5674102812803103
395135	NUF2	3.1752397558849172
395136	PCSK2	0.25
395138	ST3GAL6	1.176923076923077
395139	ST3GAL2	0.7596532702915683
395140	HS2ST1	1.6126436781609197
395141	HS6ST1	1.8714722883373003
395142	ITGB5	1.1733615221987315
395145	HMGCR	1.1077783426537873
395146	TCF3	0.9421991420185143
395147	EIF2AK2	0.603483606557377
395148	NEBL	1.7936507936507935
395149	MRAS	0.44366197183098594
395150	HS6ST2	0.621301775147929
395152	AXIN2	NaN
395153	PTPRU	1.066790352504638
395154	DPYSL3	1.4582294264339153
395155	DPYSL2	0.48265978790484376
395156	CRMP1	0.5696403237920388
395157	HNRNPH1	0.8806698688822537
395158	NF2	1.4134742404227212
395159	LOC395159	NaN
395161	OAF	0.7630550940685196
395162	SHISA2	0.5216095380029806
395163	FSTL4	0.8028399781540142
395165	BHLHE23	Infinity
395166	FAT4	Infinity
395167	FAT3	2
395168	FAT1	1.1334629089731132
395170	RGS9BP	0.7204545454545455
395171	DSTYK	0.8253164556962025
395172	DHRS11	1.1199551569506727
395173	APTX	0.49293386093838326
395174	MTF2	0.9031838856400259
395175	EBF3	Infinity
395176	EBF2	0.5217391304347826
395177	BMP10	NaN
395178	UBA7	1.1698956780923992
395179	ROR1	1.1132075471698113
395180	CXCL12	1.3
395181	RPSA	0.931224975447609
395182	ST6GALNAC4	0.5924812030075187
395183	BSX	0
395184	SLC35A1	1.1881051175656985
395185	SLC35B1	0.9267949826989619
395186	IL17RD	1.3354166666666667
395188	SMC3	1.8426065162907268
395189	SMC4	2.2006010518407213
395190	P2RX1	NaN
395191	OTX2	NaN
395192	HEP21	NaN
395193	NR13	1.0355017006802723
395194	TLN1	1.1432192648922688
395196	IL1B	2.227272727272727
395197	RAB5C	1.1349706825976325
395198	CASQ2	0
395199	IL2RG	0.9375
395201	SH3GL3	0.2871287128712871
395202	SH3GL1	0.8946817420435511
395203	SH3GL2	9.875
395204	PCM1	1.3830334190231364
395205	NODAL	NaN
395206	CHST10	1.0591939546599496
395207	CENPI	1.9631067961165045
395208	MAB21L1	0.7916666666666667
395209	RARRES1	2
395210	SPP1	0.5203716940671909
395214	RGMA	0.7589285714285713
395215	SDK2	0.6585365853658537
395216	TMEM121	0.5252808988764045
395217	FBP2	0.9493670886075949
395218	FBP1	1.6235723350253806
395219	SOCS2	0.9916044776119403
395220	OGCHI	1.9471994291830181
395221	NR1H3	0.6523235800344234
395222	MTFR1	0.9127449338469268
395225	TOB1	0.6592899219869448
395226	IFRD1	1.0183713124889595
395227	SULT1B1	1.3883495145631068
395228	RDM1	1.3687821612349915
395229	TCF7	0.5
395231	HOXA3	1
395232	EIF4A2	0.7361623616236163
395233	DYRK1A	0.9274836838288615
395234	INVS	0.8387096774193549
395235	WNT6	1.2
395236	BID	1.2142079477408818
395237	SFRP1	0.375
395238	WFDC1	Infinity
395239	KCNIP4	1.26984126984127
395241	HOPX	0.42105263157894735
395242	EMB	Infinity
395243	IRF10	1.7303754266211604
395244	UNC93B1	2.0303030303030303
395245	MSX2	1.149214659685864
395246	ACVR1	0.8257721635985519
395247	SMAD2	0.8488175675675677
395248	KCNT1	0.2223719676549865
395249	DDX1	1.1541992519551174
395250	SSBP3	1.3620386643233742
395251	NSG1	0.626557632398754
395252	MESP2	0.2553191489361702
395253	NR2C2	1.1304347826086956
395254	FKBP1B	1.56
395255	FIGF	0.7058823529411764
395256	OC-116	NaN
395257	CBFB	0.9574266792809839
395258	IL15	0.8629629629629629
395259	TRPV1	1.48
395262	LIFR	0.43939393939393934
395263	DBI	1.336479078481715
395264	ALDH1A1	0.2872775400514411
395266	CPZ	1
395267	FMO6P	2.1708789522152867
395268	SSB	1.159181697131098
395269	RPL5	0.9588570624252234
395270	MOCS1	1.5017182130584192
395271	DMBX1	NaN
395272	CLTC	1.2555714031021572
395273	GJD2	NaN
395274	FAS	1.0343980343980343
395275	ZW10	1.3054323725055434
395276	CPA1	NaN
395277	PARK7	1.3031989905737402
395278	GJA1	1.375609756097561
395279	MYH7B	1.1220031965903037
395280	XIAP	1.35725677830941
395282	ID1	0.8487674883411059
395283	TRAIL-LIKE	1.5416666666666667
395284	CASP8	0.9533830580713906
395285	NR0B1	1.2175141242937852
395289	NR2E3	NaN
395290	HOXA7	1.3609898107714702
395291	ROBO2	1.375
395292	ROBO1	1.5689170182841068
395293	SLIT1	5.25
395294	IL2RA	1.25
395295	EIF2S2	0.9971315092674315
395298	SNRPB	1.462334709507569
395299	SOCS3	0.865638218462304
395300	SULT1C3	0.8169497440670079
395301	KCNMB1	NaN
395302	SP3	1.2338501291989665
395304	SREBF2	0.9827079566003617
395305	SSTR2	0.4482758620689656
395306	F2	0.9537832739467618
395307	HOXA4	0.9625
395308	SFTPA1	0.3269230769230769
395309	IKZF2	3.777777777777778
395312	IL18	0.7680981595092023
395313	MX1	0.8148148148148148
395314	CHAT	0.6
395315	GART	1.5203426124197001
395316	CENPH	3.9479166666666665
395317	CNTN5	1.7500000000000002
395318	PSMA7	0.9762230885400203
395319	ACZ	NaN
395320	CDX4	NaN
395321	TULP1	1.1166666666666667
395322	NKX2-1	0
395323	KDR	0.5
395324	CXCR4	0.11393805309734513
395326	NFIL3	1.1850699844479005
395327	HOXA11	1.8732394366197185
395328	HOXD11	NaN
395329	VIPR1	1.9471592237549684
395330	PTPRJ	2.104602510460251
395331	ST7L	1.5128458498023718
395332	TES	1.1542112815984105
395333	MOXD1	1.3333333333333335
395334	OPN4-1	3.5000000000000004
395335	CISH	1.1386861313868613
395336	TYRO3	0.43612334801762115
395337	IL6	0
395338	AKR1B10	0.6019947435811039
395339	ADCY9	0.782483156881617
395340	ADCY5	0.4285714285714285
395341	ENS-3	NaN
395342	CRTAM	0
395343	DAD1	0.9038380175279541
395344	SPINZ	0.664198606271777
395345	FABP1	8.247448979591837
395346	BCMO1	2.142857142857143
395347	MXRA8	1.35
395348	ACTR6	1.3992589161648912
395349	FSTL1	0.8314606741573034
395350	MYH7	1
395351	DPF3	3.76
395353	FKBP3	1.130471558469021
395354	CBX4	1.8545197740112995
395355	CBX3	1.0255732981150198
395356	MINPP1	0.735224586288416
395357	CENPF	3.692307692307692
395358	BCHE	1.754730713245997
395359	SALL3	0.5477386934673367
395360	EIF2AK1	1.649954421148587
395362	CD4	1.3333333333333335
395363	DEFB1	Infinity
395365	ADRM1	1.220882565710152
395367	AVR2	NaN
395368	CGNRH-R	0.43750000000000006
395369	CRISPLD1	1.6143790849673203
395370	U2AF1	1.5253107002121855
395372	CLSTN1	1.3656909169177787
395373	ACLY	0.9971819078483867
395374	DBT	1.0399556048834628
395375	BCKDHB	1.6967263743051264
395376	PRKDC	1.7428571428571429
395377	GBX1	0.2777777777777778
395378	CACNG3	0.8286956521739129
395380	CD164	1.1743636921189817
395381	MUC5B	0.6666666666666667
395382	GPR149	2
395383	SLC16A3	0.809437386569873
395384	C4BPA	0.9219351291918637
395385	CD40	1.3076923076923077
395386	CLEC3B	1.2499999999999998
395387	MMP9	0.2713178294573643
395388	ATOH7	NaN
395389	ALDH1A3	0.2964947532931458
395390	RBBP7	1.3648484848484848
395391	SNCB	2.142857142857143
395392	SNCG	1.1486486486486487
395393	SNCA	NaN
395394	FGF19	1
395395	GAD2	9
395396	WNT3A	0
395397	CDX1	Infinity
395398	NRXN1	Infinity
395399	CITED2	0.2795918367346939
395400	BAZ2B	1.3760775862068966
395401	ATM	1.1835106382978724
395402	SLC34A1	1.1666666666666667
395403	TRA2B	1.2643846413692152
395404	FETUB	1.6258666666666666
395405	TWIST2	NaN
395406	ODZ4	0.5860927152317881
395409	RYK	0.6760485651214128
395410	ABL2	1.1813880126182965
395411	ZBTB7A	0.6251638269986894
395412	ITPR1	1.0519877675840978
395414	CCT4	0.7328666175386883
395415	MGAT4C	1.8510638297872342
395416	ABCC1	0.7648278722521776
395417	SIK1	0.6733403582718651
395419	MSGN1	0
395420	F13A1	1.736842105263158
395421	STAR	0.8581081081081081
395422	OPCML	0.30131826741996237
395424	HINT1	1.1969867326287384
395427	TRPV4	0
395428	MBD4	1.5268256333830104
395429	POSTN	0
395432	FGF10	NaN
395433	NPAS2	4.697916666666667
395434	POPDC3	1.2034632034632033
395435	PLEKHA2	1.858350951374207
395436	USPL1	1.022480058013053
395437	CFC1B	0
395438	LCP2	1.3333333333333335
395440	LRRC17	0
395441	TLL1	0
395442	RHOA	0.9349698428851548
395443	SLC1A3	NaN
395444	HABP4	1.8313253012048194
395445	BOK	2.1515151515151514
395446	SALL1	1.102409638554217
395447	DDX4	0
395449	RAD54B	1.0554938956714761
395450	NTM	0.41379310344827586
395451	CXCL14	0.10817506193228738
395453	FGF18	0.6379310344827587
395454	PCSK6	1.220873786407767
395455	PCSK7	1.776842105263158
395456	PCSK5	2.3963963963963963
395457	FURIN	1.6913099870298314
395458	SLC6A2	0.857142857142857
395460	TM9SF3	1.2979078229229837
395461	ESPN	1.4406779661016949
395463	FOXK1	1.0727828746177368
395465	CITED4	0.7015177065767285
395466	CSPG5	2.5555555555555554
395468	CCL4	0
395469	PDGFC	0.2727272727272727
395472	TCIRG1	1.0914194065757818
395473	ATP6V0A2	0.8291139240506329
395474	ATP6V0A1	0.7364172617199627
395475	KANK1	1.0578386605783865
395476	CASP3	0.8549730524252817
395477	CASP6	0.9909090909090909
395478	PPP1R12B	0.7525035765379112
395479	PPARD	0.7739852398523985
395480	RGN	0
395481	ANXA6	0.40625
395483	SOX8	2.714285714285714
395484	OTOR	Infinity
395485	CD40LG	NaN
395486	POLR2F	1.0392892892892893
395487	MYO6	2.018363939899833
395488	MARCO	NaN
395489	C1H21orf91	1.0992063492063493
395490	TAX1BP1	1.1641391614629795
395494	BMP7	1.5
395496	SLC5A1	0.9855072463768118
395497	ATP6V1B2	0.9156085172885329
395498	VDAC2	1.2373044807714924
395499	TAOK3	0.9623042208654101
395500	MKRN1	0.9910668708524757
395502	HOXB3	Infinity
395503	RUNX1T1	4.2142857142857135
395504	GATM	0.19999999999999998
395505	PBX1	0.6152579582875961
395506	HDAC3	1.6290456431535267
395507	P2RX5	2.3125
395508	TCF7L2	1.2553191489361701
395509	PDGFRA	Infinity
395510	TDG	1.5982184716361933
395511	RDX	1.1475860552073023
395512	EBF1	1.2941176470588234
395514	EIF5B	0.6011607779248549
395515	TXLNB	0.35714285714285715
395516	DTX4	0.43750000000000006
395517	TBPL1	0.7751225490196079
395518	MAFK	0.8019765056871153
395519	MAFF	1.237246963562753
395520	C5H11orf58	1.647681451612903
395522	CHRNA9	1.75
395526	SOX14	NaN
395527	CD9	NaN
395528	UBE2J1	0.9186281102891729
395529	LEFTY2	0
395530	COL4A1	0.6564551422319475
395531	NID1	2.3186813186813184
395532	LOC395532	0
395533	MEOX1	NaN
395534	MYH15	0.9839572192513368
395535	OLFM1	0.8390804597701149
395536	VSX2	2.88235294117647
395537	VSX1	0
395538	C1QBP	1.023261472577741
395542	TEAD4	0.7914691943127962
395543	SMAD9	0.7012987012987013
395545	FRZB	0.27380952380952384
395546	SFRP2	1.2857142857142858
395548	PHOX2B	0
395549	DBH	0
395550	LY6E	1.5102407473948978
395551	CCL4	NaN
395552	CCL1	NaN
395553	RBP3	NaN
395554	FGF14	3.0909090909090913
395555	MRE11A	1.578798586572438
395556	STAT5B	1.4738243123336292
395557	NUDT16L1	1.4412154905553098
395559	EPHA4	0.7901990811638591
395560	NRP1	1.3870062594431256
395561	WNT4	0.13157894736842105
395562	WNT11	0.25075987841945285
395565	VCAN	0.6923076923076923
395567	SOUL	2.7083333333333335
395568	COL5A1	1.7500000000000002
395569	GDNF	NaN
395570	TOP2A	4.414375490966221
395571	FZ-8	2.3823529411764706
395572	FZD3	0.8552631578947368
395573	SOX10	0
395574	PAX2	12.2
395575	ESR2	0.6428571428571428
395576	DACH2	1.9452332657200813
395577	NEUROG2	0.6111111111111112
395578	NHLH2	NaN
395579	KCNN2	0.7673267326732673
395580	PAOX	1.8157894736842106
395582	VAX1	1.9411764705882353
395584	SPRY2	3.2797619047619047
395586	TSPAN18	1.0227948463825571
395588	MEIS2	1.0245901639344261
395591	NKX6-2	0.7995594713656388
395592	TH	0
395594	HAS2	0
395596	EPAS1	1.916167664670659
395598	TERF2	1.2176554681915654
395599	DMN	0.6017897091722595
395600	LECT1	0.13636363636363635
395602	PSAP	0.9106826515057884
395604	CHRNB3	0
395606	CHRNA4	NaN
395607	CHRNA2	0
395608	CHRNA1	NaN
395609	MDM2	1.2860635696821516
395610	ANGPT2	1.5
395611	LOC395611	1.4464285714285714
395612	GSTA3	1.2095657646318438
395613	CHRNB4	1.4285714285714286
395615	SHH	0.9755555555555555
395618	RGS6	0.4545454545454546
395619	RGS12	1.2523809523809524
395620	RGS7	1.92
395621	RGS11	0.24675324675324675
395622	ADMP	1.050314465408805
395623	CER1	Infinity
395624	FOXF1	1.061803444782168
395625	EFNB2	1.6929460580912863
395626	UCHL3	1.6590500641848525
395627	MAPKAP1	1.3329809725158561
395629	DDX5	1.6052066284779052
395630	RNF12	1.206371191135734
395631	LDB2	4.636363636363637
395633	MYF5	NaN
395634	ELAVL4	0.8409090909090908
395635	HDAC2	1.2721004678650578
395637	ELAVL1	0.8268531468531468
395638	FOLR1	0.6666666666666667
395639	NUMB	0.9763513513513514
395640	CHUNK-1	NaN
395642	DUSP4	1.3745210727969348
395643	PDLIM4	0.06818181818181818
395644	USP15	1.5995833333333334
395645	RGS17	0.5838509316770186
395646	RGS20	0.19021467798302547
395647	RAP1GAP	1.6745562130177516
395648	GPRIN2	2.3076923076923075
395650	PHOSPHO1	1.2808219178082192
395651	BKJ	0
395652	FKBP9	1.6934212642753739
395653	HPRT1	1.0649942987457242
395654	HBEGF	2.7509505703422055
395655	NOTCH1	0.7257383966244725
