Complex1	dimerized CEL:bile salt complex	extracellular region	Reactome DB_ID: 192480	Complex2	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein19	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Complex13	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein20	
Complex2	CEL:bile salt complex	extracellular region	Reactome DB_ID: 192452	Protein1	
Complex2	CEL:bile salt complex	extracellular region	Reactome DB_ID: 192452	SmallMolecule5	
Complex20	chylomicron remnant:apoE complex	extracellular region	Reactome DB_ID: 174792	Complex18	
Complex20	chylomicron remnant:apoE complex	extracellular region	Reactome DB_ID: 174792	Protein24	
Complex21	chylomicron remnant:apoE:LDLR complex	plasma membrane	Reactome DB_ID: 174749	Protein30	
Complex21	chylomicron remnant:apoE:LDLR complex	plasma membrane	Reactome DB_ID: 174749	Complex22	
Complex22	chylomicron remnant:apoE complex	plasma membrane	Reactome DB_ID: 174659	Complex23	
Complex22	chylomicron remnant:apoE complex	plasma membrane	Reactome DB_ID: 174659	Protein32	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule1	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	Complex24	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	Protein32	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule38	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule39	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	SmallMolecule37	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	SmallMolecule38	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	Protein31	
Complex25	chylomicron remnant:apoE:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174816	Protein34	
Complex25	chylomicron remnant:apoE:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174816	Complex26	
Complex26	chylomicron remnant:apoE complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174787	Complex27	
Complex26	chylomicron remnant:apoE complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174787	Protein36	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	Complex28	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule40	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule42	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule43	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	Protein36	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	SmallMolecule40	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	SmallMolecule41	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	Protein35	
Complex29	chylomicron remnant:apoE:LDLR complex	endosome membrane	Reactome DB_ID: 174658	Complex30	
Complex29	chylomicron remnant:apoE:LDLR complex	endosome membrane	Reactome DB_ID: 174658	Protein40	
Complex3	PNLIP:CLPS	extracellular region	Reactome DB_ID: 192466	Protein2	
Complex3	PNLIP:CLPS	extracellular region	Reactome DB_ID: 192466	Protein3	
Complex30	chylomicron remnant:apoE complex	endosome membrane	Reactome DB_ID: 174698	Complex31	
Complex30	chylomicron remnant:apoE complex	endosome membrane	Reactome DB_ID: 174698	Protein39	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	Complex32	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	Protein39	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule46	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule45	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule47	
Complex32	ApoB-48:TG:PL complex	endosome membrane	Reactome DB_ID: 174799	SmallMolecule44	
Complex32	ApoB-48:TG:PL complex	endosome membrane	Reactome DB_ID: 174799	SmallMolecule45	
Complex32	ApoB-48:TG:PL complex	endosome membrane	Reactome DB_ID: 174799	Protein38	
Complex33	chylomicron remnant:apoE complex	endosome lumen	Reactome DB_ID: 174594	Protein41	
Complex33	chylomicron remnant:apoE complex	endosome lumen	Reactome DB_ID: 174594	Complex34	
Complex34	chylomicron remnant	endosome lumen	Reactome DB_ID: 174805	Protein41	
Complex34	chylomicron remnant	endosome lumen	Reactome DB_ID: 174805	SmallMolecule48	
Complex34	chylomicron remnant	endosome lumen	Reactome DB_ID: 174805	SmallMolecule49	
Complex34	chylomicron remnant	endosome lumen	Reactome DB_ID: 174805	Complex35	
Complex34	chylomicron remnant	endosome lumen	Reactome DB_ID: 174805	SmallMolecule51	
Complex35	ApoB-48:TG:PL complex	endosome lumen	Reactome DB_ID: 174593	Protein42	
Complex35	ApoB-48:TG:PL complex	endosome lumen	Reactome DB_ID: 174593	SmallMolecule50	
Complex35	ApoB-48:TG:PL complex	endosome lumen	Reactome DB_ID: 174593	SmallMolecule51	
Complex36	BMP1:Zn++	extracellular region	Reactome DB_ID: 264759	Protein44	
Complex36	BMP1:Zn++	extracellular region	Reactome DB_ID: 264759	SmallMolecule52	
Complex37	Alpha2-macroglobulin	extracellular region	Reactome DB_ID: 158255	Protein45	
Complex38	ABCA1 tetramer	plasma membrane	Reactome DB_ID: 216753	Protein46	
Complex39	ABCA1:apoA-I complex	plasma membrane	Reactome DB_ID: 216758	Protein47	
Complex39	ABCA1:apoA-I complex	plasma membrane	Reactome DB_ID: 216758	Complex38	
Complex4	NPC1L1:ezetimibe complex	plasma membrane	Reactome DB_ID: 265464	Protein7	
Complex4	NPC1L1:ezetimibe complex	plasma membrane	Reactome DB_ID: 265464	SmallMolecule23	
Complex40	pre-beta HDL	extracellular region	Reactome DB_ID: 216752	Protein18	
Complex40	pre-beta HDL	extracellular region	Reactome DB_ID: 216752	SmallMolecule3	
Complex40	pre-beta HDL	extracellular region	Reactome DB_ID: 216752	SmallMolecule36	
Complex41	pre-beta HDL	extracellular region	Reactome DB_ID: 349645	SmallMolecule1	
Complex41	pre-beta HDL	extracellular region	Reactome DB_ID: 349645	Protein18	
Complex41	pre-beta HDL	extracellular region	Reactome DB_ID: 349645	SmallMolecule3	
Complex41	pre-beta HDL	extracellular region	Reactome DB_ID: 349645	SmallMolecule36	
Complex42	ABCG1 dimer	plasma membrane	Reactome DB_ID: 194222	Protein48	
Complex43	discoidal HDL:cholesterol	extracellular region	Reactome DB_ID: 266083	SmallMolecule3	
Complex43	discoidal HDL:cholesterol	extracellular region	Reactome DB_ID: 266083	Complex40	
Complex44	LCAT:discoidal HDL complex	extracellular region	Reactome DB_ID: 264684	Complex40	
Complex44	LCAT:discoidal HDL complex	extracellular region	Reactome DB_ID: 264684	Protein49	
Complex45	albumin:2-lysophosphatidylcholine complex	extracellular region	Reactome DB_ID: 264677	SmallMolecule56	
Complex45	albumin:2-lysophosphatidylcholine complex	extracellular region	Reactome DB_ID: 264677	Protein53	
Complex46	LCAT:spherical HDL complex	extracellular region	Reactome DB_ID: 266308	Complex13	
Complex46	LCAT:spherical HDL complex	extracellular region	Reactome DB_ID: 266308	Protein49	
Complex47	CETP:triacylglycerol complex	extracellular region	Reactome DB_ID: 266351	SmallMolecule15	
Complex47	CETP:triacylglycerol complex	extracellular region	Reactome DB_ID: 266351	Protein54	
Complex47	CETP:triacylglycerol complex	extracellular region	Reactome DB_ID: 266351	SmallMolecule36	
Complex48	CETP:cholesterol ester complex	extracellular region	Reactome DB_ID: 266340	SmallMolecule1	
Complex48	CETP:cholesterol ester complex	extracellular region	Reactome DB_ID: 266340	Protein54	
Complex48	CETP:cholesterol ester complex	extracellular region	Reactome DB_ID: 266340	SmallMolecule36	
Complex49	spherical HDL:triacylglycerol complex	extracellular region	Reactome DB_ID: 266348	SmallMolecule15	
Complex49	spherical HDL:triacylglycerol complex	extracellular region	Reactome DB_ID: 266348	Complex13	
Complex5	ABCG5:ABCG8 heterodimer	plasma membrane	Reactome DB_ID: 265452	Protein8	
Complex5	ABCG5:ABCG8 heterodimer	plasma membrane	Reactome DB_ID: 265452	Protein9	
Complex50	CETP:spherical HDL:torcetrapib complex	extracellular region	Reactome DB_ID: 349410	SmallMolecule57	
Complex50	CETP:spherical HDL:torcetrapib complex	extracellular region	Reactome DB_ID: 349410	Complex13	
Complex50	CETP:spherical HDL:torcetrapib complex	extracellular region	Reactome DB_ID: 349410	Complex47	
Complex51	spherical HDL:SR-BI complex	plasma membrane	Reactome DB_ID: 349649	Protein55	
Complex51	spherical HDL:SR-BI complex	plasma membrane	Reactome DB_ID: 349649	Complex52	
Complex52	spherical HDL	plasma membrane	Reactome DB_ID: 349644	SmallMolecule58	
Complex52	spherical HDL	plasma membrane	Reactome DB_ID: 349644	SmallMolecule37	
Complex52	spherical HDL	plasma membrane	Reactome DB_ID: 349644	Protein47	
Complex52	spherical HDL	plasma membrane	Reactome DB_ID: 349644	SmallMolecule38	
Complex52	spherical HDL	plasma membrane	Reactome DB_ID: 349644	SmallMolecule39	
Complex53	CUBN:AMN	plasma membrane	Reactome DB_ID: 264830	Protein56	
Complex53	CUBN:AMN	plasma membrane	Reactome DB_ID: 264830	Protein57	
Complex54	apoA-I:CUBN:AMN complex	plasma membrane	Reactome DB_ID: 264851	Protein47	
Complex54	apoA-I:CUBN:AMN complex	plasma membrane	Reactome DB_ID: 264851	Complex53	
Complex55	LDL	extracellular region	Reactome DB_ID: 171131	SmallMolecule1	
Complex55	LDL	extracellular region	Reactome DB_ID: 171131	SmallMolecule15	
Complex55	LDL	extracellular region	Reactome DB_ID: 171131	Protein58	
Complex55	LDL	extracellular region	Reactome DB_ID: 171131	SmallMolecule3	
Complex55	LDL	extracellular region	Reactome DB_ID: 171131	SmallMolecule36	
Complex56	LDL:cholesterol ester complex	extracellular region	Reactome DB_ID: 266339	SmallMolecule1	
Complex56	LDL:cholesterol ester complex	extracellular region	Reactome DB_ID: 266339	Complex55	
Complex57	Lp(a)	extracellular region	Reactome DB_ID: 176866	Complex55	
Complex57	Lp(a)	extracellular region	Reactome DB_ID: 176866	Protein59	
Complex58	LDL:LDLR complex	plasma membrane	Reactome DB_ID: 171100	Protein30	
Complex58	LDL:LDLR complex	plasma membrane	Reactome DB_ID: 171100	Complex59	
Complex59	LDL	plasma membrane	Reactome DB_ID: 171112	SmallMolecule58	
Complex59	LDL	plasma membrane	Reactome DB_ID: 171112	SmallMolecule37	
Complex59	LDL	plasma membrane	Reactome DB_ID: 171112	SmallMolecule38	
Complex59	LDL	plasma membrane	Reactome DB_ID: 171112	Protein60	
Complex59	LDL	plasma membrane	Reactome DB_ID: 171112	SmallMolecule39	
Complex6	ApoB-48:TG:PL complex	endoplasmic reticulum membrane	Reactome DB_ID: 174630	SmallMolecule30	
Complex6	ApoB-48:TG:PL complex	endoplasmic reticulum membrane	Reactome DB_ID: 174630	Protein10	
Complex6	ApoB-48:TG:PL complex	endoplasmic reticulum membrane	Reactome DB_ID: 174630	SmallMolecule31	
Complex60	LDL:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171108	Complex61	
Complex60	LDL:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171108	Protein34	
Complex61	LDL	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171156	SmallMolecule40	
Complex61	LDL	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171156	SmallMolecule41	
Complex61	LDL	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171156	Protein61	
Complex61	LDL	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171156	SmallMolecule42	
Complex61	LDL	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 171156	SmallMolecule43	
Complex62	LDL:LDLR complex	endosome membrane	Reactome DB_ID: 171056	Protein40	
Complex62	LDL:LDLR complex	endosome membrane	Reactome DB_ID: 171056	Complex63	
Complex63	LDL	endosome membrane	Reactome DB_ID: 171044	SmallMolecule46	
Complex63	LDL	endosome membrane	Reactome DB_ID: 171044	SmallMolecule45	
Complex63	LDL	endosome membrane	Reactome DB_ID: 171044	SmallMolecule44	
Complex63	LDL	endosome membrane	Reactome DB_ID: 171044	SmallMolecule47	
Complex63	LDL	endosome membrane	Reactome DB_ID: 171044	Protein62	
Complex64	LDL	endosome lumen	Reactome DB_ID: 171082	SmallMolecule48	
Complex64	LDL	endosome lumen	Reactome DB_ID: 171082	SmallMolecule49	
Complex64	LDL	endosome lumen	Reactome DB_ID: 171082	SmallMolecule50	
Complex64	LDL	endosome lumen	Reactome DB_ID: 171082	SmallMolecule51	
Complex64	LDL	endosome lumen	Reactome DB_ID: 171082	Protein63	
Complex65	phosphorylated HSL dimer	cytosol	Reactome DB_ID: 163513	Protein65	
Complex66	perilipin:CGI-58 complex	lipid particle	Reactome DB_ID: 163495	Protein70	
Complex66	perilipin:CGI-58 complex	lipid particle	Reactome DB_ID: 163495	Protein71	
Complex67	phosphorylated HSL dimer	lipid particle	Reactome DB_ID: 163435	Protein75	
Complex68	phosphorylated HSL dimer:FABP4 complex	lipid particle	Reactome DB_ID: 163535	Protein76	
Complex68	phosphorylated HSL dimer:FABP4 complex	lipid particle	Reactome DB_ID: 163535	Complex67	
Complex7	MTP:PDI:lipid complex	endoplasmic reticulum lumen	Reactome DB_ID: 174681	SmallMolecule32	
Complex7	MTP:PDI:lipid complex	endoplasmic reticulum lumen	Reactome DB_ID: 174681	Protein11	
Complex7	MTP:PDI:lipid complex	endoplasmic reticulum lumen	Reactome DB_ID: 174681	SmallMolecule33	
Complex7	MTP:PDI:lipid complex	endoplasmic reticulum lumen	Reactome DB_ID: 174681	Protein12	
Complex8	ApoB-48:TG:PL complex	endoplasmic reticulum lumen	Reactome DB_ID: 174756	SmallMolecule32	
Complex8	ApoB-48:TG:PL complex	endoplasmic reticulum lumen	Reactome DB_ID: 174756	SmallMolecule33	
Complex8	ApoB-48:TG:PL complex	endoplasmic reticulum lumen	Reactome DB_ID: 174756	Protein13	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	SmallMolecule32	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	SmallMolecule34	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	Protein14	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	Protein15	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	SmallMolecule35	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	Complex8	
Complex9	nascent chylomicron	endoplasmic reticulum lumen	Reactome DB_ID: 174626	Protein16	
