Complex10	MCT3 homodimer	plasma membrane	Reactome DB_ID: 374006	Protein4	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex16	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	Complex14	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	SmallMolecule15	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein1	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein2	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Protein19	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Complex22	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	Protein20	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	SmallMolecule16	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Complex22	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Protein21	
Complex24	Citrate Synthase Holoenzyme	mitochondrial matrix	Reactome DB_ID: 70973	Protein22	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	SmallMolecule26	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein24	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein25	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein26	
Complex26	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	SmallMolecule26	
Complex26	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	Protein27	
Complex27	NNT dimer	mitochondrial inner membrane	Reactome DB_ID: 451008	Protein28	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex29	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex30	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex16	
Complex29	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	SmallMolecule30	
Complex29	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	Protein29	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein1	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein2	
Complex30	alpha-ketoglutarate dehydrogenase E1 homodimer	mitochondrial matrix	Reactome DB_ID: 69992	Complex31	
Complex31	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	Protein30	
Complex31	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	SmallMolecule15	
Complex32	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein31	
Complex32	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein32	
Complex33	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein33	
Complex33	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein31	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex35	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein35	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex36	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein37	
Complex35	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	PhysicalEntity1	
Complex35	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	Protein34	
Complex36	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	Protein36	
Complex36	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	SmallMolecule35	
Complex37	FH tetramer	mitochondrial matrix	Reactome DB_ID: 451041	Protein38	
Complex38	malate dehydrogenase 2 dimer	mitochondrial matrix	Reactome DB_ID: 198511	Protein39	
Complex39	Complex I - NADH:Ubiquinone oxidoreductase	mitochondrial inner membrane	Reactome DB_ID: 163924	Complex40	
Complex39	Complex I - NADH:Ubiquinone oxidoreductase	mitochondrial inner membrane	Reactome DB_ID: 163924	Complex42	
Complex39	Complex I - NADH:Ubiquinone oxidoreductase	mitochondrial inner membrane	Reactome DB_ID: 163924	Complex45	
Complex4	lactate dehydrogenase A4 complex	cytosol	Reactome DB_ID: 70508	Protein2	
Complex40	FP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163932	Complex41	
Complex40	FP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163932	Protein44	
Complex40	FP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163932	Protein45	
Complex41	Complex I - 51 kDa subunit-FMN-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164291	PhysicalEntity2	
Complex41	Complex I - 51 kDa subunit-FMN-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164291	SmallMolecule47	
Complex41	Complex I - 51 kDa subunit-FMN-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164291	Protein43	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Protein46	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Complex43	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Protein48	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Protein49	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Complex44	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Protein51	
Complex42	IP sub-complex	mitochondrial inner membrane	Reactome DB_ID: 163928	Protein52	
Complex43	Complex I - 75 kDa subunit-2Fe-2S cluster-4Fe- 2 x 4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164297	PhysicalEntity2	
Complex43	Complex I - 75 kDa subunit-2Fe-2S cluster-4Fe- 2 x 4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164297	PhysicalEntity3	
Complex43	Complex I - 75 kDa subunit-2Fe-2S cluster-4Fe- 2 x 4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164297	Protein47	
Complex44	Complex I - 49 kDa subunit-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164288	PhysicalEntity2	
Complex44	Complex I - 49 kDa subunit-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164288	Protein50	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein53	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein54	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein55	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein56	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein57	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein58	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein59	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein60	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein61	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein62	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein63	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein64	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein65	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein66	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein67	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein68	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein69	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein70	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Complex46	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein72	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Complex47	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein74	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Complex48	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein76	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein77	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein78	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein79	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein80	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein81	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein82	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein83	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein84	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein85	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Complex49	
Complex45	HP subcomplex	mitochondrial inner membrane	Reactome DB_ID: 163929	Protein87	
Complex46	Complex I - 23 kDa subunit-2 x 4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164295	PhysicalEntity2	
Complex46	Complex I - 23 kDa subunit-2 x 4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164295	Protein71	
Complex47	Complex I - 20 kDa subunit-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164293	PhysicalEntity2	
Complex47	Complex I - 20 kDa subunit-4Fe-4S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164293	Protein73	
Complex48	Complex I - 42 kDa subunit-FAD cofactor	mitochondrial inner membrane	Reactome DB_ID: 164294	Protein75	
Complex48	Complex I - 42 kDa subunit-FAD cofactor	mitochondrial inner membrane	Reactome DB_ID: 164294	SmallMolecule35	
Complex49	Complex I - 39 kDa subunit-FAD cofactor	mitochondrial inner membrane	Reactome DB_ID: 164289	Protein86	
Complex49	Complex I - 39 kDa subunit-FAD cofactor	mitochondrial inner membrane	Reactome DB_ID: 164289	SmallMolecule35	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein1	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein2	
Complex50	Succinate dehydrogenase complex (reduced)	mitochondrial inner membrane	Reactome DB_ID: 165631	Complex51	
Complex50	Succinate dehydrogenase complex (reduced)	mitochondrial inner membrane	Reactome DB_ID: 165631	Complex35	
Complex50	Succinate dehydrogenase complex (reduced)	mitochondrial inner membrane	Reactome DB_ID: 165631	Protein35	
Complex50	Succinate dehydrogenase complex (reduced)	mitochondrial inner membrane	Reactome DB_ID: 165631	Protein37	
Complex51	Succinate dehydrogenase flavoprotein (subunit A)	mitochondrial inner membrane	Reactome DB_ID: 165640	Protein36	
Complex51	Succinate dehydrogenase flavoprotein (subunit A)	mitochondrial inner membrane	Reactome DB_ID: 165640	SmallMolecule48	
Complex52	ETF	mitochondrial matrix	Reactome DB_ID: 169267	Protein88	
Complex52	ETF	mitochondrial matrix	Reactome DB_ID: 169267	SmallMolecule49	
Complex52	ETF	mitochondrial matrix	Reactome DB_ID: 169267	Protein89	
Complex52	ETF	mitochondrial matrix	Reactome DB_ID: 169267	SmallMolecule16	
Complex53	ETF (reduced)	mitochondrial matrix	Reactome DB_ID: 169268	Protein88	
Complex53	ETF (reduced)	mitochondrial matrix	Reactome DB_ID: 169268	SmallMolecule38	
Complex53	ETF (reduced)	mitochondrial matrix	Reactome DB_ID: 169268	SmallMolecule49	
Complex53	ETF (reduced)	mitochondrial matrix	Reactome DB_ID: 169268	Protein89	
Complex54	Cytochrome c-Fe3+	mitochondrial inner membrane	Reactome DB_ID: 352607	SmallMolecule50	
Complex54	Cytochrome c-Fe3+	mitochondrial inner membrane	Reactome DB_ID: 352607	Protein91	
Complex55	Cytochrome c-Fe2+	mitochondrial inner membrane	Reactome DB_ID: 352609	SmallMolecule51	
Complex55	Cytochrome c-Fe2+	mitochondrial inner membrane	Reactome DB_ID: 352609	Protein91	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein92	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein93	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Complex57	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein95	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Complex58	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein97	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein98	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Complex59	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein100	
Complex56	Complex III	mitochondrial inner membrane	Reactome DB_ID: 164317	Protein101	
Complex57	Complex III - cytochrome c1-heme complex	mitochondrial inner membrane	Reactome DB_ID: 164584	PhysicalEntity4	
Complex57	Complex III - cytochrome c1-heme complex	mitochondrial inner membrane	Reactome DB_ID: 164584	PhysicalEntity5	
Complex57	Complex III - cytochrome c1-heme complex	mitochondrial inner membrane	Reactome DB_ID: 164584	Protein94	
Complex58	cytochrome b-heme complex	mitochondrial inner membrane	Reactome DB_ID: 164662	PhysicalEntity6	
Complex58	cytochrome b-heme complex	mitochondrial inner membrane	Reactome DB_ID: 164662	Protein96	
Complex59	Complex III - Rieske protein-2Fe-2S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164304	PhysicalEntity3	
Complex59	Complex III - Rieske protein-2Fe-2S cluster complex	mitochondrial inner membrane	Reactome DB_ID: 164304	Protein99	
Complex6	lactate dehydrogenase B4 complex	cytosol	Reactome DB_ID: 70516	Protein1	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Complex61	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein103	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein102	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein104	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein105	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein106	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein107	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein108	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein109	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein110	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein111	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein112	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein113	
Complex60	Complex IV	mitochondrial inner membrane	Reactome DB_ID: 164316	Protein114	
Complex61	Complex IV - Cytochrome c oxidase subunit 2-Cu complex	mitochondrial inner membrane	Reactome DB_ID: 164303	Protein102	
Complex61	Complex IV - Cytochrome c oxidase subunit 2-Cu complex	mitochondrial inner membrane	Reactome DB_ID: 164303	SmallMolecule53	
Complex62	ATPase complex	mitochondrial inner membrane	Reactome DB_ID: 74186	Complex63	
Complex62	ATPase complex	mitochondrial inner membrane	Reactome DB_ID: 74186	Protein124	
Complex62	ATPase complex	mitochondrial inner membrane	Reactome DB_ID: 74186	Complex64	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein115	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein116	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein117	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein118	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein119	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein120	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein121	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein122	
Complex63	ATPase CF(0)	mitochondrial inner membrane	Reactome DB_ID: 74185	Protein123	
Complex64	ATPase CF(1)	mitochondrial matrix	Reactome DB_ID: 74184	Protein125	
Complex64	ATPase CF(1)	mitochondrial matrix	Reactome DB_ID: 74184	Protein126	
Complex64	ATPase CF(1)	mitochondrial matrix	Reactome DB_ID: 74184	Protein127	
Complex64	ATPase CF(1)	mitochondrial matrix	Reactome DB_ID: 74184	Protein128	
Complex64	ATPase CF(1)	mitochondrial matrix	Reactome DB_ID: 74184	Protein129	
Complex65	ATPase-ADP and Pi complex	mitochondrial inner membrane	Reactome DB_ID: 164838	Complex62	
Complex65	ATPase-ADP and Pi complex	mitochondrial inner membrane	Reactome DB_ID: 164838	SmallMolecule18	
Complex65	ATPase-ADP and Pi complex	mitochondrial inner membrane	Reactome DB_ID: 164838	SmallMolecule20	
Complex66	ATPase-ATP complex	mitochondrial inner membrane	Reactome DB_ID: 164835	Complex62	
Complex66	ATPase-ATP complex	mitochondrial inner membrane	Reactome DB_ID: 164835	SmallMolecule17	
Complex67	UCP dimer	mitochondrial inner membrane	Reactome DB_ID: 166389	Protein130	
Complex68	FA anion:UCP dimer \"head-in\" complex	mitochondrial inner membrane	Reactome DB_ID: 166218	Complex67	
Complex68	FA anion:UCP dimer \"head-in\" complex	mitochondrial inner membrane	Reactome DB_ID: 166218	SmallMolecule54	
Complex69	FA anion:UCP dimer  \"head-out\" complex	mitochondrial inner membrane	Reactome DB_ID: 166385	SmallMolecule55	
Complex69	FA anion:UCP dimer  \"head-out\" complex	mitochondrial inner membrane	Reactome DB_ID: 166385	Complex67	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Complex8	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Protein6	
Complex9	MCT1 homodimer	plasma membrane	Reactome DB_ID: 374001	Protein3	
