Complex1	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein3	
Complex15	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	SmallMolecule5	
Complex15	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Complex16	
Complex15	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Protein33	
Complex150	APS dimer:p-c-Kit:SFKs complex	plasma membrane	Reactome DB_ID: 205257	Complex98	
Complex150	APS dimer:p-c-Kit:SFKs complex	plasma membrane	Reactome DB_ID: 205257	Complex149	
Complex151	p-APS dimer:p-KIT complex	plasma membrane	Reactome DB_ID: 1433276	Complex152	
Complex151	p-APS dimer:p-KIT complex	plasma membrane	Reactome DB_ID: 1433276	Complex98	
Complex152	p-APS dimer	cytosol	Reactome DB_ID: 1433375	Protein261	
Complex154	CBL:Grb2/p-APS:p-c-Kit complex	plasma membrane	Reactome DB_ID: 205200	Protein262	
Complex154	CBL:Grb2/p-APS:p-c-Kit complex	plasma membrane	Reactome DB_ID: 205200	Complex153	
Complex155	SOCS6:p-c-Kit:sSCF dimer:p-c-Kit	plasma membrane	Reactome DB_ID: 1470001	Protein263	
Complex155	SOCS6:p-c-Kit:sSCF dimer:p-c-Kit	plasma membrane	Reactome DB_ID: 1470001	Complex4	
Complex156	LNK:p-7Y-KIT:sSCF dimer:p-7Y-KIT	plasma membrane	Reactome DB_ID: 1562562	Protein264	
Complex156	LNK:p-7Y-KIT:sSCF dimer:p-7Y-KIT	plasma membrane	Reactome DB_ID: 1562562	Complex4	
Complex157	PTPRO:KIT	plasma membrane	Reactome DB_ID: 1433419	Protein265	
Complex157	PTPRO:KIT	plasma membrane	Reactome DB_ID: 1433419	Protein7	
Complex16	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Protein32	
Complex16	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Complex17	
Complex17	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex18	
Complex19	Membrane-bound Klotho homodimer	plasma membrane	Reactome DB_ID: 190204	Protein34	
Complex2	KIT:sSCF dimer	plasma membrane	Reactome DB_ID: 205166	Complex1	
Complex2	KIT:sSCF dimer	plasma membrane	Reactome DB_ID: 205166	Protein7	
Complex20	Secreted Klotho homodimer	extracellular region	Reactome DB_ID: 190203	Protein35	
Complex22	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein36	
Complex22	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	SmallMolecule5	
Complex22	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein38	
Complex23	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein36	
Complex23	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	SmallMolecule5	
Complex23	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein39	
Complex25	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein40	
Complex25	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	SmallMolecule5	
Complex25	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein41	
Complex26	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein44	
Complex26	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	SmallMolecule5	
Complex26	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein41	
Complex27	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein45	
Complex27	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein46	
Complex27	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	SmallMolecule5	
Complex28	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein47	
Complex28	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	SmallMolecule5	
Complex28	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein48	
Complex29	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein49	
Complex29	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	SmallMolecule5	
Complex29	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein51	
Complex3	KIT:sSCF dimer:KIT	plasma membrane	Reactome DB_ID: 205208	Complex1	
Complex3	KIT:sSCF dimer:KIT	plasma membrane	Reactome DB_ID: 205208	Protein7	
Complex30	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein52	
Complex30	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein50	
Complex30	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein51	
Complex31	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Complex32	
Complex31	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Protein11	
Complex32	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex33	
Complex32	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex11	
Complex33	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Protein54	
Complex33	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Complex12	
Complex34	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex6	
Complex34	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex35	
Complex35	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity3	
Complex35	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex37	
Complex35	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein58	
Complex36	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein55	
Complex37	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein57	
Complex38	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex39	
Complex38	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex43	
Complex38	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex44	
Complex4	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Protein8	
Complex4	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Complex1	
Complex40	Phospho-alpha receptor homodimer	plasma membrane	Reactome DB_ID: 186816	Protein61	
Complex41	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein62	
Complex41	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein61	
Complex42	Phospho-beta receptor homodimer	plasma membrane	Reactome DB_ID: 186805	Protein62	
Complex43	PI3K	cytosol	Reactome DB_ID: 74693	Protein63	
Complex43	PI3K	cytosol	Reactome DB_ID: 74693	Protein65	
Complex45	PDGF A homodimer	extracellular region	Reactome DB_ID: 380761	Protein66	
Complex46	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein69	
Complex47	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein70	
Complex47	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein68	
Complex48	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Complex43	
Complex48	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Protein72	
Complex49	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Complex43	
Complex49	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Protein73	
Complex5	p-KIT (S741,746):PKC alpha	plasma membrane	Reactome DB_ID: 1433473	Protein9	
Complex5	p-KIT (S741,746):PKC alpha	plasma membrane	Reactome DB_ID: 1433473	Protein10	
Complex50	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Protein11	
Complex50	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Complex51	
Complex51	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Protein76	
Complex51	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Complex52	
Complex52	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex53	
Complex52	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex57	
Complex54	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Protein77	
Complex54	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Complex55	
Complex55	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein78	
Complex55	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein79	
Complex56	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Protein80	
Complex56	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Complex55	
Complex57	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein16	
Complex57	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein17	
Complex58	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Protein11	
Complex58	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Complex59	
Complex59	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Protein76	
Complex59	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Complex60	
Complex6	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein11	
Complex6	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein12	
Complex61	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Complex62	
Complex61	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Protein86	
Complex62	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	Protein81	
Complex62	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	PhysicalEntity4	
Complex63	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Complex62	
Complex63	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Protein87	
Complex64	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Protein11	
Complex64	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Complex65	
Complex65	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Complex66	
Complex65	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Protein76	
Complex67	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Protein77	
Complex67	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Complex68	
Complex68	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	Protein88	
Complex68	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	PhysicalEntity5	
Complex69	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Protein80	
Complex69	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Complex68	
Complex7	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex6	
Complex7	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex4	
Complex70	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Protein11	
Complex70	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Complex71	
Complex71	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Complex72	
Complex71	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Protein76	
Complex73	p-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251953	Complex74	
Complex74	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	Protein89	
Complex74	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	PhysicalEntity5	
Complex75	p-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251954	Complex76	
Complex76	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	Protein90	
Complex76	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	PhysicalEntity5	
Complex77	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein11	
Complex77	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein13	
Complex77	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex78	
Complex77	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex57	
Complex78	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex79	
Complex79	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein78	
Complex79	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein79	
Complex80	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein98	
Complex80	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein99	
Complex80	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Complex81	
Complex80	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein101	
Complex81	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein76	
Complex81	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein100	
Complex82	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein106	
Complex82	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule4	
Complex83	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein111	
Complex83	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule4	
Complex84	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein112	
Complex84	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule4	
Complex85	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein116	
Complex85	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein117	
Complex85	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein118	
Complex85	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein119	
Complex86	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein120	
Complex86	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex82	
Complex87	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex83	
