BiochemicalReaction1	HS-GAGs translocate to the lysosome for degradation	Protein1	Protein14	
BiochemicalReaction2	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	Protein14	SmallMolecule2	
BiochemicalReaction2	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	Protein14	Protein27	
BiochemicalReaction2	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	SmallMolecule1	Protein27	
BiochemicalReaction3	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	Protein1	SmallMolecule4	
BiochemicalReaction3	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	SmallMolecule3	SmallMolecule4	
BiochemicalReaction3	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	SmallMolecule3	Protein42	
BiochemicalReaction3	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	Protein1	Protein42	
BiochemicalReaction4	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule5	
BiochemicalReaction4	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule1	SmallMolecule5	
BiochemicalReaction4	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule1	SmallMolecule6	
BiochemicalReaction4	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule6	
BiochemicalReaction5	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule5	SmallMolecule7	
BiochemicalReaction5	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule1	SmallMolecule7	
BiochemicalReaction5	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule1	SmallMolecule8	
BiochemicalReaction5	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule5	SmallMolecule8	
BiochemicalReaction6	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule8	SmallMolecule10	
BiochemicalReaction6	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule9	SmallMolecule10	
BiochemicalReaction6	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule9	SmallMolecule11	
BiochemicalReaction6	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule8	SmallMolecule11	
BiochemicalReaction7	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule10	SmallMolecule12	
BiochemicalReaction7	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule1	SmallMolecule12	
BiochemicalReaction7	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule1	SmallMolecule13	
BiochemicalReaction7	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule10	SmallMolecule13	
BiochemicalReaction8	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule1	SmallMolecule7	
BiochemicalReaction8	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule12	SmallMolecule7	
BiochemicalReaction8	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule12	SmallMolecule14	
BiochemicalReaction8	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule1	SmallMolecule14	
BiochemicalReaction9	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule1	SmallMolecule16	
BiochemicalReaction9	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule14	SmallMolecule16	
BiochemicalReaction9	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule14	SmallMolecule6	
BiochemicalReaction9	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule1	SmallMolecule6	
