Complex1	M2 Tetramer	endoplasmic reticulum membrane	Reactome DB_ID: 195797	Protein1	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein23	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein24	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein25	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein26	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein21	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Rna1	
Complex21	Segment 8 RNP	cytosol	Reactome DB_ID: 195949	Protein27	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Rna2	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein23	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein24	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein25	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein26	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein21	
Complex22	Segment 1 RNP	cytosol	Reactome DB_ID: 195947	Protein27	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein23	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein24	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Rna3	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein25	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein26	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein21	
Complex23	Segment 7 RNP	cytosol	Reactome DB_ID: 195939	Protein27	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Rna4	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein23	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein24	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein25	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein26	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein21	
Complex24	Segment 4 RNP	cytosol	Reactome DB_ID: 195942	Protein27	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Rna5	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein23	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein24	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein25	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein26	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein21	
Complex25	Segment 3 RNP	cytosol	Reactome DB_ID: 195952	Protein27	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein23	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein24	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Rna6	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein25	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein26	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein21	
Complex26	Segment 5 RNP	cytosol	Reactome DB_ID: 195951	Protein27	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein23	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein24	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Rna7	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein25	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein26	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein21	
Complex27	Segment 2 RNP	cytosol	Reactome DB_ID: 195950	Protein27	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein23	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein24	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein25	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Rna8	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein26	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein21	
Complex28	Segment 6 RNP	cytosol	Reactome DB_ID: 195943	Protein27	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Rna4	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein23	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein24	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein25	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein26	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein21	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Rna1	
Complex29	RNP pre-assembly complex	cytosol	Reactome DB_ID: 196496	Protein27	
Complex3	Glycosylated and folded HA trimer	endoplasmic reticulum membrane	Reactome DB_ID: 195787	Protein5	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna2	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein23	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein20	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna7	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna6	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein25	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna8	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Complex19	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein26	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Complex16	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Complex18	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna5	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna4	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein24	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna3	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Protein21	
Complex30	Intracellular assembly complex	plasma membrane	Reactome DB_ID: 195925	Rna1	
Complex31	Sialic Acid Bound Influenza A Viral Particle	plasma membrane	Reactome DB_ID: 195945	Complex32	
Complex31	Sialic Acid Bound Influenza A Viral Particle	plasma membrane	Reactome DB_ID: 195945	SmallMolecule1	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein28	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Complex33	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Complex34	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna9	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	PhysicalEntity3	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein31	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna10	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna11	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna12	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna13	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein32	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein33	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna14	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna15	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein34	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Protein35	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Complex35	
Complex32	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 196497	Rna16	
Complex33	Trimeric palmitylated HA	extracellular region	Reactome DB_ID: 196488	Protein29	
Complex34	palmitylated M2 Tetramer	extracellular region	Reactome DB_ID: 196494	Protein30	
Complex35	Gycosylated NA Tetramer	extracellular region	Reactome DB_ID: 196475	Protein36	
Complex36	Influenza A Viral Particle	extracellular region	Reactome DB_ID: 195941	Complex37	
Complex36	Influenza A Viral Particle	extracellular region	Reactome DB_ID: 195941	Protein32	
Complex36	Influenza A Viral Particle	extracellular region	Reactome DB_ID: 195941	Protein33	
Complex36	Influenza A Viral Particle	extracellular region	Reactome DB_ID: 195941	Complex39	
Complex37	Influenza A Viral Envelope	extracellular region	Reactome DB_ID: 169245	Complex34	
Complex37	Influenza A Viral Envelope	extracellular region	Reactome DB_ID: 169245	PhysicalEntity3	
Complex37	Influenza A Viral Envelope	extracellular region	Reactome DB_ID: 169245	Complex38	
Complex37	Influenza A Viral Envelope	extracellular region	Reactome DB_ID: 169245	Complex35	
Complex38	Cleaved Trimeric palmitylated HA	extracellular region	Reactome DB_ID: 203481	Protein37	
Complex38	Cleaved Trimeric palmitylated HA	extracellular region	Reactome DB_ID: 203481	Protein38	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Protein28	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna13	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna12	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna14	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna9	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna15	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Protein31	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Protein34	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Protein35	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna10	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna11	
Complex39	Ribonucleoprotein (RNP) Complex	extracellular region	Reactome DB_ID: 169237	Rna16	
Complex4	Glycosylated NA Tetramer	endocytic vesicle membrane	Reactome DB_ID: 195796	Protein8	
Complex5	Glycosylated and folded HA trimer	endocytic vesicle membrane	Reactome DB_ID: 195803	Protein9	
Complex6	M2 Tetramer	endocytic vesicle membrane	Reactome DB_ID: 195794	Protein10	
Complex7	M2 Tetramer	Golgi membrane	Reactome DB_ID: 195727	Protein11	
Complex8	Glycosylated NA Tetramer	Golgi membrane	Reactome DB_ID: 195724	Protein12	
Complex9	Glycosylated and folded HA trimer	Golgi membrane	Reactome DB_ID: 195819	Protein13	
