Complex1	Citrate lyase homotetramer	cytosol	Reactome DB_ID: 76188	Protein2	
Complex35	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Dna1	
Complex36	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein104	
Complex36	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein105	
Complex36	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein106	
Complex37	SREBP1A/2 Dimer	nucleoplasm	Reactome DB_ID: 2065551	Protein107	
Complex38	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Dna2	
Complex38	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Protein116	
Complex38	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Protein117	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein121	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Complex40	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein123	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein100	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein124	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein94	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein97	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein98	
Complex39	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Complex42	
Complex4	GPD1 dimer	cytosol	Reactome DB_ID: 76117	Protein25	
Complex40	Activated PPARG:RXRA	nucleoplasm	Reactome DB_ID: 2026078	Protein83	
Complex40	Activated PPARG:RXRA	nucleoplasm	Reactome DB_ID: 2026078	Complex41	
Complex41	PPARG:Fatty Acid Ligand	nucleoplasm	Reactome DB_ID: 2026077	Protein122	
Complex41	PPARG:Fatty Acid Ligand	nucleoplasm	Reactome DB_ID: 2026077	SmallMolecule114	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein125	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein126	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein127	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein128	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein129	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein130	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein131	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein132	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein133	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein134	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein135	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein136	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein137	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein138	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein139	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein140	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein141	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein142	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein143	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein144	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein145	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein96	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein146	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein147	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein148	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein149	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein150	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein151	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein152	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein153	
Complex42	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein154	
Complex43	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein121	
Complex43	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein123	
Complex43	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	PhysicalEntity3	
Complex43	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein160	
Complex44	TEAD:YAP1	nucleoplasm	Reactome DB_ID: 2032772	Protein162	
Complex44	TEAD:YAP1	nucleoplasm	Reactome DB_ID: 2032772	Protein167	
Complex45	TEAD:WWTR1(TAZ)	nucleoplasm	Reactome DB_ID: 2032762	Protein168	
Complex45	TEAD:WWTR1(TAZ)	nucleoplasm	Reactome DB_ID: 2032762	Protein162	
Complex46	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Dna3	
Complex46	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Protein175	
Complex46	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Complex47	
Complex46	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Complex36	
Complex47	SREBP1A/1C/2 Dimer	nucleoplasm	Reactome DB_ID: 1655744	Protein176	
Complex48	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Complex47	
Complex48	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Dna4	
Complex48	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Complex36	
Complex49	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	PhysicalEntity3	
Complex49	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Complex50	
Complex49	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Protein90	
Complex49	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Protein89	
Complex5	GPD1L dimer	cytosol	Reactome DB_ID: 1500615	Protein26	
Complex50	NR1D1 (REV-ERBA):heme	nucleoplasm	Reactome DB_ID: 1368127	Protein185	
Complex50	NR1D1 (REV-ERBA):heme	nucleoplasm	Reactome DB_ID: 1368127	SmallMolecule119	
Complex51	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	Protein188	
Complex51	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	PhysicalEntity4	
Complex51	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	Protein191	
Complex6	DGAT1 tetramer	endoplasmic reticulum membrane	Reactome DB_ID: 200109	Protein49	
Complex7	Btn-ACACA:2Mn2+	cytosol	Reactome DB_ID: 2993815	SmallMolecule52	
Complex7	Btn-ACACA:2Mn2+	cytosol	Reactome DB_ID: 2993815	Protein3	
Complex8	AMPK heterotrimer (active)	cytosol	Reactome DB_ID: 200408	Protein58	
Complex8	AMPK heterotrimer (active)	cytosol	Reactome DB_ID: 200408	Protein59	
Complex8	AMPK heterotrimer (active)	cytosol	Reactome DB_ID: 200408	Protein60	
Complex9	ACADVL dimer	mitochondrial matrix	Reactome DB_ID: 77279	Protein61	
