Complex1	Dimeric TGFB1	extracellular region	Reactome DB_ID: 170852	Protein1	
Complex18	TGFB1: p-TGFBR: I-SMAD7	plasma membrane	Reactome DB_ID: 173476	Complex13	
Complex18	TGFB1: p-TGFBR: I-SMAD7	plasma membrane	Reactome DB_ID: 173476	Complex10	
Complex19	TGFB1:p-TGFBR:STRAP	plasma membrane	Reactome DB_ID: 2127564	Complex12	
Complex19	TGFB1:p-TGFBR:STRAP	plasma membrane	Reactome DB_ID: 2127564	Protein25	
Complex2	TGFB1:TGFBR2 KD Mutant Dimers	plasma membrane	Reactome DB_ID: 3645787	Complex1	
Complex2	TGFB1:TGFBR2 KD Mutant Dimers	plasma membrane	Reactome DB_ID: 3645787	Complex3	
Complex20	TGFB1: p-TGFBR: STRAP: SMAD7	plasma membrane	Reactome DB_ID: 2128993	Complex19	
Complex20	TGFB1: p-TGFBR: STRAP: SMAD7	plasma membrane	Reactome DB_ID: 2128993	Protein24	
Complex21	TGFB1: TGFBR2: p-TGFBR1: BAMBI: SMAD7	plasma membrane	Reactome DB_ID: 173509	Complex12	
Complex21	TGFB1: TGFBR2: p-TGFBR1: BAMBI: SMAD7	plasma membrane	Reactome DB_ID: 173509	Protein24	
Complex21	TGFB1: TGFBR2: p-TGFBR1: BAMBI: SMAD7	plasma membrane	Reactome DB_ID: 173509	Protein26	
Complex22	GADD34:PP1	cytosol	Reactome DB_ID: 2162158	Protein27	
Complex22	GADD34:PP1	cytosol	Reactome DB_ID: 2162158	Protein28	
Complex23	TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA	early endosome membrane	Reactome DB_ID: 2167884	Complex22	
Complex23	TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA	early endosome membrane	Reactome DB_ID: 2167884	Protein19	
Complex23	TGFB1:p-TGFBR:I-SMAD7:GADD34:PP1:SARA	early endosome membrane	Reactome DB_ID: 2167884	Complex18	
Complex24	TGFB1:TGFBR2:TGFBR1	early endosome membrane	Reactome DB_ID: 2167873	Complex1	
Complex24	TGFB1:TGFBR2:TGFBR1	early endosome membrane	Reactome DB_ID: 2167873	Complex6	
Complex24	TGFB1:TGFBR2:TGFBR1	early endosome membrane	Reactome DB_ID: 2167873	Complex10	
Complex25	SMAD7:SMURF2	nucleoplasm	Reactome DB_ID: 2167870	Protein32	
Complex25	SMAD7:SMURF2	nucleoplasm	Reactome DB_ID: 2167870	Protein33	
Complex26	SMAD7:SMURF2	cytosol	Reactome DB_ID: 2167883	Protein34	
Complex26	SMAD7:SMURF2	cytosol	Reactome DB_ID: 2167883	Protein24	
Complex27	SMAD7:SMURF1	nucleoplasm	Reactome DB_ID: 2167913	Protein32	
Complex27	SMAD7:SMURF1	nucleoplasm	Reactome DB_ID: 2167913	Protein35	
Complex28	SMAD7:SMURF1:XPO1	nucleoplasm	Reactome DB_ID: 2167923	Protein36	
Complex28	SMAD7:SMURF1:XPO1	nucleoplasm	Reactome DB_ID: 2167923	Complex27	
Complex29	SMAD7:SMURF1	cytosol	Reactome DB_ID: 2167927	Protein24	
Complex29	SMAD7:SMURF1	cytosol	Reactome DB_ID: 2167927	Protein37	
Complex3	TGFBR2 KD Mutant Dimers	plasma membrane	Reactome DB_ID: 3645782	Protein2	
Complex30	SMAD7:NEDD4L	nucleoplasm	Reactome DB_ID: 2176418	Protein32	
Complex30	SMAD7:NEDD4L	nucleoplasm	Reactome DB_ID: 2176418	Protein39	
Complex31	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein24	
Complex31	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein40	
Complex32	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein24	
Complex32	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein41	
Complex33	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex12	
Complex33	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex32	
Complex34	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Protein42	
Complex34	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Complex18	
Complex35	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Protein57	
Complex35	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Complex34	
Complex36	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Protein42	
Complex36	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Complex18	
Complex37	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein34	
Complex37	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein17	
Complex38	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein42	
Complex38	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein17	
Complex39	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein60	
Complex39	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein18	
Complex4	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein8	
Complex4	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein9	
Complex40	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein42	
Complex40	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein18	
Complex41	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein20	
Complex41	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein61	
Complex42	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein16	
Complex42	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein62	
Complex43	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein20	
Complex43	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein63	
Complex44	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein64	
Complex44	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein14	
Complex45	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein65	
Complex45	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein66	
Complex46	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein67	
Complex46	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein68	
Complex46	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein69	
Complex47	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein71	
Complex47	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein72	
Complex47	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Complex48	
Complex47	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein76	
Complex47	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein77	
Complex48	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein73	
Complex48	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein74	
Complex48	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein75	
Complex49	Tight Junction Complex:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134509	Complex47	
Complex49	Tight Junction Complex:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134509	Complex4	
Complex5	TGFB1:TGFBR2 KD Mutants:TGFBR1	plasma membrane	Reactome DB_ID: 3645785	Complex6	
Complex5	TGFB1:TGFBR2 KD Mutants:TGFBR1	plasma membrane	Reactome DB_ID: 3645785	Complex2	
Complex50	Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134522	Complex47	
Complex50	Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134522	Complex11	
Complex51	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134534	Complex12	
Complex51	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134534	Complex52	
Complex52	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein71	
Complex52	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein72	
Complex52	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein76	
Complex52	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Complex53	
Complex52	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein77	
Complex53	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein74	
Complex53	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein78	
Complex53	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein75	
Complex54	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1	plasma membrane	Reactome DB_ID: 2160929	Complex51	
Complex54	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1	plasma membrane	Reactome DB_ID: 2160929	Protein37	
Complex55	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1	cell junction	Reactome DB_ID: 2160934	Protein42	
Complex55	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1	cell junction	Reactome DB_ID: 2160934	Complex54	
Complex56	p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 173511	Protein79	
Complex56	p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 173511	Protein80	
Complex57	p-T,2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176487	Protein83	
Complex57	p-T,2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176487	Protein79	
Complex59	CDK8:CCNC	nucleoplasm	Reactome DB_ID: 1604465	Protein86	
Complex59	CDK8:CCNC	nucleoplasm	Reactome DB_ID: 1604465	Protein87	
Complex6	TGFBR1 homodimer	plasma membrane	Reactome DB_ID: 170864	Protein8	
Complex60	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein88	
Complex60	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein89	
Complex60	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein90	
Complex61	WWTR1:p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 2031357	Complex17	
Complex61	WWTR1:p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 2031357	Protein91	
Complex62	WWTR1:p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2106580	Protein92	
Complex62	WWTR1:p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2106580	Complex56	
Complex63	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Complex56	
Complex63	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Protein94	
Complex63	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Protein95	
Complex64	SMAD7:RNF111	nucleoplasm	Reactome DB_ID: 2186769	Protein32	
Complex64	SMAD7:RNF111	nucleoplasm	Reactome DB_ID: 2186769	Protein98	
Complex65	Ub-SMAD7	nucleoplasm	Reactome DB_ID: 2186778	Protein32	
Complex65	Ub-SMAD7	nucleoplasm	Reactome DB_ID: 2186778	Protein99	
Complex66	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein114	
Complex66	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein117	
Complex66	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein120	
Complex67	p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127250	Complex66	
Complex67	p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127250	Complex56	
Complex68	p-2S-SMAD2/3:SMAD4:SP1	nucleoplasm	Reactome DB_ID: 2187302	Protein122	
Complex68	p-2S-SMAD2/3:SMAD4:SP1	nucleoplasm	Reactome DB_ID: 2187302	Complex56	
Complex69	p-2S-SMAD2/3:SMAD4:MEN1	nucleoplasm	Reactome DB_ID: 2186642	Complex56	
Complex69	p-2S-SMAD2/3:SMAD4:MEN1	nucleoplasm	Reactome DB_ID: 2186642	Protein124	
Complex7	Pre-TGFB1 complex	Golgi lumen	Reactome DB_ID: 171260	Protein10	
Complex70	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein126	
Complex70	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein79	
Complex70	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein129	
Complex70	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein80	
Complex71	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2	nucleoplasm	Reactome DB_ID: 2186744	Complex70	
Complex71	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2	nucleoplasm	Reactome DB_ID: 2186744	Protein132	
Complex72	Ub-SKI/Ub-SKIL	nucleoplasm	Reactome DB_ID: 2186733	Protein129	
Complex72	Ub-SKI/Ub-SKIL	nucleoplasm	Reactome DB_ID: 2186733	Protein99	
Complex73	p-SMAD2/3:SMAD4:TRIM33	nucleoplasm	Reactome DB_ID: 870446	Protein133	
Complex73	p-SMAD2/3:SMAD4:TRIM33	nucleoplasm	Reactome DB_ID: 870446	Complex56	
Complex74	Ub-SMAD4	nucleoplasm	Reactome DB_ID: 870463	Protein79	
Complex74	Ub-SMAD4	nucleoplasm	Reactome DB_ID: 870463	Protein99	
Complex75	Ub-SMAD4	cytosol	Reactome DB_ID: 870482	Protein23	
Complex75	Ub-SMAD4	cytosol	Reactome DB_ID: 870482	Protein42	
Complex76	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein23	
Complex76	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein42	
Complex76	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein134	
Complex77	p-T-2S-SMAD2/3:SMAD4:NEDDL4	nucleoplasm	Reactome DB_ID: 2176495	Protein39	
Complex77	p-T-2S-SMAD2/3:SMAD4:NEDDL4	nucleoplasm	Reactome DB_ID: 2176495	Complex57	
Complex78	Ub-p-T-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176504	Protein99	
Complex78	Ub-p-T-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176504	Complex57	
Complex79	p-T-2S-SMAD2/3:SMAD4:SMURF2	nucleoplasm	Reactome DB_ID: 2179277	Protein33	
Complex79	p-T-2S-SMAD2/3:SMAD4:SMURF2	nucleoplasm	Reactome DB_ID: 2179277	Complex57	
Complex8	Large latent complex of TGFB1	Golgi lumen	Reactome DB_ID: 177102	Protein12	
Complex80	Ub-p-T-2S-SMAD2/3	nucleoplasm	Reactome DB_ID: 2179273	Protein83	
Complex80	Ub-p-T-2S-SMAD2/3	nucleoplasm	Reactome DB_ID: 2179273	Protein99	
Complex81	p-2S-SMAD2/3:SMAD4:PARP1	nucleoplasm	Reactome DB_ID: 2187322	Complex56	
Complex81	p-2S-SMAD2/3:SMAD4:PARP1	nucleoplasm	Reactome DB_ID: 2187322	Protein135	
Complex82	PAR-SMAD2/3:PAR-SMAD4	nucleoplasm	Reactome DB_ID: 2187328	Protein136	
Complex82	PAR-SMAD2/3:PAR-SMAD4	nucleoplasm	Reactome DB_ID: 2187328	Protein137	
Complex83	p-2S-SMAD2/3:SMAD4:PPM1A	nucleoplasm	Reactome DB_ID: 2187392	Complex56	
Complex83	p-2S-SMAD2/3:SMAD4:PPM1A	nucleoplasm	Reactome DB_ID: 2187392	Protein139	
Complex9	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex1	
Complex9	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex10	
