Complex1	sucrase-isomaltase dimer	plasma membrane	Reactome DB_ID: 189082	Complex2	
Complex69	GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322062	Protein123	
Complex7	GLUT1 tetramer	plasma membrane	Reactome DB_ID: 70400	Protein19	
Complex70	oligoGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322053	SmallMolecule45	
Complex70	oligoGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322053	Protein122	
Complex70	oligoGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322053	Protein123	
Complex71	GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322031	SmallMolecule45	
Complex71	GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322031	Protein124	
Complex71	GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322031	Protein125	
Complex72	oligoGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3321999	Protein126	
Complex72	oligoGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3321999	SmallMolecule45	
Complex72	oligoGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3321999	Protein124	
Complex73	GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322065	SmallMolecule45	
Complex73	GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322065	Protein127	
Complex73	GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322065	Protein125	
Complex74	oligoGlc-GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322007	Protein126	
Complex74	oligoGlc-GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322007	SmallMolecule45	
Complex74	oligoGlc-GYG2:GYS2-b tetramer	cytosol	Reactome DB_ID: 3322007	Protein127	
Complex75	polyGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322054	Protein128	
Complex75	polyGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322054	SmallMolecule45	
Complex75	polyGlc-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322054	Protein121	
Complex76	polyGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322063	Protein128	
Complex76	polyGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322063	SmallMolecule45	
Complex76	polyGlc-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322063	Protein123	
Complex77	polyGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322056	SmallMolecule45	
Complex77	polyGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322056	Protein124	
Complex77	polyGlc-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322056	Protein129	
Complex78	glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322059	SmallMolecule45	
Complex78	glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322059	Protein121	
Complex78	glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3322059	Protein130	
Complex79	glycogen-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322021	SmallMolecule45	
Complex79	glycogen-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322021	Protein123	
Complex79	glycogen-GYG1:GYS1-b tetramer	cytosol	Reactome DB_ID: 3322021	Protein130	
Complex8	GLUT3 tetramer	plasma membrane	Reactome DB_ID: 70408	Protein20	
Complex80	glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322011	SmallMolecule45	
Complex80	glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322011	Protein124	
Complex80	glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3322011	Protein132	
Complex81	PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777096	SmallMolecule45	
Complex81	PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777096	Protein121	
Complex81	PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777096	Protein130	
Complex81	PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777096	Protein133	
Complex82	PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777104	SmallMolecule45	
Complex82	PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777104	Protein124	
Complex82	PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777104	Protein132	
Complex82	PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777104	Protein133	
Complex83	PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777093	SmallMolecule45	
Complex83	PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777093	Protein134	
Complex83	PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777093	Protein121	
Complex83	PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3777093	Protein133	
Complex84	PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777094	SmallMolecule45	
Complex84	PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777094	Protein124	
Complex84	PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777094	Protein135	
Complex84	PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3777094	Protein133	
Complex85	laforin:PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3780999	Protein136	
Complex85	laforin:PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3780999	SmallMolecule45	
Complex85	laforin:PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3780999	Protein134	
Complex85	laforin:PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3780999	Protein121	
Complex85	laforin:PTG:phosphoglycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3780999	Protein133	
Complex86	laforin:PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3781017	Protein136	
Complex86	laforin:PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3781017	SmallMolecule45	
Complex86	laforin:PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3781017	Protein124	
Complex86	laforin:PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3781017	Protein135	
Complex86	laforin:PTG:phosphoglycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3781017	Protein133	
Complex87	laforin:PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3781000	Protein136	
Complex87	laforin:PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3781000	SmallMolecule45	
Complex87	laforin:PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3781000	Protein121	
Complex87	laforin:PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3781000	Protein130	
Complex87	laforin:PTG:glycogen-GYG1:GYS1-a tetramer	cytosol	Reactome DB_ID: 3781000	Protein133	
Complex88	laforin:PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3780991	Protein136	
Complex88	laforin:PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3780991	SmallMolecule45	
Complex88	laforin:PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3780991	Protein124	
Complex88	laforin:PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3780991	Protein132	
Complex88	laforin:PTG:glycogen-GYG2:GYS2-a tetramer	cytosol	Reactome DB_ID: 3780991	Protein133	
Complex89	PGYB dimer b form	cytosol	Reactome DB_ID: 71863	Protein155	
Complex9	GLUT4 tetramer	plasma membrane	Reactome DB_ID: 70384	Protein21	
Complex90	PGYB dimer a form	cytosol	Reactome DB_ID: 71869	Protein156	
Complex91	phosphorylase kinase complex (PHKM)	cytosol	Reactome DB_ID: 71520	Protein157	
Complex91	phosphorylase kinase complex (PHKM)	cytosol	Reactome DB_ID: 71520	Protein158	
Complex91	phosphorylase kinase complex (PHKM)	cytosol	Reactome DB_ID: 71520	Protein159	
Complex91	phosphorylase kinase complex (PHKM)	cytosol	Reactome DB_ID: 71520	Protein160	
Complex92	PGYM dimer, b form	cytosol	Reactome DB_ID: 71538	Protein161	
Complex93	PGYM dimer a form	cytosol	Reactome DB_ID: 71513	Protein162	
Complex94	PGYL dimer b form	cytosol	Reactome DB_ID: 71581	Protein163	
Complex95	PGYL dimer a form	cytosol	Reactome DB_ID: 71586	Protein164	
Complex96	phosphorylase kinase complex (PHKL)	cytosol	Reactome DB_ID: 71534	Protein165	
Complex96	phosphorylase kinase complex (PHKL)	cytosol	Reactome DB_ID: 71534	Protein166	
Complex96	phosphorylase kinase complex (PHKL)	cytosol	Reactome DB_ID: 71534	Protein158	
Complex96	phosphorylase kinase complex (PHKL)	cytosol	Reactome DB_ID: 71534	Protein160	
Complex97	PGYB b dimer:AMP	cytosol	Reactome DB_ID: 453332	SmallMolecule36	
Complex97	PGYB b dimer:AMP	cytosol	Reactome DB_ID: 453332	Protein155	
Complex98	PGYM b dimer:AMP	cytosol	Reactome DB_ID: 453344	Protein161	
Complex98	PGYM b dimer:AMP	cytosol	Reactome DB_ID: 453344	SmallMolecule36	
Complex99	glycogen-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453239	SmallMolecule89	
Complex99	glycogen-glycogenin-1 dimer	cytosol	Reactome DB_ID: 453239	Protein130	
