Complex1	dimeric ATM kinase	nucleoplasm	Reactome DB_ID: 83538	Protein1	
Complex18	RAD52:RPA complex	nucleoplasm	Reactome DB_ID: 83620	Protein19	
Complex19	RAD52:DNA double-strand break	nucleoplasm	Reactome DB_ID: 109778	PhysicalEntity2	
Complex19	RAD52:DNA double-strand break	nucleoplasm	Reactome DB_ID: 109778	Protein19	
Complex2	dimeric phospho-ATM complex	nucleoplasm	Reactome DB_ID: 83894	Protein2	
Complex20	RAD51:RAD52:DNA double strand break end  complex	nucleoplasm	Reactome DB_ID: 83619	Protein18	
Complex20	RAD51:RAD52:DNA double strand break end  complex	nucleoplasm	Reactome DB_ID: 83619	Protein19	
Complex21	RAD51:RPA complex	nucleoplasm	Reactome DB_ID: 83618	Protein18	
Complex21	RAD51:RPA complex	nucleoplasm	Reactome DB_ID: 83618	Complex13	
Complex22	RAD51:resected ends of DNA double-strand break	nucleoplasm	Reactome DB_ID: 109777	PhysicalEntity2	
Complex22	RAD51:resected ends of DNA double-strand break	nucleoplasm	Reactome DB_ID: 109777	Protein18	
Complex23	Ku70:Ku80 heterodimer	nucleoplasm	Reactome DB_ID: 75905	Protein22	
Complex23	Ku70:Ku80 heterodimer	nucleoplasm	Reactome DB_ID: 75905	Protein23	
Complex24	Ku:DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 75906	Complex23	
Complex24	Ku:DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 75906	PhysicalEntity1	
Complex25	DNA-PK holoenzyme	nucleoplasm	Reactome DB_ID: 75907	Protein24	
Complex25	DNA-PK holoenzyme	nucleoplasm	Reactome DB_ID: 75907	Complex24	
Complex26	DNA-PK synaptic complex	nucleoplasm	Reactome DB_ID: 75908	Complex25	
Complex27	DNA-PK:DNA synaptic complex with ligatable ends	nucleoplasm	Reactome DB_ID: 76324	Complex23	
Complex27	DNA-PK:DNA synaptic complex with ligatable ends	nucleoplasm	Reactome DB_ID: 76324	Protein24	
Complex27	DNA-PK:DNA synaptic complex with ligatable ends	nucleoplasm	Reactome DB_ID: 76324	PhysicalEntity13	
Complex28	XRCC4:DNA ligase IV complex	nucleoplasm	Reactome DB_ID: 75912	Protein28	
Complex28	XRCC4:DNA ligase IV complex	nucleoplasm	Reactome DB_ID: 75912	Protein29	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	Protein28	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	Protein24	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	Protein22	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	Protein29	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	Protein23	
Complex29	DNA-PK:XRCC4:DNA ligase IV:DNA  complex associated with ligatable DNA ends	nucleoplasm	Reactome DB_ID: 75915	PhysicalEntity13	
Complex3	gamma H2AX-coated DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 110399	Protein4	
Complex3	gamma H2AX-coated DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 110399	PhysicalEntity1	
Complex4	gamma H2AX:MDC1/NFBD1 complex at site of DNA double-strand break	nucleoplasm	Reactome DB_ID: 110400	Complex3	
Complex4	gamma H2AX:MDC1/NFBD1 complex at site of DNA double-strand break	nucleoplasm	Reactome DB_ID: 110400	Protein7	
Complex5	MDC1/NFBD1:gamma-H2AX complex	nucleoplasm	Reactome DB_ID: 83566	Protein4	
Complex5	MDC1/NFBD1:gamma-H2AX complex	nucleoplasm	Reactome DB_ID: 83566	Protein7	
Complex6	ATM associated with DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 110403	Protein2	
Complex6	ATM associated with DNA double-strand break ends	nucleoplasm	Reactome DB_ID: 110403	Complex5	
Complex7	53BP1:H2AX complex at site of double-strand break	nucleoplasm	Reactome DB_ID: 110401	Complex4	
Complex7	53BP1:H2AX complex at site of double-strand break	nucleoplasm	Reactome DB_ID: 110401	Protein11	
Complex8	gamma-H2AX:NBS1 complex at the site of double-strand break	nucleoplasm	Reactome DB_ID: 75171	Protein8	
Complex8	gamma-H2AX:NBS1 complex at the site of double-strand break	nucleoplasm	Reactome DB_ID: 75171	PhysicalEntity1	
Complex8	gamma-H2AX:NBS1 complex at the site of double-strand break	nucleoplasm	Reactome DB_ID: 75171	Protein4	
Complex9	RAD50:MRE11 complex	nucleoplasm	Reactome DB_ID: 75161	Protein12	
Complex9	RAD50:MRE11 complex	nucleoplasm	Reactome DB_ID: 75161	Protein13	
