Complex1	dimerized CEL:bile salt complex	extracellular region	Reactome DB_ID: 192480	Complex2	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein224	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein208	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein227	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein216	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein233	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein221	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein234	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein212	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein177	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein211	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein226	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein205	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein231	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein219	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein230	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein218	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein232	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein207	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein228	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein209	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein214	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein217	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein215	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein220	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein210	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein223	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein222	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein229	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein206	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein225	
Complex111	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein203	
Complex111	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	PhysicalEntity3	
Complex111	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein201	
Complex111	ROR-alpha:Coactivator	nucleoplasm	Reactome DB_ID: 1368124	Protein237	
Complex112	TEAD:YAP1	nucleoplasm	Reactome DB_ID: 2032772	Protein244	
Complex112	TEAD:YAP1	nucleoplasm	Reactome DB_ID: 2032772	Protein239	
Complex113	TEAD:WWTR1(TAZ)	nucleoplasm	Reactome DB_ID: 2032762	Protein245	
Complex113	TEAD:WWTR1(TAZ)	nucleoplasm	Reactome DB_ID: 2032762	Protein239	
Complex114	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Complex104	
Complex114	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Protein252	
Complex114	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Dna3	
Complex114	SREBP1A/1C/2:NF-Y:SP1:FDFT1 gene	nucleoplasm	Reactome DB_ID: 2426135	Complex115	
Complex115	SREBP1A/1C/2 Dimer	nucleoplasm	Reactome DB_ID: 1655744	Protein253	
Complex116	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Complex104	
Complex116	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Dna4	
Complex116	SREBP1A/1C/2:NF-Y:HMGCS1 gene	nucleoplasm	Reactome DB_ID: 2426129	Complex115	
Complex117	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	PhysicalEntity3	
Complex117	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Complex118	
Complex117	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Protein170	
Complex117	NR1D1 (REV-ERBA):heme:Corepressor	nucleoplasm	Reactome DB_ID: 1368079	Protein171	
Complex118	NR1D1 (REV-ERBA):heme	nucleoplasm	Reactome DB_ID: 1368127	Protein262	
Complex118	NR1D1 (REV-ERBA):heme	nucleoplasm	Reactome DB_ID: 1368127	SmallMolecule179	
Complex119	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	Protein265	
Complex119	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	PhysicalEntity4	
Complex119	p-BMAL1:p-CLOCK/NPAS2:DNA	nucleoplasm	Reactome DB_ID: 421315	Protein268	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein22	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein23	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Protein24	
Complex12	spherical HDL:apoC-II:apoC-III:apoE	extracellular region	Reactome DB_ID: 174643	Complex13	
Complex120	PHYH:Fe++	peroxisomal matrix	Reactome DB_ID: 389634	SmallMolecule191	
Complex120	PHYH:Fe++	peroxisomal matrix	Reactome DB_ID: 389634	Protein278	
Complex121	HACL1 tetramer	peroxisomal matrix	Reactome DB_ID: 389616	Complex122	
Complex122	HACL1 holoenzyme monomer	peroxisomal matrix	Reactome DB_ID: 389627	SmallMolecule195	
Complex122	HACL1 holoenzyme monomer	peroxisomal matrix	Reactome DB_ID: 389627	SmallMolecule194	
Complex122	HACL1 holoenzyme monomer	peroxisomal matrix	Reactome DB_ID: 389627	Protein279	
Complex123	ACOX2:FAD	peroxisomal matrix	Reactome DB_ID: 192320	Protein281	
Complex123	ACOX2:FAD	peroxisomal matrix	Reactome DB_ID: 192320	SmallMolecule206	
Complex124	ACOX3:FAD	peroxisomal matrix	Reactome DB_ID: 389905	SmallMolecule206	
Complex124	ACOX3:FAD	peroxisomal matrix	Reactome DB_ID: 389905	Protein282	
Complex125	HSD17B4 dimer	peroxisomal matrix	Reactome DB_ID: 389999	Protein283	
Complex126	ALDP	peroxisomal membrane	Reactome DB_ID: 382579	Protein288	
Complex127	ACOX1 dimer	peroxisomal matrix	Reactome DB_ID: 390232	Complex128	
Complex128	ACOX1:FAD complex	peroxisomal matrix	Reactome DB_ID: 390237	Protein289	
Complex128	ACOX1:FAD complex	peroxisomal matrix	Reactome DB_ID: 390237	SmallMolecule206	
Complex129	GNPAT:AGPS complex	peroxisomal matrix	Reactome DB_ID: 76165	Complex130	
Complex129	GNPAT:AGPS complex	peroxisomal matrix	Reactome DB_ID: 76165	Protein293	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule1	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule15	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	Protein18	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule3	
Complex13	spherical HDL	extracellular region	Reactome DB_ID: 265523	SmallMolecule36	
Complex130	AGPS:FAD	peroxisomal matrix	Reactome DB_ID: 390407	Protein294	
Complex130	AGPS:FAD	peroxisomal matrix	Reactome DB_ID: 390407	SmallMolecule206	
Complex131	IDH1 dimer	peroxisomal matrix	Reactome DB_ID: 389557	Protein295	
Complex132	IDH1 dimer	cytosol	Reactome DB_ID: 389559	Protein296	
Complex133	HMGCR dimer	endoplasmic reticulum membrane	Reactome DB_ID: 191277	Protein298	
Complex134	MVK dimer	cytosol	Reactome DB_ID: 191285	Protein300	
Complex135	MVD dimer	cytosol	Reactome DB_ID: 191341	Protein302	
Complex136	IDI1 or 2	cytosol	Reactome DB_ID: 191397	SmallMolecule246	
Complex136	IDI1 or 2	cytosol	Reactome DB_ID: 191397	Protein303	
Complex138	holo-FDPS dimer	cytosol	Reactome DB_ID: 981570	Complex139	
Complex139	FDPS:3Mg++	cytosol	Reactome DB_ID: 981562	SmallMolecule246	
Complex139	FDPS:3Mg++	cytosol	Reactome DB_ID: 981562	Protein306	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule1	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein22	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Complex11	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule15	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein23	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein18	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein24	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	SmallMolecule3	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein19	
Complex14	mature CM	extracellular region	Reactome DB_ID: 174697	Protein20	
Complex140	holo-GGPS1 hexamer	cytosol	Reactome DB_ID: 981569	Complex141	
Complex141	GGPS1:3Mg++	cytosol	Reactome DB_ID: 981557	SmallMolecule246	
Complex141	GGPS1:3Mg++	cytosol	Reactome DB_ID: 981557	Protein307	
Complex142	FDFT (Mg2+ cofactor)	endoplasmic reticulum membrane	Reactome DB_ID: 191320	SmallMolecule246	
Complex142	FDFT (Mg2+ cofactor)	endoplasmic reticulum membrane	Reactome DB_ID: 191320	Protein255	
Complex143	SQLE:FAD	endoplasmic reticulum membrane	Reactome DB_ID: 191413	Protein308	
Complex143	SQLE:FAD	endoplasmic reticulum membrane	Reactome DB_ID: 191413	SmallMolecule253	
Complex144	SREBP1A/1C/2:SCAP	endoplasmic reticulum membrane	Reactome DB_ID: 2317520	Protein323	
Complex144	SREBP1A/1C/2:SCAP	endoplasmic reticulum membrane	Reactome DB_ID: 2317520	Complex145	
Complex145	SCAP tetramer	endoplasmic reticulum membrane	Reactome DB_ID: 1655748	Protein327	
Complex146	SREBP1A/1C/2:SCAP:cholesterol:INSIG	endoplasmic reticulum membrane	Reactome DB_ID: 1655766	Protein323	
Complex146	SREBP1A/1C/2:SCAP:cholesterol:INSIG	endoplasmic reticulum membrane	Reactome DB_ID: 1655766	Protein320	
Complex146	SREBP1A/1C/2:SCAP:cholesterol:INSIG	endoplasmic reticulum membrane	Reactome DB_ID: 1655766	Complex147	
Complex147	SCAP:cholesterol	endoplasmic reticulum membrane	Reactome DB_ID: 1655741	Complex145	
Complex147	SCAP:cholesterol	endoplasmic reticulum membrane	Reactome DB_ID: 1655741	SmallMolecule272	
Complex148	INSIG:oxysterol	endoplasmic reticulum membrane	Reactome DB_ID: 2317517	Protein320	
Complex148	INSIG:oxysterol	endoplasmic reticulum membrane	Reactome DB_ID: 2317517	SmallMolecule273	
Complex149	SREBP1A/1C/2:SCAP:INSIG:oxysterol	endoplasmic reticulum membrane	Reactome DB_ID: 2317522	Protein323	
Complex149	SREBP1A/1C/2:SCAP:INSIG:oxysterol	endoplasmic reticulum membrane	Reactome DB_ID: 2317522	Complex145	
Complex149	SREBP1A/1C/2:SCAP:INSIG:oxysterol	endoplasmic reticulum membrane	Reactome DB_ID: 2317522	Complex148	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule1	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein22	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Complex11	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule15	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein23	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein18	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein24	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	SmallMolecule3	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein19	
Complex15	TG-depleted chylomicron	extracellular region	Reactome DB_ID: 174798	Protein20	
Complex150	Sar1b:GTP:Sec23p:Sec24p	endoplasmic reticulum membrane	Reactome DB_ID: 203997	Complex152	
Complex150	Sar1b:GTP:Sec23p:Sec24p	endoplasmic reticulum membrane	Reactome DB_ID: 203997	Complex151	
Complex151	Sar1b:GTP Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204003	SmallMolecule274	
Complex151	Sar1b:GTP Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204003	Protein328	
Complex152	Sec23p:Sec24p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204007	Protein330	
Complex152	Sec23p:Sec24p Complex	endoplasmic reticulum membrane	Reactome DB_ID: 204007	Protein329	
Complex153	SREBP1A/1C/2:SCAP:Cop II Coat	endoplasmic reticulum membrane	Reactome DB_ID: 1655765	Complex150	
Complex153	SREBP1A/1C/2:SCAP:Cop II Coat	endoplasmic reticulum membrane	Reactome DB_ID: 1655765	Complex144	
Complex154	SREBP1A/1C/2:SCAP	Golgi membrane	Reactome DB_ID: 1655742	Complex155	
Complex154	SREBP1A/1C/2:SCAP	Golgi membrane	Reactome DB_ID: 1655742	Protein335	
Complex155	SCAP tetramer	Golgi membrane	Reactome DB_ID: 1655737	Protein339	
Complex156	SREBP1A/1C/2 Dimer	cytosol	Reactome DB_ID: 2065548	Protein345	
Complex157	SREBP1A/1C/2:Importin beta-1	cytosol	Reactome DB_ID: 2065556	Complex156	
Complex157	SREBP1A/1C/2:Importin beta-1	cytosol	Reactome DB_ID: 2065556	Protein350	
Complex158	SREBP1A/1C/2:Importin beta-1	nucleoplasm	Reactome DB_ID: 2065543	Protein351	
Complex158	SREBP1A/1C/2:Importin beta-1	nucleoplasm	Reactome DB_ID: 2065543	Complex115	
Complex159	Ran-GTP	nucleoplasm	Reactome DB_ID: 180738	Protein352	
Complex159	Ran-GTP	nucleoplasm	Reactome DB_ID: 180738	SmallMolecule275	
Complex16	HSPG:LPL:LPL	plasma membrane	Reactome DB_ID: 174691	Protein25	
Complex16	HSPG:LPL:LPL	plasma membrane	Reactome DB_ID: 174691	Complex17	
Complex160	Importin-beta:Ran GTP complex	nucleoplasm	Reactome DB_ID: 180719	Protein351	
Complex160	Importin-beta:Ran GTP complex	nucleoplasm	Reactome DB_ID: 180719	Complex159	
Complex161	SREBP1A/1C Dimer	nucleoplasm	Reactome DB_ID: 2065537	Protein353	
Complex162	SREBP1A/1C:ACACA gene	nucleoplasm	Reactome DB_ID: 2426141	Complex161	
Complex162	SREBP1A/1C:ACACA gene	nucleoplasm	Reactome DB_ID: 2426141	Dna5	
Complex163	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Protein252	
Complex163	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Complex161	
Complex163	SREBP1A/1C:ACACB gene	nucleoplasm	Reactome DB_ID: 2426125	Dna6	
Complex164	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Complex104	
Complex164	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Dna7	
Complex164	SREBP1A/1C/2:NF-Y:TM7SF2 gene	nucleoplasm	Reactome DB_ID: 1655714	Complex115	
Complex165	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Complex104	
Complex165	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Dna8	
Complex165	SREBP1A/1C:NF-Y:GPAM gene	nucleoplasm	Reactome DB_ID: 2426131	Complex161	
Complex166	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Complex104	
Complex166	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Protein252	
Complex166	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Complex161	
Complex166	SREBP1A/1C:NF-Y:SP1:FASN gene	nucleoplasm	Reactome DB_ID: 1655738	Dna9	
Complex167	SREBP1A/2:LSS gene	nucleoplasm	Reactome DB_ID: 2426137	Complex105	
Complex167	SREBP1A/2:LSS gene	nucleoplasm	Reactome DB_ID: 2426137	Dna10	
Complex168	SREBP1A/2:MVD gene	nucleoplasm	Reactome DB_ID: 2426130	Complex105	
Complex168	SREBP1A/2:MVD gene	nucleoplasm	Reactome DB_ID: 2426130	Dna11	
Complex169	SREBP1A/2:NF-Y:SC5DL gene	nucleoplasm	Reactome DB_ID: 2426140	Complex104	
Complex169	SREBP1A/2:NF-Y:SC5DL gene	nucleoplasm	Reactome DB_ID: 2426140	Complex105	
Complex169	SREBP1A/2:NF-Y:SC5DL gene	nucleoplasm	Reactome DB_ID: 2426140	Dna12	
Complex17	LPL:LPL	extracellular region	Reactome DB_ID: 174592	Protein28	
Complex170	SREBP1A/2:NF-Y:SP1:CYP51A1 gene	nucleoplasm	Reactome DB_ID: 2426132	Complex104	
Complex170	SREBP1A/2:NF-Y:SP1:CYP51A1 gene	nucleoplasm	Reactome DB_ID: 2426132	Protein252	
Complex170	SREBP1A/2:NF-Y:SP1:CYP51A1 gene	nucleoplasm	Reactome DB_ID: 2426132	Complex105	
Complex170	SREBP1A/2:NF-Y:SP1:CYP51A1 gene	nucleoplasm	Reactome DB_ID: 2426132	Dna13	
Complex171	SREBP1A/2:NF-Y:SP1:DHCR7 gene	nucleoplasm	Reactome DB_ID: 2426124	Complex104	
Complex171	SREBP1A/2:NF-Y:SP1:DHCR7 gene	nucleoplasm	Reactome DB_ID: 2426124	Protein252	
Complex171	SREBP1A/2:NF-Y:SP1:DHCR7 gene	nucleoplasm	Reactome DB_ID: 2426124	Complex105	
Complex171	SREBP1A/2:NF-Y:SP1:DHCR7 gene	nucleoplasm	Reactome DB_ID: 2426124	Dna14	
Complex172	SREBP1A/2:NF-Y:SP1:GGPS1 gene	nucleoplasm	Reactome DB_ID: 2426126	Complex104	
Complex172	SREBP1A/2:NF-Y:SP1:GGPS1 gene	nucleoplasm	Reactome DB_ID: 2426126	Protein252	
Complex172	SREBP1A/2:NF-Y:SP1:GGPS1 gene	nucleoplasm	Reactome DB_ID: 2426126	Complex105	
Complex172	SREBP1A/2:NF-Y:SP1:GGPS1 gene	nucleoplasm	Reactome DB_ID: 2426126	Dna15	
Complex173	SREBP1A/2:NF-Y:SP1:IDI1 gene	nucleoplasm	Reactome DB_ID: 2426138	Complex104	
Complex173	SREBP1A/2:NF-Y:SP1:IDI1 gene	nucleoplasm	Reactome DB_ID: 2426138	Protein252	
Complex173	SREBP1A/2:NF-Y:SP1:IDI1 gene	nucleoplasm	Reactome DB_ID: 2426138	Complex105	
Complex173	SREBP1A/2:NF-Y:SP1:IDI1 gene	nucleoplasm	Reactome DB_ID: 2426138	Dna16	
Complex174	SREBP1A/2:NF-Y:SP1:MVK gene	nucleoplasm	Reactome DB_ID: 2426127	Complex104	
Complex174	SREBP1A/2:NF-Y:SP1:MVK gene	nucleoplasm	Reactome DB_ID: 2426127	Protein252	
Complex174	SREBP1A/2:NF-Y:SP1:MVK gene	nucleoplasm	Reactome DB_ID: 2426127	Complex105	
Complex174	SREBP1A/2:NF-Y:SP1:MVK gene	nucleoplasm	Reactome DB_ID: 2426127	Dna17	
Complex175	SREBP1A/2:NF-Y:SP1:PMVK gene	nucleoplasm	Reactome DB_ID: 2426139	Complex104	
Complex175	SREBP1A/2:NF-Y:SP1:PMVK gene	nucleoplasm	Reactome DB_ID: 2426139	Protein252	
Complex175	SREBP1A/2:NF-Y:SP1:PMVK gene	nucleoplasm	Reactome DB_ID: 2426139	Complex105	
Complex175	SREBP1A/2:NF-Y:SP1:PMVK gene	nucleoplasm	Reactome DB_ID: 2426139	Dna18	
Complex176	SREBP1A/2:SQLE gene	nucleoplasm	Reactome DB_ID: 2426136	Complex104	
Complex176	SREBP1A/2:SQLE gene	nucleoplasm	Reactome DB_ID: 2426136	Complex105	
Complex176	SREBP1A/2:SQLE gene	nucleoplasm	Reactome DB_ID: 2426136	Dna19	
Complex177	SREBP1A/1C/2:ELOVL6 gene	nucleoplasm	Reactome DB_ID: 1655762	Complex115	
Complex177	SREBP1A/1C/2:ELOVL6 gene	nucleoplasm	Reactome DB_ID: 1655762	Dna20	
Complex178	SREBP1A/1C/2:NF-Y:FDPS gene	nucleoplasm	Reactome DB_ID: 2426134	Complex104	
Complex178	SREBP1A/1C/2:NF-Y:FDPS gene	nucleoplasm	Reactome DB_ID: 2426134	Complex115	
Complex178	SREBP1A/1C/2:NF-Y:FDPS gene	nucleoplasm	Reactome DB_ID: 2426134	Dna21	
Complex179	CH25H (Fe2+ cofactor)	endoplasmic reticulum membrane	Reactome DB_ID: 192180	SmallMolecule363	
Complex179	CH25H (Fe2+ cofactor)	endoplasmic reticulum membrane	Reactome DB_ID: 192180	Protein376	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule1	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	Complex11	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule15	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	Protein24	
Complex18	chylomicron remnant	extracellular region	Reactome DB_ID: 174807	SmallMolecule3	
Complex180	bile salts and acids complexed with FABP6	cytosol	Reactome DB_ID: 194191	SmallMolecule367	
Complex180	bile salts and acids complexed with FABP6	cytosol	Reactome DB_ID: 194191	Protein377	
Complex181	bile salts and acids complexed with albumin	extracellular region	Reactome DB_ID: 194165	Protein53	
Complex181	bile salts and acids complexed with albumin	extracellular region	Reactome DB_ID: 194165	SmallMolecule5	
Complex182	albumin:bile salt complex	extracellular region	Reactome DB_ID: 194125	Protein53	
Complex182	albumin:bile salt complex	extracellular region	Reactome DB_ID: 194125	SmallMolecule327	
Complex183	albumin:bile salt and acid (OATP-A) complex	extracellular region	Reactome DB_ID: 194110	Protein53	
Complex183	albumin:bile salt and acid (OATP-A) complex	extracellular region	Reactome DB_ID: 194110	SmallMolecule369	
Complex184	albumin:cholate bile salt complex	extracellular region	Reactome DB_ID: 194104	Protein53	
Complex184	albumin:cholate bile salt complex	extracellular region	Reactome DB_ID: 194104	SmallMolecule371	
