Complex10	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex11	
Complex5	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	Protein39	
Complex51	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Protein69	
Complex51	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Complex52	
Complex52	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein70	
Complex52	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein71	
Complex53	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Protein72	
Complex53	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Complex52	
Complex54	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein1	
Complex54	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein3	
Complex55	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Protein40	
Complex55	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Complex56	
Complex56	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Protein68	
Complex56	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Complex57	
Complex58	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Complex59	
Complex58	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Protein78	
Complex59	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	Protein73	
Complex59	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	PhysicalEntity4	
Complex6	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	Protein4	
Complex6	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	SmallMolecule5	
Complex6	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	PhysicalEntity2	
Complex60	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Complex59	
Complex60	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Protein79	
Complex61	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Protein40	
Complex61	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Complex62	
Complex62	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Complex63	
Complex62	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Protein68	
Complex64	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Protein69	
Complex64	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Complex65	
Complex65	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	Protein80	
Complex65	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	PhysicalEntity5	
Complex66	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Protein72	
Complex66	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Complex65	
Complex67	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Protein40	
Complex67	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Complex68	
Complex68	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Complex69	
Complex68	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Protein68	
Complex7	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein10	
Complex7	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	SmallMolecule5	
Complex7	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein19	
Complex70	p-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251953	Complex71	
Complex71	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	Protein81	
Complex71	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	PhysicalEntity5	
Complex72	p-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251954	Complex73	
Complex73	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	Protein82	
Complex73	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	PhysicalEntity5	
Complex74	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein40	
Complex74	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein2	
Complex74	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex75	
Complex74	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex54	
Complex75	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex76	
Complex76	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein70	
Complex76	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein71	
Complex77	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein90	
Complex77	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein91	
Complex77	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Complex78	
Complex77	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein93	
Complex78	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein68	
Complex78	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein92	
Complex79	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein98	
Complex79	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule4	
Complex8	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	SmallMolecule5	
Complex8	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Complex9	
Complex8	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Protein19	
Complex80	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein103	
Complex80	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule4	
Complex81	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein104	
Complex81	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule4	
Complex82	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein108	
Complex82	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein109	
Complex82	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein110	
Complex82	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein111	
Complex83	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein112	
Complex83	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex79	
Complex84	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex80	
Complex84	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex81	
Complex85	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule10	
Complex85	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein163	
Complex86	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	SmallMolecule11	
Complex86	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	Protein168	
Complex87	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	Protein103	
Complex87	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	SmallMolecule1	
Complex89	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Complex90	
Complex89	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein172	
Complex89	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein173	
Complex9	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Protein18	
Complex9	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Complex10	
Complex90	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Rna1	
Complex90	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Protein171	
Complex91	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein172	
Complex91	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Complex92	
Complex91	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein173	
Complex92	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Protein177	
Complex92	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Rna1	
Complex93	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Complex88	
Complex93	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Rna4	
