PhysicalEntity1	Host Derived Lipid Bilayer Membrane Rich In Sphingolipids And Cholesterol	plasma membrane	Reactome DB_ID: 169703	NA	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule18	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule19	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule20	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule21	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule22	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule23	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule24	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule25	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule26	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule27	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule28	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule29	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule30	
SmallMolecule11	Aminoacyl-tRNA	cytosol	Reactome DB_ID: 37001	SmallMolecule31	
SmallMolecule6	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule7	
SmallMolecule6	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule8	
SmallMolecule6	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule9	
SmallMolecule6	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule10	
