PhysicalEntity1	Multimeric matrix layer	extracellular region	Reactome DB_ID: 173641	NA	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein186	
Protein173	Ub	cytosol	Reactome DB_ID: 113595	Protein187	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein189	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein190	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein191	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein192	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein193	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein194	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein195	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein196	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein197	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein198	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein199	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein200	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein201	
Protein188	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein202	
Protein20	CCR5, CXCR4	plasma membrane	Reactome DB_ID: 175536	Protein21	
Protein20	CCR5, CXCR4	plasma membrane	Reactome DB_ID: 175536	Protein22	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein212	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein213	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein214	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein215	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein216	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein217	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein218	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein219	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein220	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein221	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein222	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein223	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein224	
Protein211	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein225	
Protein242	CHMP4	cytosol	Reactome DB_ID: 917714	Protein243	
Protein242	CHMP4	cytosol	Reactome DB_ID: 917714	Protein244	
Protein242	CHMP4	cytosol	Reactome DB_ID: 917714	Protein245	
Protein246	CHMP2	cytosol	Reactome DB_ID: 917705	Protein247	
Protein246	CHMP2	cytosol	Reactome DB_ID: 917705	Protein248	
Protein254	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein255	
Protein254	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein256	
Protein254	ADP/ATP translocase monomer (generic)	mitochondrial inner membrane	Reactome DB_ID: 164858	Protein257	
Protein263	APOBEC3G	cytosol	Reactome DB_ID: 180578	Protein264	
Protein33	p6 protein	cytosol	Reactome DB_ID: 173114	Protein34	
Protein33	p6 protein	cytosol	Reactome DB_ID: 173114	Protein35	
Protein330	AP-1 mu	cytosol	Reactome DB_ID: 167716	Protein331	
Protein330	AP-1 mu	cytosol	Reactome DB_ID: 167716	Protein332	
Protein333	AP-1 sigma	cytosol	Reactome DB_ID: 167713	Protein334	
Protein333	AP-1 sigma	cytosol	Reactome DB_ID: 167713	Protein335	
Protein333	AP-1 sigma	cytosol	Reactome DB_ID: 167713	Protein336	
Protein340	Adaptor protein complex 2 (AP-2) large adaptins	cytosol	Reactome DB_ID: 182144	Protein341	
Protein340	Adaptor protein complex 2 (AP-2) large adaptins	cytosol	Reactome DB_ID: 182144	Protein342	
Protein36	NC	cytosol	Reactome DB_ID: 175167	Protein37	
Protein36	NC	cytosol	Reactome DB_ID: 175167	Protein38	
Protein39	MA	cytosol	Reactome DB_ID: 173120	Protein40	
Protein39	MA	cytosol	Reactome DB_ID: 173120	Protein41	
Protein53	p6 protein	nucleoplasm	Reactome DB_ID: 175430	Protein54	
Protein53	p6 protein	nucleoplasm	Reactome DB_ID: 175430	Protein55	
Protein57	MA	nucleoplasm	Reactome DB_ID: 175256	Protein58	
Protein57	MA	nucleoplasm	Reactome DB_ID: 175256	Protein59	
Protein7	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein8	
Protein7	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein9	
SmallMolecule1	dNTP	cytosol	Reactome DB_ID: 173818	SmallMolecule2	
SmallMolecule1	dNTP	cytosol	Reactome DB_ID: 173818	SmallMolecule3	
SmallMolecule1	dNTP	cytosol	Reactome DB_ID: 173818	SmallMolecule4	
SmallMolecule1	dNTP	cytosol	Reactome DB_ID: 173818	SmallMolecule5	
SmallMolecule10	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule7	
SmallMolecule10	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule11	
SmallMolecule10	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule12	
SmallMolecule10	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule13	
