PhysicalEntity1	viral plus strand DNA (full-length)	nucleoplasm	Reactome DB_ID: 175036	NA	
PhysicalEntity9	HIV-1 template DNA containing promoter with transcript of  2 or 3 nucleotides	nucleoplasm	Reactome DB_ID: 167475	NA	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein113	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein114	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein115	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein116	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein117	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein118	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein119	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein120	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein121	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein122	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein123	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein124	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein125	
Protein112	Ub	cytosol	Reactome DB_ID: 113595	Protein126	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein128	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein129	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein130	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein131	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein132	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein133	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein134	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein135	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein136	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein137	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein138	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein139	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein140	
Protein127	ubiquitin	endosome membrane	Reactome DB_ID: 184258	Protein141	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein151	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein152	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein153	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein154	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein155	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein156	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein157	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein158	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein159	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein160	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein161	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein162	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein163	
Protein150	ubiquitin	plasma membrane	Reactome DB_ID: 3149456	Protein164	
Protein184	CHMP4	cytosol	Reactome DB_ID: 917714	Protein185	
Protein184	CHMP4	cytosol	Reactome DB_ID: 917714	Protein186	
Protein184	CHMP4	cytosol	Reactome DB_ID: 917714	Protein187	
Protein189	CHMP2	cytosol	Reactome DB_ID: 917705	Protein190	
Protein189	CHMP2	cytosol	Reactome DB_ID: 917705	Protein191	
Protein206	NC	extracellular region	Reactome DB_ID: 173121	Protein207	
Protein206	NC	extracellular region	Reactome DB_ID: 173121	Protein208	
Protein211	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein212	
Protein211	p6 protein	extracellular region	Reactome DB_ID: 175031	Protein213	
Protein79	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein80	
Protein79	NUP98	nuclear envelope	Reactome DB_ID: 2990879	Protein81	
SmallMolecule4	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule1	
SmallMolecule4	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
SmallMolecule4	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule6	
SmallMolecule4	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule7	
