Complex1	14-3-3zeta dimer	cytosol	Reactome DB_ID: 206751	Protein1	
Complex109	Alpha-2 adrenoceptor:Catecholamine	plasma membrane	Reactome DB_ID: 390700	Protein161	
Complex11	Heterotrimeric G-protein Gi (inactive)	plasma membrane	Reactome DB_ID: 392165	Complex12	
Complex11	Heterotrimeric G-protein Gi (inactive)	plasma membrane	Reactome DB_ID: 392165	Complex13	
Complex110	GP1b-IX-V complex:activated thrombin (factor IIa)	plasma membrane	Reactome DB_ID: 429532	Complex3	
Complex110	GP1b-IX-V complex:activated thrombin (factor IIa)	plasma membrane	Reactome DB_ID: 429532	Complex34	
Complex111	TPO:Thrombopoietin receptor	plasma membrane	Reactome DB_ID: 443940	Protein165	
Complex111	TPO:Thrombopoietin receptor	plasma membrane	Reactome DB_ID: 443940	Protein166	
Complex112	IP3 receptor	platelet dense tubular network membrane	Reactome DB_ID: 418292	Protein167	
Complex113	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	SmallMolecule23	
Complex113	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	SmallMolecule24	
Complex113	IP3 receptor bound to IP3 and Ca++	platelet dense tubular network membrane	Reactome DB_ID: 139839	Complex112	
Complex114	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	SmallMolecule13	
Complex114	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	SmallMolecule26	
Complex114	CalDAG-GEFs:DAG:Ca2+	plasma membrane	Reactome DB_ID: 392841	Protein130	
Complex115	Protein kinase C, novel isoforms:DAG	plasma membrane	Reactome DB_ID: 426071	Protein171	
Complex115	Protein kinase C, novel isoforms:DAG	plasma membrane	Reactome DB_ID: 426071	SmallMolecule13	
Complex116	DAG-activated TRPC3/6/7	plasma membrane	Reactome DB_ID: 426179	Protein176	
Complex116	DAG-activated TRPC3/6/7	plasma membrane	Reactome DB_ID: 426179	SmallMolecule13	
Complex118	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule13	
Complex118	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule33	
Complex118	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	Protein199	
Complex118	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule34	
Complex119	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule13	
Complex119	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule33	
Complex119	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule34	
Complex119	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	Protein200	
Complex12	G-protein alpha (i):GDP	plasma membrane	Reactome DB_ID: 392164	SmallMolecule3	
Complex12	G-protein alpha (i):GDP	plasma membrane	Reactome DB_ID: 392164	Protein13	
Complex120	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule13	
Complex120	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule33	
Complex120	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	Protein198	
Complex120	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule34	
Complex121	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein218	
Complex121	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein219	
Complex121	fibrinogen	platelet alpha granule lumen	Reactome DB_ID: 114617	Protein220	
Complex122	Hepatocyte growth factor	platelet alpha granule lumen	Reactome DB_ID: 141765	Protein241	
Complex122	Hepatocyte growth factor	platelet alpha granule lumen	Reactome DB_ID: 141765	Protein242	
Complex124	PDGF A homodimer	platelet alpha granule lumen	Reactome DB_ID: 184195	Protein244	
Complex125	PDGF AB heterodimer	platelet alpha granule lumen	Reactome DB_ID: 184198	Protein245	
Complex125	PDGF AB heterodimer	platelet alpha granule lumen	Reactome DB_ID: 184198	Protein244	
Complex126	PDGF B homodimer	platelet alpha granule lumen	Reactome DB_ID: 184204	Protein246	
Complex127	Thrombospondin-1 trimer	platelet alpha granule lumen	Reactome DB_ID: 549142	Protein267	
Complex128	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein142	
Complex128	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein275	
Complex128	Fibrinogen	extracellular region	Reactome DB_ID: 114618	Protein276	
Complex129	Hepatocyte growth factor	extracellular region	Reactome DB_ID: 141763	Protein293	
Complex129	Hepatocyte growth factor	extracellular region	Reactome DB_ID: 141763	Protein294	
Complex13	G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 167434	Protein18	
Complex13	G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 167434	Protein24	
Complex131	PDGF A homodimer	extracellular region	Reactome DB_ID: 184203	Protein295	
Complex132	PDGF AB heterodimer	extracellular region	Reactome DB_ID: 184196	Protein295	
Complex132	PDGF AB heterodimer	extracellular region	Reactome DB_ID: 184196	Protein296	
Complex133	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein297	
Complex134	THBS1 trimer	extracellular region	Reactome DB_ID: 265405	Protein318	
Complex135	Alpha IIb Beta 3 Integrin	platelet alpha granule membrane	Reactome DB_ID: 114513	Protein325	
Complex135	Alpha IIb Beta 3 Integrin	platelet alpha granule membrane	Reactome DB_ID: 114513	Protein326	
Complex14	ADP:P2Y purinoceptor 12:G-protein Gi (inactive)	plasma membrane	Reactome DB_ID: 392184	Complex11	
Complex14	ADP:P2Y purinoceptor 12:G-protein Gi (inactive)	plasma membrane	Reactome DB_ID: 392184	Complex10	
Complex15	ADP:P2Y purinoceptor 12:G-protein Gi (active)	plasma membrane	Reactome DB_ID: 392194	Complex16	
Complex15	ADP:P2Y purinoceptor 12:G-protein Gi (active)	plasma membrane	Reactome DB_ID: 392194	Complex10	
Complex16	Heterotrimeric G-protein Gi (active)	plasma membrane	Reactome DB_ID: 392168	Complex17	
Complex16	Heterotrimeric G-protein Gi (active)	plasma membrane	Reactome DB_ID: 392168	Complex13	
Complex17	G-protein alpha (i): GTP	plasma membrane	Reactome DB_ID: 392161	SmallMolecule5	
Complex17	G-protein alpha (i): GTP	plasma membrane	Reactome DB_ID: 392161	Protein13	
Complex18	ADP:P2Y purinoceptor 1	plasma membrane	Reactome DB_ID: 418583	SmallMolecule2	
Complex18	ADP:P2Y purinoceptor 1	plasma membrane	Reactome DB_ID: 418583	Protein37	
Complex19	Heterotrimeric G-protein Gq/11 (inactive)	plasma membrane	Reactome DB_ID: 114557	Complex20	
Complex19	Heterotrimeric G-protein Gq/11 (inactive)	plasma membrane	Reactome DB_ID: 114557	Complex13	
Complex2	GPIb-IX-V:vWF	plasma membrane	Reactome DB_ID: 429541	Complex3	
Complex2	GPIb-IX-V:vWF	plasma membrane	Reactome DB_ID: 429541	Protein6	
Complex20	G-protein alpha (q/11):GDP	plasma membrane	Reactome DB_ID: 114556	SmallMolecule3	
Complex20	G-protein alpha (q/11):GDP	plasma membrane	Reactome DB_ID: 114556	Protein38	
Complex21	ADP:P2Y purinoceptor 1:G-protein Gq (inactive)	plasma membrane	Reactome DB_ID: 418578	Complex19	
Complex21	ADP:P2Y purinoceptor 1:G-protein Gq (inactive)	plasma membrane	Reactome DB_ID: 418578	Complex18	
Complex22	ADP:P2Y purinoceptor 1:G-protein Gq (active)	plasma membrane	Reactome DB_ID: 418575	Complex23	
Complex22	ADP:P2Y purinoceptor 1:G-protein Gq (active)	plasma membrane	Reactome DB_ID: 418575	Complex18	
Complex23	Heterotrimeric G-protein Gq (active)	plasma membrane	Reactome DB_ID: 114554	Complex24	
Complex23	Heterotrimeric G-protein Gq (active)	plasma membrane	Reactome DB_ID: 114554	Complex13	
Complex24	G-protein alpha (q/11): GTP	plasma membrane	Reactome DB_ID: 114534	SmallMolecule5	
Complex24	G-protein alpha (q/11): GTP	plasma membrane	Reactome DB_ID: 114534	Protein38	
Complex25	TP receptor:Thromboxane A2	plasma membrane	Reactome DB_ID: 391925	SmallMolecule9	
Complex25	TP receptor:Thromboxane A2	plasma membrane	Reactome DB_ID: 391925	Protein47	
Complex26	TP receptor:Thromboxane A2:G-protein Gq (inactive)	plasma membrane	Reactome DB_ID: 428764	Complex19	
Complex26	TP receptor:Thromboxane A2:G-protein Gq (inactive)	plasma membrane	Reactome DB_ID: 428764	Complex25	
Complex27	Heterotrimeric G-protein G13 (inactive)	plasma membrane	Reactome DB_ID: 398072	Complex28	
Complex27	Heterotrimeric G-protein G13 (inactive)	plasma membrane	Reactome DB_ID: 398072	Complex13	
Complex28	G-protein alpha (13):GDP	plasma membrane	Reactome DB_ID: 398057	SmallMolecule3	
Complex28	G-protein alpha (13):GDP	plasma membrane	Reactome DB_ID: 398057	Protein48	
Complex29	TP receptor:Thromboxane A2:G-protein G13 (inactive)	plasma membrane	Reactome DB_ID: 428905	Complex25	
Complex29	TP receptor:Thromboxane A2:G-protein G13 (inactive)	plasma membrane	Reactome DB_ID: 428905	Complex27	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein2	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Protein3	
Complex3	GPIb-IX-V complex	plasma membrane	Reactome DB_ID: 114668	Complex4	
Complex30	TP receptor:Thromboxane A2:G-protein Gq (active)	plasma membrane	Reactome DB_ID: 428904	Complex23	
Complex30	TP receptor:Thromboxane A2:G-protein Gq (active)	plasma membrane	Reactome DB_ID: 428904	Complex25	
Complex31	TP receptor:Thromboxane A2:G-protein G13 (active)	plasma membrane	Reactome DB_ID: 428907	Complex32	
Complex31	TP receptor:Thromboxane A2:G-protein G13 (active)	plasma membrane	Reactome DB_ID: 428907	Complex25	
Complex32	Heterotrimeric G-protein G13 (active)	plasma membrane	Reactome DB_ID: 398074	Complex33	
Complex32	Heterotrimeric G-protein G13 (active)	plasma membrane	Reactome DB_ID: 398074	Complex13	
Complex33	G-protein alpha (13):GTP	plasma membrane	Reactome DB_ID: 398056	SmallMolecule5	
Complex33	G-protein alpha (13):GTP	plasma membrane	Reactome DB_ID: 398056	Protein48	
Complex34	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	Protein61	
Complex34	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	SmallMolecule10	
Complex34	Activated thrombin (factor IIa)	extracellular region	Reactome DB_ID: 156786	Protein62	
Complex35	Thrombin-activated PAR:Gq (inactive)	plasma membrane	Reactome DB_ID: 397803	Protein53	
Complex35	Thrombin-activated PAR:Gq (inactive)	plasma membrane	Reactome DB_ID: 397803	Complex19	
Complex36	Thrombin-activated PAR:Gq (active)	plasma membrane	Reactome DB_ID: 397802	Complex23	
Complex36	Thrombin-activated PAR:Gq (active)	plasma membrane	Reactome DB_ID: 397802	Protein53	
Complex38	Heterotrimeric G-protein G12 (inactive)	plasma membrane	Reactome DB_ID: 114551	Complex39	
Complex38	Heterotrimeric G-protein G12 (inactive)	plasma membrane	Reactome DB_ID: 114551	Complex13	
Complex39	G-protein alpha (12):GDP	plasma membrane	Reactome DB_ID: 114550	SmallMolecule3	
Complex39	G-protein alpha (12):GDP	plasma membrane	Reactome DB_ID: 114550	Protein63	
Complex4	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein4	
Complex4	GPIb	plasma membrane	Reactome DB_ID: 114667	Protein5	
Complex40	Thrombin activated PAR:G12/13 (inactive)	plasma membrane	Reactome DB_ID: 397883	Protein53	
Complex40	Thrombin activated PAR:G12/13 (inactive)	plasma membrane	Reactome DB_ID: 397883	Complex37	
Complex41	Thrombin activated PAR:G12/13 (active)	plasma membrane	Reactome DB_ID: 397884	Protein53	
Complex41	Thrombin activated PAR:G12/13 (active)	plasma membrane	Reactome DB_ID: 397884	Complex42	
Complex43	Heterotrimeric G-protein G12 (active)	plasma membrane	Reactome DB_ID: 114547	Complex44	
Complex43	Heterotrimeric G-protein G12 (active)	plasma membrane	Reactome DB_ID: 114547	Complex13	
Complex44	G-protein alpha (12):GTP	plasma membrane	Reactome DB_ID: 114525	SmallMolecule5	
Complex44	G-protein alpha (12):GTP	plasma membrane	Reactome DB_ID: 114525	Protein63	
Complex46	Activated PAR1:Beta-arrestin-1	plasma membrane	Reactome DB_ID: 418080	Protein54	
Complex46	Activated PAR1:Beta-arrestin-1	plasma membrane	Reactome DB_ID: 418080	Protein64	
Complex47	Activated PAR1:Beta-arrestin-2	plasma membrane	Reactome DB_ID: 418167	Protein54	
Complex47	Activated PAR1:Beta-arrestin-2	plasma membrane	Reactome DB_ID: 418167	Protein65	
Complex48	Activated PAR1:Beta-arrestin-1:Src:ERK	plasma membrane	Reactome DB_ID: 418103	Protein9	
Complex48	Activated PAR1:Beta-arrestin-1:Src:ERK	plasma membrane	Reactome DB_ID: 418103	Complex46	
Complex48	Activated PAR1:Beta-arrestin-1:Src:ERK	plasma membrane	Reactome DB_ID: 418103	Protein66	
Complex49	Activated PAR1:Beta-arrestin-2:Src:ERK	plasma membrane	Reactome DB_ID: 418179	Protein9	
Complex49	Activated PAR1:Beta-arrestin-2:Src:ERK	plasma membrane	Reactome DB_ID: 418179	Protein66	
Complex49	Activated PAR1:Beta-arrestin-2:Src:ERK	plasma membrane	Reactome DB_ID: 418179	Complex47	
Complex5	GPIb-IX-V:vWF:14-3-3-zeta	plasma membrane	Reactome DB_ID: 429544	Protein1	
Complex5	GPIb-IX-V:vWF:14-3-3-zeta	plasma membrane	Reactome DB_ID: 429544	Complex2	
Complex50	Activated PAR1:Beta-arrestin-1:Activated Src:ERK	plasma membrane	Reactome DB_ID: 418144	Complex46	
Complex50	Activated PAR1:Beta-arrestin-1:Activated Src:ERK	plasma membrane	Reactome DB_ID: 418144	Protein66	
Complex50	Activated PAR1:Beta-arrestin-1:Activated Src:ERK	plasma membrane	Reactome DB_ID: 418144	Protein69	
Complex51	Activated PAR1:Beta-arrestin-1:Activated Src:Activated ERK	plasma membrane	Reactome DB_ID: 418210	Complex46	
Complex51	Activated PAR1:Beta-arrestin-1:Activated Src:Activated ERK	plasma membrane	Reactome DB_ID: 418210	Protein70	
Complex51	Activated PAR1:Beta-arrestin-1:Activated Src:Activated ERK	plasma membrane	Reactome DB_ID: 418210	Protein69	
Complex52	GPVI:FceRI gamma:FYN:LYN:Collagen type I	plasma membrane	Reactome DB_ID: 434812	PhysicalEntity1	
Complex52	GPVI:FceRI gamma:FYN:LYN:Collagen type I	plasma membrane	Reactome DB_ID: 434812	Complex53	
Complex53	GPVI:FceRI gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 432297	Complex54	
Complex53	GPVI:FceRI gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 432297	Protein75	
Complex53	GPVI:FceRI gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 432297	Protein76	
Complex54	GP VI : FceRI gamma dimer	plasma membrane	Reactome DB_ID: 114575	Complex55	
Complex54	GP VI : FceRI gamma dimer	plasma membrane	Reactome DB_ID: 114575	Protein74	
Complex55	FCERIG dimer	plasma membrane	Reactome DB_ID: 210223	Protein73	
Complex56	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I	plasma membrane	Reactome DB_ID: 434822	PhysicalEntity1	
Complex56	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I	plasma membrane	Reactome DB_ID: 434822	Complex57	
Complex57	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 434820	Protein75	
Complex57	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 434820	Protein76	
Complex57	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN	plasma membrane	Reactome DB_ID: 434820	Complex58	
Complex58	GP VI : phosphorylated Fc Epsilon R1 gamma complex	plasma membrane	Reactome DB_ID: 114598	Protein77	
Complex58	GP VI : phosphorylated Fc Epsilon R1 gamma complex	plasma membrane	Reactome DB_ID: 114598	Protein74	
Complex59	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I:SYK	plasma membrane	Reactome DB_ID: 434911	Complex56	
Complex59	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I:SYK	plasma membrane	Reactome DB_ID: 434911	Protein78	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Complex3	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Protein7	
Complex6	GPIb-IX-V:vWF:filamin-A	plasma membrane	Reactome DB_ID: 430104	Protein6	
Complex60	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I:p-SYK(Y348)	plasma membrane	Reactome DB_ID: 453171	Complex56	
Complex60	GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I:p-SYK(Y348)	plasma membrane	Reactome DB_ID: 453171	Protein79	
Complex61	p-SYK(Y348):Vav family	cytosol	Reactome DB_ID: 437941	Protein80	
Complex61	p-SYK(Y348):Vav family	cytosol	Reactome DB_ID: 437941	Protein79	
Complex62	p-SYK(Y348):p-Vav family	cytosol	Reactome DB_ID: 437934	Protein84	
Complex62	p-SYK(Y348):p-Vav family	cytosol	Reactome DB_ID: 437934	Protein79	
Complex63	VAV1 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 114543	SmallMolecule6	
Complex63	VAV1 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 114543	Protein88	
Complex64	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	SmallMolecule4	
Complex64	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	Protein88	
Complex65	VAV2 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 442278	SmallMolecule6	
Complex65	VAV2 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 442278	Protein94	
Complex66	VAV2 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 442290	SmallMolecule4	
Complex66	VAV2 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 442290	Protein94	
Complex67	VAV3 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 442313	Protein96	
Complex67	VAV3 Rho/Rac effectors:GDP	cytosol	Reactome DB_ID: 442313	SmallMolecule6	
Complex68	VAV3 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 442315	SmallMolecule4	
Complex68	VAV3 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 442315	Protein96	
Complex69	p-SLP-76:VAV	cytosol	Reactome DB_ID: 430155	Protein102	
Complex69	p-SLP-76:VAV	cytosol	Reactome DB_ID: 430155	Protein105	
Complex7	GPIb-IX-V:vWF:14-3-3-zeta:p85	plasma membrane	Reactome DB_ID: 443399	Complex5	
Complex7	GPIb-IX-V:vWF:14-3-3-zeta:p85	plasma membrane	Reactome DB_ID: 443399	Protein8	
Complex70	VAV family:PIP3	cytosol	Reactome DB_ID: 434635	Protein80	
Complex70	VAV family:PIP3	cytosol	Reactome DB_ID: 434635	SmallMolecule14	
Complex71	VAV family:PIP2	cytosol	Reactome DB_ID: 434632	SmallMolecule11	
Complex71	VAV family:PIP2	cytosol	Reactome DB_ID: 434632	Protein80	
Complex72	PI3K gamma	cytosol	Reactome DB_ID: 392291	Protein106	
Complex72	PI3K gamma	cytosol	Reactome DB_ID: 392291	Protein107	
Complex73	PI3K beta	cytosol	Reactome DB_ID: 437110	Protein110	
Complex73	PI3K beta	cytosol	Reactome DB_ID: 437110	Protein113	
Complex75	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein114	
Complex75	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein110	
Complex76	PDK1:AKT:PIP3	plasma membrane	Reactome DB_ID: 198360	Protein120	
Complex76	PDK1:AKT:PIP3	plasma membrane	Reactome DB_ID: 198360	Protein121	
Complex76	PDK1:AKT:PIP3	plasma membrane	Reactome DB_ID: 198360	SmallMolecule14	
Complex77	PIP3:PDK1:AKT:PKC zeta	plasma membrane	Reactome DB_ID: 437191	Complex76	
Complex77	PIP3:PDK1:AKT:PKC zeta	plasma membrane	Reactome DB_ID: 437191	Protein125	
Complex78	PIP3:PDK1:AKT:p(T410)-PKC zeta	plasma membrane	Reactome DB_ID: 437184	Protein126	
Complex78	PIP3:PDK1:AKT:p(T410)-PKC zeta	plasma membrane	Reactome DB_ID: 437184	Complex76	
Complex79	Rap1-GDP	plasma membrane	Reactome DB_ID: 354074	SmallMolecule3	
Complex79	Rap1-GDP	plasma membrane	Reactome DB_ID: 354074	Protein127	
Complex8	Active c-Src:Raf1	cytosol	Reactome DB_ID: 443443	Protein11	
Complex8	Active c-Src:Raf1	cytosol	Reactome DB_ID: 443443	Protein10	
Complex80	Rap1-GTP	plasma membrane	Reactome DB_ID: 354126	SmallMolecule5	
Complex80	Rap1-GTP	plasma membrane	Reactome DB_ID: 354126	Protein127	
Complex81	Rap1-GTP:PIP2:RIAM	plasma membrane	Reactome DB_ID: 354110	SmallMolecule11	
Complex81	Rap1-GTP:PIP2:RIAM	plasma membrane	Reactome DB_ID: 354110	Complex80	
Complex81	Rap1-GTP:PIP2:RIAM	plasma membrane	Reactome DB_ID: 354110	Protein136	
Complex82	Talin:RIAM complex	plasma membrane	Reactome DB_ID: 354176	Complex81	
Complex82	Talin:RIAM complex	plasma membrane	Reactome DB_ID: 354176	Protein137	
Complex83	Integrin alphaIIb beta3:p(Y530)-SRC:CSK	plasma membrane	Reactome DB_ID: 377608	Complex84	
Complex83	Integrin alphaIIb beta3:p(Y530)-SRC:CSK	plasma membrane	Reactome DB_ID: 377608	Complex85	
Complex84	Inactive SRC (pY530):CSK	cytosol	Reactome DB_ID: 377606	Protein138	
Complex84	Inactive SRC (pY530):CSK	cytosol	Reactome DB_ID: 377606	Protein139	
Complex85	Integrin alpha2bbeta3	plasma membrane	Reactome DB_ID: 114514	Protein140	
Complex85	Integrin alpha2bbeta3	plasma membrane	Reactome DB_ID: 114514	Protein141	
Complex86	Integrin alphaIIb beta3:p(Y530)-SRC:CSK:Talin:RIAM complex	plasma membrane	Reactome DB_ID: 354130	Complex82	
Complex86	Integrin alphaIIb beta3:p(Y530)-SRC:CSK:Talin:RIAM complex	plasma membrane	Reactome DB_ID: 354130	Complex83	
Complex87	fibrin monomer	extracellular region	Reactome DB_ID: 140586	Protein142	
Complex87	fibrin monomer	extracellular region	Reactome DB_ID: 140586	Protein143	
Complex87	fibrin monomer	extracellular region	Reactome DB_ID: 140586	Protein144	
Complex88	Focal complex	plasma membrane	Reactome DB_ID: 354137	SmallMolecule15	
Complex88	Focal complex	plasma membrane	Reactome DB_ID: 354137	PhysicalEntity2	
Complex88	Focal complex	plasma membrane	Reactome DB_ID: 354137	Complex86	
Complex89	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:p(Y530)-SRC:CSK)	plasma membrane	Reactome DB_ID: 377619	SmallMolecule15	
Complex89	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:p(Y530)-SRC:CSK)	plasma membrane	Reactome DB_ID: 377619	PhysicalEntity2	
Complex89	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:p(Y530)-SRC:CSK)	plasma membrane	Reactome DB_ID: 377619	Complex82	
Complex89	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:p(Y530)-SRC:CSK)	plasma membrane	Reactome DB_ID: 377619	Complex83	
Complex9	14-3-3-zeta:Raf1	cytosol	Reactome DB_ID: 443827	Complex1	
Complex9	14-3-3-zeta:Raf1	cytosol	Reactome DB_ID: 443827	Protein11	
Complex90	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:Inactive (p-Y530)-SRC)	plasma membrane	Reactome DB_ID: 377616	SmallMolecule15	
Complex90	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:Inactive (p-Y530)-SRC)	plasma membrane	Reactome DB_ID: 377616	PhysicalEntity2	
Complex90	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:Inactive (p-Y530)-SRC)	plasma membrane	Reactome DB_ID: 377616	Complex82	
Complex90	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:Inactive (p-Y530)-SRC)	plasma membrane	Reactome DB_ID: 377616	Complex91	
Complex91	Integrin alphaIIb beta3:Inactive (p-Y530)-SRC	plasma membrane	Reactome DB_ID: 377612	Complex85	
Complex91	Integrin alphaIIb beta3:Inactive (p-Y530)-SRC	plasma membrane	Reactome DB_ID: 377612	Protein139	
Complex92	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:SRC)	plasma membrane	Reactome DB_ID: 377620	SmallMolecule15	
Complex92	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:SRC)	plasma membrane	Reactome DB_ID: 377620	PhysicalEntity2	
