Complex1	Connexin 36 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375351	Complex2	
Complex124	GRIK1 and 2 heterotetramer	plasma membrane	Reactome DB_ID: 450210	Protein241	
Complex124	GRIK1 and 2 heterotetramer	plasma membrane	Reactome DB_ID: 450210	SmallMolecule48	
Complex124	GRIK1 and 2 heterotetramer	plasma membrane	Reactome DB_ID: 450210	Protein243	
Complex125	GRIK4 heteromer with GRIK1/2/3	plasma membrane	Reactome DB_ID: 450206	Protein244	
Complex125	GRIK4 heteromer with GRIK1/2/3	plasma membrane	Reactome DB_ID: 450206	SmallMolecule48	
Complex125	GRIK4 heteromer with GRIK1/2/3	plasma membrane	Reactome DB_ID: 450206	Protein245	
Complex125	GRIK4 heteromer with GRIK1/2/3	plasma membrane	Reactome DB_ID: 450206	Complex126	
Complex126	GRIK4 interacting proteins	plasma membrane	Reactome DB_ID: 450889	Protein240	
Complex126	GRIK4 interacting proteins	plasma membrane	Reactome DB_ID: 450889	Protein130	
Complex127	GRIK5 heteromer with GRIk1/2/3	plasma membrane	Reactome DB_ID: 450205	Protein244	
Complex127	GRIK5 heteromer with GRIk1/2/3	plasma membrane	Reactome DB_ID: 450205	SmallMolecule48	
Complex127	GRIK5 heteromer with GRIk1/2/3	plasma membrane	Reactome DB_ID: 450205	Protein246	
Complex128	Kainate receptor-glutamate complex	plasma membrane	Reactome DB_ID: 451281	Complex119	
Complex128	Kainate receptor-glutamate complex	plasma membrane	Reactome DB_ID: 451281	SmallMolecule33	
Complex129	GRIK3 homomer glutamate complex	plasma membrane	Reactome DB_ID: 500705	Complex122	
Complex129	GRIK3 homomer glutamate complex	plasma membrane	Reactome DB_ID: 500705	SmallMolecule33	
Complex13	calcium channel multimer of R type VGCC	plasma membrane	Reactome DB_ID: 210394	Protein6	
Complex13	calcium channel multimer of R type VGCC	plasma membrane	Reactome DB_ID: 210394	Protein15	
Complex13	calcium channel multimer of R type VGCC	plasma membrane	Reactome DB_ID: 210394	Protein16	
Complex13	calcium channel multimer of R type VGCC	plasma membrane	Reactome DB_ID: 210394	Protein17	
Complex130	G-protein beta-gamma:PLC beta 1/2/3	plasma membrane	Reactome DB_ID: 398037	Protein247	
Complex130	G-protein beta-gamma:PLC beta 1/2/3	plasma membrane	Reactome DB_ID: 398037	Complex131	
Complex131	G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 167434	Protein251	
Complex131	G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 167434	Protein257	
Complex132	Kainate receptor-glutamate-Gprotein complex	plasma membrane	Reactome DB_ID: 500703	Complex130	
Complex132	Kainate receptor-glutamate-Gprotein complex	plasma membrane	Reactome DB_ID: 500703	Complex129	
Complex133	2GABRA:2GABRB:GABRG:GABA	plasma membrane	Reactome DB_ID: 975268	Protein270	
Complex133	2GABRA:2GABRB:GABRG:GABA	plasma membrane	Reactome DB_ID: 975268	PhysicalEntity2	
Complex133	2GABRA:2GABRB:GABRG:GABA	plasma membrane	Reactome DB_ID: 975268	Protein281	
Complex133	2GABRA:2GABRB:GABRG:GABA	plasma membrane	Reactome DB_ID: 975268	SmallMolecule47	
Complex134	GABRA2:ARHGEF9	plasma membrane	Reactome DB_ID: 975532	Protein276	
Complex134	GABRA2:ARHGEF9	plasma membrane	Reactome DB_ID: 975532	Protein277	
Complex135	GABAB receptor	plasma membrane	Reactome DB_ID: 420748	Protein284	
Complex135	GABAB receptor	plasma membrane	Reactome DB_ID: 420748	Protein285	
Complex136	GABAB receptor:GABA	plasma membrane	Reactome DB_ID: 420698	Complex135	
Complex136	GABAB receptor:GABA	plasma membrane	Reactome DB_ID: 420698	SmallMolecule47	
Complex137	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	Protein286	
Complex137	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	SmallMolecule80	
Complex138	G-protein alpha (i): GTP	plasma membrane	Reactome DB_ID: 392161	SmallMolecule85	
Complex138	G-protein alpha (i): GTP	plasma membrane	Reactome DB_ID: 392161	Protein293	
Complex139	G-protein alpha (i):GTP:Adenylate cyclase	plasma membrane	Reactome DB_ID: 396910	Complex137	
Complex139	G-protein alpha (i):GTP:Adenylate cyclase	plasma membrane	Reactome DB_ID: 396910	Complex138	
Complex14	Noradrenalin loaded synaptic vesicle	clathrin-coated endocytic vesicle	Reactome DB_ID: 374911	Protein22	
Complex14	Noradrenalin loaded synaptic vesicle	clathrin-coated endocytic vesicle	Reactome DB_ID: 374911	Protein23	
Complex14	Noradrenalin loaded synaptic vesicle	clathrin-coated endocytic vesicle	Reactome DB_ID: 374911	Protein24	
Complex14	Noradrenalin loaded synaptic vesicle	clathrin-coated endocytic vesicle	Reactome DB_ID: 374911	Protein20	
Complex14	Noradrenalin loaded synaptic vesicle	clathrin-coated endocytic vesicle	Reactome DB_ID: 374911	SmallMolecule11	
Complex140	G alpha-olf:GTP	plasma membrane	Reactome DB_ID: 170661	SmallMolecule84	
Complex140	G alpha-olf:GTP	plasma membrane	Reactome DB_ID: 170661	Protein298	
Complex141	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	plasma membrane	Reactome DB_ID: 170683	Complex140	
Complex141	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	plasma membrane	Reactome DB_ID: 170683	Complex139	
Complex142	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GDP)	plasma membrane	Reactome DB_ID: 170659	Complex139	
Complex142	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GDP)	plasma membrane	Reactome DB_ID: 170659	Complex143	
Complex143	G alpha-olf:GDP complex	plasma membrane	Reactome DB_ID: 170669	Protein298	
Complex143	G alpha-olf:GDP complex	plasma membrane	Reactome DB_ID: 170669	SmallMolecule83	
Complex144	(Gi alpha1:GDP:Adenylate cyclase):(G alpha-olf:GDP)	plasma membrane	Reactome DB_ID: 170656	Complex145	
Complex144	(Gi alpha1:GDP:Adenylate cyclase):(G alpha-olf:GDP)	plasma membrane	Reactome DB_ID: 170656	Complex137	
Complex144	(Gi alpha1:GDP:Adenylate cyclase):(G alpha-olf:GDP)	plasma membrane	Reactome DB_ID: 170656	Complex143	
Complex145	G-protein alpha (i):GDP	plasma membrane	Reactome DB_ID: 392164	SmallMolecule93	
Complex145	G-protein alpha (i):GDP	plasma membrane	Reactome DB_ID: 392164	Protein293	
Complex146	GABA B receptor G-protein beta-gamma and Kir3 channel complex	plasma membrane	Reactome DB_ID: 1013011	Complex147	
Complex146	GABA B receptor G-protein beta-gamma and Kir3 channel complex	plasma membrane	Reactome DB_ID: 1013011	Complex149	
Complex147	GABA B receptor G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 1013017	Complex148	
Complex147	GABA B receptor G-protein beta-gamma complex	plasma membrane	Reactome DB_ID: 1013017	Complex136	
Complex148	G-protein beta-gamma subunits	plasma membrane	Reactome DB_ID: 1013019	Protein299	
Complex148	G-protein beta-gamma subunits	plasma membrane	Reactome DB_ID: 1013019	Protein300	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Protein21	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Complex14	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Protein25	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Protein26	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Protein28	
Complex15	Docked Noradrenalin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 374939	Protein27	
Complex150	Kir2.1:Kirx.x heterotetramer	plasma membrane	Reactome DB_ID: 975359	Protein301	
Complex150	Kir2.1:Kirx.x heterotetramer	plasma membrane	Reactome DB_ID: 975359	Protein302	
Complex151	Kir3 heterotetramer	plasma membrane	Reactome DB_ID: 975303	Protein307	
Complex152	Kir4.1:Kir5.1 heterotetramer	plasma membrane	Reactome DB_ID: 975299	Protein306	
Complex152	Kir4.1:Kir5.1 heterotetramer	plasma membrane	Reactome DB_ID: 975299	Protein303	
Complex153	Kir4.2:Kir5.1 heterotetramer	plasma membrane	Reactome DB_ID: 975367	Protein306	
Complex153	Kir4.2:Kir5.1 heterotetramer	plasma membrane	Reactome DB_ID: 975367	Protein312	
Complex154	GABRR pentamer:GABA	plasma membrane	Reactome DB_ID: 975448	Protein313	
Complex154	GABRR pentamer:GABA	plasma membrane	Reactome DB_ID: 975448	SmallMolecule47	
Complex155	BK channel	plasma membrane	Reactome DB_ID: 418473	Protein317	
Complex155	BK channel	plasma membrane	Reactome DB_ID: 418473	Protein322	
Complex156	Small conductance Ca2+ activated potassium channel	plasma membrane	Reactome DB_ID: 1297362	Protein324	
Complex158	HCN channel Homomer of subunit HCN1	plasma membrane	Reactome DB_ID: 977551	Protein328	
Complex159	HCN channel Homomer of subunit HCN3	plasma membrane	Reactome DB_ID: 977550	Protein329	
Complex16	Rab3-RIM complex	plasma membrane	Reactome DB_ID: 210374	Protein21	
Complex16	Rab3-RIM complex	plasma membrane	Reactome DB_ID: 210374	Protein29	
Complex160	HCN channel Homomer of subunit HCN4	plasma membrane	Reactome DB_ID: 977547	Protein330	
Complex161	HCN channel Homomer of subunt  HCN2	plasma membrane	Reactome DB_ID: 977546	Protein331	
Complex162	HCN channel bound to cAMP	plasma membrane	Reactome DB_ID: 1297435	Complex157	
Complex162	HCN channel bound to cAMP	plasma membrane	Reactome DB_ID: 1297435	SmallMolecule90	
Complex164	KIR 1.1 homotetramer	plasma membrane	Reactome DB_ID: 1299205	Protein332	
Complex165	Kir 4.1/5.1 heterotetramer	plasma membrane	Reactome DB_ID: 1299207	Protein306	
Complex165	Kir 4.1/5.1 heterotetramer	plasma membrane	Reactome DB_ID: 1299207	Protein303	
Complex166	ATP sensitive K+ channels-inwardly rectifying (SUR1)	plasma membrane	Reactome DB_ID: 1297378	Protein333	
Complex166	ATP sensitive K+ channels-inwardly rectifying (SUR1)	plasma membrane	Reactome DB_ID: 1297378	Protein334	
Complex167	ATP sensitive K+ channels-inwardly rectifying (SUR2)	plasma membrane	Reactome DB_ID: 1369001	Protein337	
Complex167	ATP sensitive K+ channels-inwardly rectifying (SUR2)	plasma membrane	Reactome DB_ID: 1369001	Protein334	
Complex168	kir2x heteroteramer	plasma membrane	Reactome DB_ID: 1299200	Protein338	
Complex169	Octamer of Voltage gated K+ channels	plasma membrane	Reactome DB_ID: 1297370	PhysicalEntity3	
Complex169	Octamer of Voltage gated K+ channels	plasma membrane	Reactome DB_ID: 1297370	Protein392	
Complex17	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein25	
Complex17	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein31	
Complex17	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein28	
Complex171	KCNK7 homodimers	plasma membrane	Reactome DB_ID: 1299253	Protein396	
Complex172	TWIK1 dimers	plasma membrane	Reactome DB_ID: 1299252	Protein397	
Complex173	TWIK2 dimers	plasma membrane	Reactome DB_ID: 1299250	Protein398	
Complex174	TREK homodimers	plasma membrane	Reactome DB_ID: 1299260	Protein399	
Complex176	TASK 1 homomer	plasma membrane	Reactome DB_ID: 1299268	Protein403	
Complex177	TASK1/3 heterodimer	plasma membrane	Reactome DB_ID: 1299266	Protein403	
Complex177	TASK1/3 heterodimer	plasma membrane	Reactome DB_ID: 1299266	Protein404	
Complex179	TALK1 homomer	plasma membrane	Reactome DB_ID: 1299275	Protein405	
Complex18	MAOA-FAD complex	mitochondrial outer membrane	Reactome DB_ID: 141332	SmallMolecule19	
Complex18	MAOA-FAD complex	mitochondrial outer membrane	Reactome DB_ID: 141332	Protein33	
Complex180	TALK 2 homomer	plasma membrane	Reactome DB_ID: 1299272	Protein406	
Complex181	TRESK homodimer	plasma membrane	Reactome DB_ID: 1299256	Protein407	
Complex182	THIK1 homodimers	plasma membrane	Reactome DB_ID: 1299264	Protein408	
Complex183	BoNT	extracellular region	Reactome DB_ID: 181486	Complex184	
Complex183	BoNT	extracellular region	Reactome DB_ID: 181486	Protein416	
Complex185	BoNT Light chain Type A	extracellular region	Reactome DB_ID: 190046	Protein409	
Complex185	BoNT Light chain Type A	extracellular region	Reactome DB_ID: 190046	SmallMolecule95	
Complex186	BoNT Light chain Type B	extracellular region	Reactome DB_ID: 190022	Protein410	
Complex186	BoNT Light chain Type B	extracellular region	Reactome DB_ID: 190022	SmallMolecule95	
Complex187	BoNT Light chain Type C	extracellular region	Reactome DB_ID: 190045	Protein411	
Complex187	BoNT Light chain Type C	extracellular region	Reactome DB_ID: 190045	SmallMolecule95	
Complex188	BoNT Light chain Type D	extracellular region	Reactome DB_ID: 190037	Protein412	
Complex188	BoNT Light chain Type D	extracellular region	Reactome DB_ID: 190037	SmallMolecule95	
Complex189	BoNT Light chain Type E	extracellular region	Reactome DB_ID: 190044	Protein413	
Complex189	BoNT Light chain Type E	extracellular region	Reactome DB_ID: 190044	SmallMolecule95	
Complex19	Serotonin loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380903	Protein22	
Complex19	Serotonin loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380903	Protein23	
Complex19	Serotonin loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380903	Protein24	
Complex19	Serotonin loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380903	SmallMolecule21	
Complex19	Serotonin loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380903	Protein20	
Complex190	BoNT Light chain Type F	extracellular region	Reactome DB_ID: 190034	Protein414	
Complex190	BoNT Light chain Type F	extracellular region	Reactome DB_ID: 190034	SmallMolecule95	
Complex191	BoNT Light chain Type G	extracellular region	Reactome DB_ID: 190021	Protein415	
Complex191	BoNT Light chain Type G	extracellular region	Reactome DB_ID: 190021	SmallMolecule95	
Complex192	Gangliosides:Synaptotagmin	plasma membrane	Reactome DB_ID: 168789	Protein424	
Complex192	Gangliosides:Synaptotagmin	plasma membrane	Reactome DB_ID: 168789	SmallMolecule96	
Complex193	BoNT bound to membrane receptor	plasma membrane	Reactome DB_ID: 181532	Complex194	
Complex193	BoNT bound to membrane receptor	plasma membrane	Reactome DB_ID: 181532	Complex192	
Complex194	BoNT	plasma membrane	Reactome DB_ID: 181495	Complex195	
Complex194	BoNT	plasma membrane	Reactome DB_ID: 181495	Protein433	
Complex196	BoNT Light chain Type A	plasma membrane	Reactome DB_ID: 190035	SmallMolecule97	
Complex196	BoNT Light chain Type A	plasma membrane	Reactome DB_ID: 190035	Protein426	
Complex197	BoNT Light chain Type B	plasma membrane	Reactome DB_ID: 190026	SmallMolecule97	
Complex197	BoNT Light chain Type B	plasma membrane	Reactome DB_ID: 190026	Protein427	
Complex198	BoNT Light chain Type C	plasma membrane	Reactome DB_ID: 190030	Protein428	
Complex198	BoNT Light chain Type C	plasma membrane	Reactome DB_ID: 190030	SmallMolecule97	
Complex199	BoNT Light chain Type D	plasma membrane	Reactome DB_ID: 190052	SmallMolecule97	
Complex199	BoNT Light chain Type D	plasma membrane	Reactome DB_ID: 190052	Protein429	
Complex2	Connexon36	plasma membrane	Reactome DB_ID: 158044	Protein1	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Complex19	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein21	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein25	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein26	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein28	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein37	
Complex20	Docked serotonin loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380900	Protein27	
Complex200	BoNT Light chain Type E	plasma membrane	Reactome DB_ID: 190051	SmallMolecule97	
Complex200	BoNT Light chain Type E	plasma membrane	Reactome DB_ID: 190051	Protein430	
Complex201	BoNT Light chain Type F	plasma membrane	Reactome DB_ID: 190025	SmallMolecule97	
Complex201	BoNT Light chain Type F	plasma membrane	Reactome DB_ID: 190025	Protein431	
Complex202	BoNT Light chain Type G	plasma membrane	Reactome DB_ID: 190050	SmallMolecule97	
Complex202	BoNT Light chain Type G	plasma membrane	Reactome DB_ID: 190050	Protein432	
Complex203	BoNT	endocytic vesicle membrane	Reactome DB_ID: 194804	Complex204	
Complex203	BoNT	endocytic vesicle membrane	Reactome DB_ID: 194804	Complex205	
Complex204	Gangliosides:Synaptogamin	endocytic vesicle membrane	Reactome DB_ID: 194813	Protein441	
Complex204	Gangliosides:Synaptogamin	endocytic vesicle membrane	Reactome DB_ID: 194813	SmallMolecule98	
Complex205	BoNT	endocytic vesicle membrane	Reactome DB_ID: 194799	Protein444	
Complex205	BoNT	endocytic vesicle membrane	Reactome DB_ID: 194799	Complex206	
Complex207	BoNT Light chain Type A	endocytic vesicle membrane	Reactome DB_ID: 190036	Protein452	
Complex207	BoNT Light chain Type A	endocytic vesicle membrane	Reactome DB_ID: 190036	SmallMolecule99	
Complex208	BoNT Light chain Type B	endocytic vesicle membrane	Reactome DB_ID: 190043	Protein453	
Complex208	BoNT Light chain Type B	endocytic vesicle membrane	Reactome DB_ID: 190043	SmallMolecule99	
Complex209	BoNT Light chain Type C	endocytic vesicle membrane	Reactome DB_ID: 190024	Protein454	
Complex209	BoNT Light chain Type C	endocytic vesicle membrane	Reactome DB_ID: 190024	SmallMolecule99	
Complex210	BoNT Light chain Type D	endocytic vesicle membrane	Reactome DB_ID: 190029	Protein455	
Complex210	BoNT Light chain Type D	endocytic vesicle membrane	Reactome DB_ID: 190029	SmallMolecule99	
Complex211	BoNT Light chain Type E	endocytic vesicle membrane	Reactome DB_ID: 190027	SmallMolecule99	
Complex211	BoNT Light chain Type E	endocytic vesicle membrane	Reactome DB_ID: 190027	Protein456	
Complex212	BoNT Light chain Type F	endocytic vesicle membrane	Reactome DB_ID: 190048	SmallMolecule99	
Complex212	BoNT Light chain Type F	endocytic vesicle membrane	Reactome DB_ID: 190048	Protein457	
Complex213	BoNT Light chain Type G	endocytic vesicle membrane	Reactome DB_ID: 190028	Protein458	
Complex213	BoNT Light chain Type G	endocytic vesicle membrane	Reactome DB_ID: 190028	SmallMolecule99	
Complex214	BoNT with conformational change in Heavy chain N-terminal	endocytic vesicle membrane	Reactome DB_ID: 181477	Complex204	
Complex214	BoNT with conformational change in Heavy chain N-terminal	endocytic vesicle membrane	Reactome DB_ID: 181477	Protein444	
Complex214	BoNT with conformational change in Heavy chain N-terminal	endocytic vesicle membrane	Reactome DB_ID: 181477	Complex206	
Complex215	BoNT with Heavy chain N-terminal inserted into endosomal membrane	endocytic vesicle membrane	Reactome DB_ID: 181582	Protein459	
Complex215	BoNT with Heavy chain N-terminal inserted into endosomal membrane	endocytic vesicle membrane	Reactome DB_ID: 181582	Complex206	
Complex217	BoNT Light chain Type B	cytosol	Reactome DB_ID: 190016	Protein460	
Complex217	BoNT Light chain Type B	cytosol	Reactome DB_ID: 190016	SmallMolecule100	
Complex218	BoNT Light chain Type D	cytosol	Reactome DB_ID: 190038	Protein461	
Complex218	BoNT Light chain Type D	cytosol	Reactome DB_ID: 190038	SmallMolecule100	
Complex219	BoNT Light chain Type F	cytosol	Reactome DB_ID: 190042	Protein462	
Complex219	BoNT Light chain Type F	cytosol	Reactome DB_ID: 190042	SmallMolecule100	
Complex22	GLS dimer	mitochondrial matrix	Reactome DB_ID: 507860	Protein42	
Complex220	BoNT Light chain Type G	cytosol	Reactome DB_ID: 190032	SmallMolecule100	
Complex220	BoNT Light chain Type G	cytosol	Reactome DB_ID: 190032	Protein463	
Complex222	BoNT Light chain Type A	cytosol	Reactome DB_ID: 190017	SmallMolecule100	
Complex222	BoNT Light chain Type A	cytosol	Reactome DB_ID: 190017	Protein464	
Complex223	BoNT Light chain Type E	cytosol	Reactome DB_ID: 190047	SmallMolecule100	
Complex223	BoNT Light chain Type E	cytosol	Reactome DB_ID: 190047	Protein465	
Complex224	BoNT Light chain Type C1	cytosol	Reactome DB_ID: 190018	SmallMolecule100	
Complex224	BoNT Light chain Type C1	cytosol	Reactome DB_ID: 190018	Protein466	
Complex23	GLS2 dimer	mitochondrial matrix	Reactome DB_ID: 507858	Protein43	
Complex24	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein44	
Complex24	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein45	
Complex24	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein46	
Complex24	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein47	
Complex25	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein44	
Complex25	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein45	
Complex25	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein46	
Complex25	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	SmallMolecule32	
Complex25	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein47	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Complex25	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein21	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein25	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein26	
