BiochemicalReaction1	HAS1,2,3 mediate the polymerisation of HA	SmallMolecule1	PhysicalEntity1	
BiochemicalReaction23	Further sulfation on galactose residues produces KSPG	Protein96	Protein108	
BiochemicalReaction23	Further sulfation on galactose residues produces KSPG	SmallMolecule17	Protein108	
BiochemicalReaction23	Further sulfation on galactose residues produces KSPG	SmallMolecule17	SmallMolecule30	
BiochemicalReaction23	Further sulfation on galactose residues produces KSPG	Protein96	SmallMolecule30	
BiochemicalReaction24	KSPG is secreted from the cell	Protein108	Protein117	
BiochemicalReaction25	Extracellular KSPG translocates to the lysosome for degradation	Protein117	Protein125	
BiochemicalReaction26	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	Protein125	SmallMolecule31	
BiochemicalReaction26	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	SmallMolecule2	SmallMolecule31	
BiochemicalReaction26	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	SmallMolecule2	Protein133	
BiochemicalReaction26	Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase	Protein125	Protein133	
BiochemicalReaction27	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule31	SmallMolecule32	
BiochemicalReaction27	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction27	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule33	
BiochemicalReaction27	N-acetylgalactosamine-6-sulfatase (GALNS) hydrolyses the sulfate groups of galactose 6-sulfate units of keratan sulfate	SmallMolecule31	SmallMolecule33	
BiochemicalReaction28	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule2	SmallMolecule34	
BiochemicalReaction28	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule33	SmallMolecule34	
BiochemicalReaction28	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule33	SmallMolecule35	
BiochemicalReaction28	Beta-galactosidase (GLB1) can cleave galactose from a glycosaminoglycan	SmallMolecule2	SmallMolecule35	
BiochemicalReaction29	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule35	SmallMolecule32	
BiochemicalReaction29	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction29	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule2	SmallMolecule36	
BiochemicalReaction29	N-acetylglucosamine 6-sulfatase (GNS) hydrolyses 6-sulfate groups of the N-acetyl-D-glucosamine 6-sulfate units of keratan sulfate	SmallMolecule35	SmallMolecule36	
BiochemicalReaction3	Receptor-mediated uptake of HA	Protein6	Complex1	
BiochemicalReaction3	Receptor-mediated uptake of HA	PhysicalEntity2	Complex1	
BiochemicalReaction3	Receptor-mediated uptake of HA	Protein11	Complex1	
BiochemicalReaction30	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule2	SmallMolecule37	
BiochemicalReaction30	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule36	SmallMolecule37	
BiochemicalReaction30	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule36	SmallMolecule38	
BiochemicalReaction30	HEXA,B cleave the terminal GalNAc from keratan sulfate	SmallMolecule2	SmallMolecule38	
BiochemicalReaction31	GXYLTs transfer Xyl to core protein	SmallMolecule39	Protein165	
BiochemicalReaction31	GXYLTs transfer Xyl to core protein	Protein145	Protein165	
BiochemicalReaction31	GXYLTs transfer Xyl to core protein	Protein145	SmallMolecule27	
BiochemicalReaction31	GXYLTs transfer Xyl to core protein	SmallMolecule39	SmallMolecule27	
BiochemicalReaction32	B4GALT7 transfers Gal group to tetrasaccharide linker	Protein165	Protein188	
BiochemicalReaction32	B4GALT7 transfers Gal group to tetrasaccharide linker	SmallMolecule26	Protein188	
BiochemicalReaction32	B4GALT7 transfers Gal group to tetrasaccharide linker	SmallMolecule26	SmallMolecule27	
BiochemicalReaction32	B4GALT7 transfers Gal group to tetrasaccharide linker	Protein165	SmallMolecule27	
BiochemicalReaction33	B3GALT6 transfers Gal to the tetrasaccharide linker	Protein188	Protein209	
BiochemicalReaction33	B3GALT6 transfers Gal to the tetrasaccharide linker	SmallMolecule26	Protein209	
BiochemicalReaction33	B3GALT6 transfers Gal to the tetrasaccharide linker	SmallMolecule26	SmallMolecule27	
BiochemicalReaction33	B3GALT6 transfers Gal to the tetrasaccharide linker	Protein188	SmallMolecule27	
BiochemicalReaction34	B3GATs transfer GlcA to tetrasaccharide linker	Protein209	Protein230	
BiochemicalReaction34	B3GATs transfer GlcA to tetrasaccharide linker	SmallMolecule40	Protein230	
BiochemicalReaction34	B3GATs transfer GlcA to tetrasaccharide linker	SmallMolecule40	SmallMolecule27	
BiochemicalReaction34	B3GATs transfer GlcA to tetrasaccharide linker	Protein209	SmallMolecule27	
BiochemicalReaction35	The addition of GlcNAc to the terminal glucuronate residue creates heparan	Protein253	SmallMolecule27	
BiochemicalReaction35	The addition of GlcNAc to the terminal glucuronate residue creates heparan	SmallMolecule24	SmallMolecule27	
BiochemicalReaction35	The addition of GlcNAc to the terminal glucuronate residue creates heparan	SmallMolecule24	Protein254	
BiochemicalReaction35	The addition of GlcNAc to the terminal glucuronate residue creates heparan	Protein253	Protein254	
BiochemicalReaction36	Glucuronate is added to the heparan chain	SmallMolecule40	Protein269	
BiochemicalReaction36	Glucuronate is added to the heparan chain	Protein254	Protein269	
BiochemicalReaction36	Glucuronate is added to the heparan chain	Protein254	SmallMolecule27	
BiochemicalReaction36	Glucuronate is added to the heparan chain	SmallMolecule40	SmallMolecule27	
BiochemicalReaction37	Another GlcNAc addition extends the heparan chain	Protein269	Protein282	
BiochemicalReaction37	Another GlcNAc addition extends the heparan chain	SmallMolecule24	Protein282	
BiochemicalReaction37	Another GlcNAc addition extends the heparan chain	SmallMolecule24	SmallMolecule27	
BiochemicalReaction37	Another GlcNAc addition extends the heparan chain	Protein269	SmallMolecule27	
BiochemicalReaction38	Another GlcA addition extends the heparan chain	SmallMolecule40	Protein295	
BiochemicalReaction38	Another GlcA addition extends the heparan chain	Protein282	Protein295	
BiochemicalReaction38	Another GlcA addition extends the heparan chain	Protein282	SmallMolecule27	
BiochemicalReaction38	Another GlcA addition extends the heparan chain	SmallMolecule40	SmallMolecule27	
BiochemicalReaction39	NDST1-4 N-deacetylates GlcNAc residues in heparan	Protein295	SmallMolecule43	
BiochemicalReaction39	NDST1-4 N-deacetylates GlcNAc residues in heparan	SmallMolecule42	SmallMolecule43	
BiochemicalReaction39	NDST1-4 N-deacetylates GlcNAc residues in heparan	SmallMolecule42	Protein308	
BiochemicalReaction39	NDST1-4 N-deacetylates GlcNAc residues in heparan	Protein295	Protein308	
BiochemicalReaction4	HYAL2 interacts with NHE1 to create an acidic environment	Protein12	Complex2	
BiochemicalReaction4	HYAL2 interacts with NHE1 to create an acidic environment	Complex1	Complex2	
BiochemicalReaction40	NDST1-4 can sulfate a glucosamine residue in heparan to form heparan sulfate (HS)	Protein308	Protein326	
BiochemicalReaction40	NDST1-4 can sulfate a glucosamine residue in heparan to form heparan sulfate (HS)	SmallMolecule17	Protein326	
BiochemicalReaction40	NDST1-4 can sulfate a glucosamine residue in heparan to form heparan sulfate (HS)	SmallMolecule17	SmallMolecule30	
BiochemicalReaction40	NDST1-4 can sulfate a glucosamine residue in heparan to form heparan sulfate (HS)	Protein308	SmallMolecule30	
BiochemicalReaction41	GLCE epimerises GlcA to IdoA	Protein326	Protein339	
BiochemicalReaction42	HS2ST1 sulfates IdoA at C2 in heparan sulfate	Protein339	SmallMolecule30	
BiochemicalReaction42	HS2ST1 sulfates IdoA at C2 in heparan sulfate	SmallMolecule17	SmallMolecule30	
BiochemicalReaction42	HS2ST1 sulfates IdoA at C2 in heparan sulfate	SmallMolecule17	Protein353	
BiochemicalReaction42	HS2ST1 sulfates IdoA at C2 in heparan sulfate	Protein339	Protein353	
BiochemicalReaction43	HS3STs sulfate GlcN at C3 in heparan sulfate	SmallMolecule17	Protein367	
BiochemicalReaction43	HS3STs sulfate GlcN at C3 in heparan sulfate	Protein353	Protein367	
BiochemicalReaction43	HS3STs sulfate GlcN at C3 in heparan sulfate	Protein353	SmallMolecule30	
BiochemicalReaction43	HS3STs sulfate GlcN at C3 in heparan sulfate	SmallMolecule17	SmallMolecule30	
BiochemicalReaction44	HS3ST1 sulfates GlcN at C3 in heparan sulfate	SmallMolecule17	Protein367	
BiochemicalReaction44	HS3ST1 sulfates GlcN at C3 in heparan sulfate	Protein353	Protein367	
BiochemicalReaction44	HS3ST1 sulfates GlcN at C3 in heparan sulfate	Protein353	SmallMolecule30	
BiochemicalReaction44	HS3ST1 sulfates GlcN at C3 in heparan sulfate	SmallMolecule17	SmallMolecule30	
BiochemicalReaction45	GLCE epimerises more GlcA to IdoA as sulfate content rises	Protein367	Protein390	
BiochemicalReaction46	HS6STs sulfate GlcN at C6 in heparan sulfate/heparin	Protein390	SmallMolecule30	
BiochemicalReaction46	HS6STs sulfate GlcN at C6 in heparan sulfate/heparin	SmallMolecule17	SmallMolecule30	
BiochemicalReaction46	HS6STs sulfate GlcN at C6 in heparan sulfate/heparin	SmallMolecule17	Protein403	
BiochemicalReaction46	HS6STs sulfate GlcN at C6 in heparan sulfate/heparin	Protein390	Protein403	
BiochemicalReaction47	Some HSPGs are secreted to the plasma membrane	PhysicalEntity9	PhysicalEntity10	
BiochemicalReaction48	HS-GAGs translocate to the lysosome for degradation	Protein485	Protein498	
BiochemicalReaction49	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	SmallMolecule2	SmallMolecule44	
BiochemicalReaction49	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	Protein498	SmallMolecule44	
BiochemicalReaction49	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	Protein498	Protein511	
BiochemicalReaction49	Heparanase (HPSE) cleaves heparan sulfate from its proteoglycan (lysosome)	SmallMolecule2	Protein511	
BiochemicalReaction5	Hyaluronidase 2 (HYAL2) hydrolyses HA into 20kDa fragments	Complex2	Complex2	
BiochemicalReaction5	Hyaluronidase 2 (HYAL2) hydrolyses HA into 20kDa fragments	Complex2	PhysicalEntity3	
BiochemicalReaction50	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	Protein485	SmallMolecule46	
BiochemicalReaction50	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	SmallMolecule45	SmallMolecule46	
BiochemicalReaction50	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	SmallMolecule45	Protein526	
BiochemicalReaction50	Heparanase 2 (HPSE2) cleaves heparan sulfate from its proteoglycan (plasma membrane)	Protein485	Protein526	
BiochemicalReaction51	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule44	SmallMolecule47	
BiochemicalReaction51	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule47	
BiochemicalReaction51	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule48	
BiochemicalReaction51	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule44	SmallMolecule48	
BiochemicalReaction52	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule47	SmallMolecule32	
BiochemicalReaction52	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction52	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule2	SmallMolecule49	
BiochemicalReaction52	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule47	SmallMolecule49	
BiochemicalReaction53	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule49	SmallMolecule51	
BiochemicalReaction53	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule50	SmallMolecule51	
BiochemicalReaction53	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule50	SmallMolecule52	
BiochemicalReaction53	HGSNAT acetylates the terminal N-glucosamine in heparan sulfate	SmallMolecule49	SmallMolecule52	
BiochemicalReaction54	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule51	SmallMolecule53	
BiochemicalReaction54	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule2	SmallMolecule53	
BiochemicalReaction54	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule2	SmallMolecule5	
BiochemicalReaction54	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses N-acetyl-D-glucosamine residues from heparan sulfate	SmallMolecule51	SmallMolecule5	
BiochemicalReaction55	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction55	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule53	SmallMolecule32	
BiochemicalReaction55	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule53	SmallMolecule54	
BiochemicalReaction55	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of heparan sulfate	SmallMolecule2	SmallMolecule54	
BiochemicalReaction56	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule56	
BiochemicalReaction56	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule54	SmallMolecule56	
BiochemicalReaction56	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule54	SmallMolecule48	
BiochemicalReaction56	Alpha-L-iduronidase (IDUA) hydrolyses another unsulfated alpha-L-iduronosidic linkage in heparan sulfate	SmallMolecule2	SmallMolecule48	
BiochemicalReaction57	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule56	SmallMolecule32	
BiochemicalReaction57	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction57	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule2	SmallMolecule57	
BiochemicalReaction57	N-sulphoglucosamine sulphohydrolase (SGSH) hydrolyses another sulfate from the N-sulphoglucosamine residue of heparan sulfate	SmallMolecule56	SmallMolecule57	
BiochemicalReaction58	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule57	SmallMolecule52	
BiochemicalReaction58	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule50	SmallMolecule52	
BiochemicalReaction58	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule50	SmallMolecule58	
BiochemicalReaction58	HGSNAT acetylates another terminal N-glucosamine in heparan	SmallMolecule57	SmallMolecule58	
BiochemicalReaction59	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule2	SmallMolecule59	
BiochemicalReaction59	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule58	SmallMolecule59	
BiochemicalReaction59	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule58	SmallMolecule5	
BiochemicalReaction59	Alpha-N-acetylglucosaminidase (NAGLU) hydrolyses another N-acetyl-D-glucosamine residue from heparan	SmallMolecule2	SmallMolecule5	
BiochemicalReaction6	20kDa HA fragments are translocated to lysosomes	PhysicalEntity3	PhysicalEntity4	
BiochemicalReaction60	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule59	SmallMolecule3	
BiochemicalReaction60	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule2	SmallMolecule3	
BiochemicalReaction60	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule2	SmallMolecule60	
BiochemicalReaction60	Beta-glucuronidase (GUSB) hydrolyses glucuronate from the linker chain	SmallMolecule59	SmallMolecule60	
BiochemicalReaction61	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule2	SmallMolecule34	
BiochemicalReaction61	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule60	SmallMolecule34	
BiochemicalReaction61	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule60	SmallMolecule62	
BiochemicalReaction61	Beta-galactosidase (GLB1) can cleave galactose from the linker chain	SmallMolecule2	SmallMolecule62	
BiochemicalReaction62	The addition of GalNAc to the terminal glucuronate residue forms chondroitin	SmallMolecule63	Protein546	
BiochemicalReaction62	The addition of GalNAc to the terminal glucuronate residue forms chondroitin	Protein545	Protein546	
BiochemicalReaction62	The addition of GalNAc to the terminal glucuronate residue forms chondroitin	Protein545	SmallMolecule27	
BiochemicalReaction62	The addition of GalNAc to the terminal glucuronate residue forms chondroitin	SmallMolecule63	SmallMolecule27	
BiochemicalReaction63	A glucuronate moiety is added to chondroitin	SmallMolecule40	Protein557	
BiochemicalReaction63	A glucuronate moiety is added to chondroitin	Protein546	Protein557	
BiochemicalReaction63	A glucuronate moiety is added to chondroitin	Protein546	SmallMolecule27	
BiochemicalReaction63	A glucuronate moiety is added to chondroitin	SmallMolecule40	SmallMolecule27	
BiochemicalReaction64	GalNAc is added to chondroitin	Protein557	Protein570	
BiochemicalReaction64	GalNAc is added to chondroitin	SmallMolecule63	Protein570	
BiochemicalReaction64	GalNAc is added to chondroitin	SmallMolecule63	SmallMolecule27	
BiochemicalReaction64	GalNAc is added to chondroitin	Protein557	SmallMolecule27	
BiochemicalReaction65	Chondroitin can be sulfated on position 4 of GalNAc by CHST9, 11, 12 and 13	Protein570	Protein579	
BiochemicalReaction65	Chondroitin can be sulfated on position 4 of GalNAc by CHST9, 11, 12 and 13	SmallMolecule17	Protein579	
BiochemicalReaction65	Chondroitin can be sulfated on position 4 of GalNAc by CHST9, 11, 12 and 13	SmallMolecule17	SmallMolecule30	
BiochemicalReaction65	Chondroitin can be sulfated on position 4 of GalNAc by CHST9, 11, 12 and 13	Protein570	SmallMolecule30	
BiochemicalReaction66	Chondroitin 4-sulfate (C4S) can be further sulfated on position 6 by CHST15	Protein579	Protein592	
BiochemicalReaction66	Chondroitin 4-sulfate (C4S) can be further sulfated on position 6 by CHST15	SmallMolecule17	Protein592	
BiochemicalReaction66	Chondroitin 4-sulfate (C4S) can be further sulfated on position 6 by CHST15	SmallMolecule17	SmallMolecule30	
BiochemicalReaction66	Chondroitin 4-sulfate (C4S) can be further sulfated on position 6 by CHST15	Protein579	SmallMolecule30	
BiochemicalReaction67	Chondroitin can be sulfated on position 6 of GalNAc by CHST3,7	Protein570	Protein601	
BiochemicalReaction67	Chondroitin can be sulfated on position 6 of GalNAc by CHST3,7	SmallMolecule17	Protein601	
BiochemicalReaction67	Chondroitin can be sulfated on position 6 of GalNAc by CHST3,7	SmallMolecule17	SmallMolecule30	
BiochemicalReaction67	Chondroitin can be sulfated on position 6 of GalNAc by CHST3,7	Protein570	SmallMolecule30	
BiochemicalReaction68	CSPG is secreted	PhysicalEntity12	PhysicalEntity13	
BiochemicalReaction69	Dermatan-sulfate epimerase (DSE) converts chondroitin sulfate (CS) to dermatan sulfate (DS)	Protein579	Protein636	
BiochemicalReaction7	Hyaluronidase 1 (HYAL1) hydrolyses HA from 20kDa to 800Da fragments	PhysicalEntity4	PhysicalEntity5	
BiochemicalReaction70	Dermatan sulfate can be further sulfated on position 2 of iduronate	Protein636	Protein647	
BiochemicalReaction70	Dermatan sulfate can be further sulfated on position 2 of iduronate	SmallMolecule17	Protein647	
BiochemicalReaction70	Dermatan sulfate can be further sulfated on position 2 of iduronate	SmallMolecule17	SmallMolecule30	
BiochemicalReaction70	Dermatan sulfate can be further sulfated on position 2 of iduronate	Protein636	SmallMolecule30	
BiochemicalReaction71	CHST14 transfers SO4(2-) to DS	Protein647	SmallMolecule30	
BiochemicalReaction71	CHST14 transfers SO4(2-) to DS	SmallMolecule17	SmallMolecule30	
BiochemicalReaction71	CHST14 transfers SO4(2-) to DS	SmallMolecule17	Protein656	
BiochemicalReaction71	CHST14 transfers SO4(2-) to DS	Protein647	Protein656	
BiochemicalReaction72	DSPGs are secreted	PhysicalEntity14	PhysicalEntity15	
BiochemicalReaction73	DSPG and CSPG translocate to the lysosome for degradation	PhysicalEntity15	PhysicalEntity16	
BiochemicalReaction73	DSPG and CSPG translocate to the lysosome for degradation	PhysicalEntity13	PhysicalEntity16	
BiochemicalReaction73	DSPG and CSPG translocate to the lysosome for degradation	PhysicalEntity13	PhysicalEntity17	
BiochemicalReaction73	DSPG and CSPG translocate to the lysosome for degradation	PhysicalEntity15	PhysicalEntity17	
BiochemicalReaction74	DS is cleaved from its proteoglycan	Protein721	SmallMolecule64	
