Complex1	mature beta-NGF homodimer	extracellular region	Reactome DB_ID: 187031	Protein1	
Complex13	GRB2:SOS:Phospho-SHC	cytosol	Reactome DB_ID: 109798	Protein19	
Complex13	GRB2:SOS:Phospho-SHC	cytosol	Reactome DB_ID: 109798	Complex12	
Complex130	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein149	
Complex130	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein195	
Complex131	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Protein197	
Complex131	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Complex132	
Complex132	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein198	
Complex133	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex130	
Complex133	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex134	
Complex134	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity7	
Complex134	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex136	
Complex134	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein202	
Complex135	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein199	
Complex136	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein201	
Complex137	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex138	
Complex137	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex99	
Complex137	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex142	
Complex139	Phospho-alpha receptor homodimer	plasma membrane	Reactome DB_ID: 186816	Protein205	
Complex14	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	Protein25	
Complex14	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	SmallMolecule5	
Complex140	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein206	
Complex140	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein205	
Complex141	Phospho-beta receptor homodimer	plasma membrane	Reactome DB_ID: 186805	Protein206	
Complex143	PDGF A homodimer	extracellular region	Reactome DB_ID: 380761	Protein207	
Complex144	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein210	
Complex145	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein211	
Complex145	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein209	
Complex146	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Complex99	
Complex146	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Protein213	
Complex147	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Protein149	
Complex147	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Complex148	
Complex148	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Protein214	
Complex148	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Complex149	
Complex149	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex150	
Complex149	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex154	
Complex15	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	SmallMolecule4	
Complex15	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	Protein25	
Complex151	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Protein215	
Complex151	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Complex152	
Complex152	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein216	
Complex152	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein217	
Complex153	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Protein218	
Complex153	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Complex152	
Complex154	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein158	
Complex154	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein24	
Complex155	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Protein149	
Complex155	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Complex156	
Complex156	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Protein214	
Complex156	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Complex157	
Complex158	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Complex159	
Complex158	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Protein224	
Complex159	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	Protein219	
Complex159	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	PhysicalEntity8	
Complex16	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein29	
Complex16	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein30	
Complex160	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Complex159	
Complex160	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Protein225	
Complex161	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Protein149	
Complex161	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Complex162	
Complex162	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Complex163	
Complex162	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Protein214	
Complex164	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Protein215	
Complex164	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Complex165	
Complex165	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	Protein226	
Complex165	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	PhysicalEntity9	
Complex166	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Protein218	
Complex166	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Complex165	
Complex167	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Protein149	
Complex167	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Complex168	
Complex168	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Complex169	
Complex168	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Protein214	
Complex17	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Protein30	
Complex17	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Complex15	
Complex170	p-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251953	Complex171	
Complex171	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	Protein227	
Complex171	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	PhysicalEntity9	
Complex172	p-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251954	Complex173	
Complex173	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	Protein228	
Complex173	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	PhysicalEntity9	
Complex174	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein149	
Complex174	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein152	
Complex174	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex175	
Complex174	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex154	
Complex175	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex176	
Complex176	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein216	
Complex176	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein217	
Complex177	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein236	
Complex177	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein237	
Complex177	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Complex178	
Complex177	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein239	
Complex178	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein214	
Complex178	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein238	
Complex179	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein244	
Complex179	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule26	
Complex18	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Complex17	
Complex18	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Protein29	
Complex180	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein249	
Complex180	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule26	
Complex181	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein250	
Complex181	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule26	
Complex182	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein254	
Complex182	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein255	
Complex182	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein256	
Complex182	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein257	
Complex183	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein258	
Complex183	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex179	
Complex184	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex180	
Complex184	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex181	
Complex185	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule6	
Complex185	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein307	
Complex186	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	SmallMolecule30	
Complex186	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	Protein312	
Complex187	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	Protein249	
Complex187	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	SmallMolecule13	
Complex189	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Complex190	
Complex189	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein316	
Complex189	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein317	
Complex19	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein29	
Complex19	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Complex15	
Complex19	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein31	
Complex190	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Rna1	
Complex190	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Protein315	
Complex191	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein316	
Complex191	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Complex192	
Complex191	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein317	
Complex192	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Protein321	
Complex192	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Rna1	
Complex193	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Complex188	
Complex193	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Rna4	
Complex194	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex195	
Complex194	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex196	
Complex195	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein331	
Complex195	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein334	
Complex195	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein335	
Complex195	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein336	
Complex196	Clathrin	plasma membrane	Reactome DB_ID: 177482	Protein337	
Complex197	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177506	Complex194	
Complex197	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177506	Complex5	
Complex198	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Protein338	
Complex198	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Complex194	
Complex198	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Complex5	
Complex199	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Protein338	
Complex199	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Complex194	
Complex199	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Complex5	
Complex2	beta-NGF dimer:TrkA receptor	plasma membrane	Reactome DB_ID: 166537	Complex3	
Complex2	beta-NGF dimer:TrkA receptor	plasma membrane	Reactome DB_ID: 166537	Protein2	
Complex20	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	Protein26	
Complex20	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	SmallMolecule4	
Complex201	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein370	
Complex201	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein373	
Complex201	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein374	
Complex21	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Protein30	
Complex21	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Complex20	
Complex22	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Protein32	
Complex22	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Complex19	
Complex23	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Complex19	
Complex23	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Protein33	
Complex24	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Protein34	
Complex24	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Complex19	
Complex25	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein35	
Complex25	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein42	
Complex26	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein35	
Complex26	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein43	
Complex27	phospho-ERK-1 dimer	cytosol	Reactome DB_ID: 109844	Protein43	
Complex28	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein44	
Complex29	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Protein45	
Complex29	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Complex30	
Complex3	beta-NGF homodimer	extracellular region	Reactome DB_ID: 167057	Protein1	
Complex30	Tyrosine phosphorylated IL6 receptor hexamer:Activated JAKs	plasma membrane	Reactome DB_ID: 1112594	Complex31	
Complex32	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex33	
Complex32	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex34	
Complex33	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein46	
Complex33	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein47	
Complex34	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein51	
Complex34	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein52	
Complex35	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex33	
Complex35	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex36	
Complex36	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein51	
Complex36	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein53	
Complex37	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein36	
Complex37	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein54	
Complex38	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein36	
Complex38	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein55	
Complex39	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein55	
Complex4	beta-NGF dimer:TrkA receptor dimer	plasma membrane	Reactome DB_ID: 166543	Complex3	
Complex4	beta-NGF dimer:TrkA receptor dimer	plasma membrane	Reactome DB_ID: 166543	Protein2	
Complex40	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein56	
Complex41	Ras-GTP:RalGDS complex	plasma membrane	Reactome DB_ID: 171020	Protein57	
Complex41	Ras-GTP:RalGDS complex	plasma membrane	Reactome DB_ID: 171020	Complex15	
Complex43	RALA-GDP	cytosol	Reactome DB_ID: 171002	Protein58	
Complex43	RALA-GDP	cytosol	Reactome DB_ID: 171002	SmallMolecule5	
Complex44	RALB-GDP	cytosol	Reactome DB_ID: 171005	Protein59	
Complex44	RALB-GDP	cytosol	Reactome DB_ID: 171005	SmallMolecule5	
Complex46	RALA-GTP	cytosol	Reactome DB_ID: 170990	SmallMolecule4	
Complex46	RALA-GTP	cytosol	Reactome DB_ID: 170990	Protein58	
Complex47	RALB-GTP	cytosol	Reactome DB_ID: 171017	SmallMolecule4	
Complex47	RALB-GTP	cytosol	Reactome DB_ID: 171017	Protein59	
Complex48	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	Protein62	
Complex48	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	SmallMolecule6	
Complex49	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	Protein67	
