BiochemicalReaction1	Translocation of PDGF from ER to Golgi	Complex1	Complex7	
BiochemicalReaction21	AKT phosphorylates MDM2	Protein239	Protein240	
BiochemicalReaction21	AKT phosphorylates MDM2	Protein239	SmallMolecule5	
BiochemicalReaction21	AKT phosphorylates MDM2	SmallMolecule4	SmallMolecule5	
BiochemicalReaction22	AKT phosphorylates IKKalpha	Protein241	SmallMolecule5	
BiochemicalReaction22	AKT phosphorylates IKKalpha	SmallMolecule4	SmallMolecule5	
BiochemicalReaction22	AKT phosphorylates IKKalpha	SmallMolecule4	Protein242	
BiochemicalReaction22	AKT phosphorylates IKKalpha	Protein241	Protein242	
BiochemicalReaction23	AKT phosphorylates p21Cip1 and p27Kip1	Protein243	Protein246	
BiochemicalReaction23	AKT phosphorylates p21Cip1 and p27Kip1	SmallMolecule4	Protein246	
BiochemicalReaction23	AKT phosphorylates p21Cip1 and p27Kip1	SmallMolecule4	SmallMolecule5	
BiochemicalReaction23	AKT phosphorylates p21Cip1 and p27Kip1	Protein243	SmallMolecule5	
BiochemicalReaction24	AKT phosphorylates TSC2, inhibiting it	Protein249	SmallMolecule5	
BiochemicalReaction24	AKT phosphorylates TSC2, inhibiting it	SmallMolecule4	SmallMolecule5	
BiochemicalReaction24	AKT phosphorylates TSC2, inhibiting it	SmallMolecule4	Protein250	
BiochemicalReaction24	AKT phosphorylates TSC2, inhibiting it	Protein249	Protein250	
BiochemicalReaction25	AKT phosphorylates AKT1S1 (PRAS40)	Protein251	Protein252	
BiochemicalReaction25	AKT phosphorylates AKT1S1 (PRAS40)	SmallMolecule4	Protein252	
BiochemicalReaction25	AKT phosphorylates AKT1S1 (PRAS40)	SmallMolecule4	SmallMolecule5	
BiochemicalReaction25	AKT phosphorylates AKT1S1 (PRAS40)	Protein251	SmallMolecule5	
BiochemicalReaction26	AKT translocates to the nucleus	Protein225	Protein253	
BiochemicalReaction27	AKT phosphorylates CREB1	SmallMolecule9	SmallMolecule10	
BiochemicalReaction27	AKT phosphorylates CREB1	Protein257	SmallMolecule10	
BiochemicalReaction27	AKT phosphorylates CREB1	Protein257	Protein258	
BiochemicalReaction27	AKT phosphorylates CREB1	SmallMolecule9	Protein258	
BiochemicalReaction28	AKT can phosphorylate forkhead box transcription factors	Protein259	SmallMolecule10	
BiochemicalReaction28	AKT can phosphorylate forkhead box transcription factors	SmallMolecule9	SmallMolecule10	
BiochemicalReaction28	AKT can phosphorylate forkhead box transcription factors	SmallMolecule9	Protein264	
BiochemicalReaction28	AKT can phosphorylate forkhead box transcription factors	Protein259	Protein264	
BiochemicalReaction29	AKT can phosphorylate RSK	SmallMolecule9	SmallMolecule10	
BiochemicalReaction29	AKT can phosphorylate RSK	Protein269	SmallMolecule10	
BiochemicalReaction29	AKT can phosphorylate RSK	Protein269	Protein270	
BiochemicalReaction29	AKT can phosphorylate RSK	SmallMolecule9	Protein270	
BiochemicalReaction3	Release of novel PDGFs as latent factors	Complex18	Complex19	
BiochemicalReaction30	AKT can phosphorylate NR4A1 (NUR77)	SmallMolecule9	Protein272	
BiochemicalReaction30	AKT can phosphorylate NR4A1 (NUR77)	Protein271	Protein272	
BiochemicalReaction30	AKT can phosphorylate NR4A1 (NUR77)	Protein271	SmallMolecule10	
BiochemicalReaction30	AKT can phosphorylate NR4A1 (NUR77)	SmallMolecule9	SmallMolecule10	
BiochemicalReaction31	PTEN dephosphorylates PIP3	SmallMolecule11	SmallMolecule12	
BiochemicalReaction31	PTEN dephosphorylates PIP3	SmallMolecule7	SmallMolecule12	
BiochemicalReaction31	PTEN dephosphorylates PIP3	SmallMolecule7	SmallMolecule6	
BiochemicalReaction31	PTEN dephosphorylates PIP3	SmallMolecule11	SmallMolecule6	
BiochemicalReaction32	THEM4 (CTMP) and/or TRIB3 inhibit AKT phosphorylation	Protein222	Complex123	
BiochemicalReaction32	THEM4 (CTMP) and/or TRIB3 inhibit AKT phosphorylation	Complex119	Complex123	
BiochemicalReaction33	PHLPP dephosphorylates S473 in AKT	Protein225	SmallMolecule12	
BiochemicalReaction33	PHLPP dephosphorylates S473 in AKT	SmallMolecule11	SmallMolecule12	
BiochemicalReaction33	PHLPP dephosphorylates S473 in AKT	SmallMolecule11	Protein274	
BiochemicalReaction33	PHLPP dephosphorylates S473 in AKT	Protein225	Protein274	
BiochemicalReaction34	PDPK1 binds PIP2	SmallMolecule6	Complex127	
BiochemicalReaction34	PDPK1 binds PIP2	Protein212	Complex127	
BiochemicalReaction35	MIR26A microRNAs bind PTEN mRNA	Complex128	Complex133	
BiochemicalReaction35	MIR26A microRNAs bind PTEN mRNA	Rna4	Complex133	
BiochemicalReaction36	PTEN mRNA translation negatively regulated by microRNAs	Rna4	Complex125	
BiochemicalReaction37	PLC-gamma binds to the active receptor	Complex47	Complex134	
BiochemicalReaction37	PLC-gamma binds to the active receptor	Protein291	Complex134	
BiochemicalReaction38	Phosphorylation of PLCgamma by PDGFR	Complex134	Complex135	
BiochemicalReaction39	Activated PLC gamma dissociates from the PDGF receptor	Complex135	Complex47	
BiochemicalReaction39	Activated PLC gamma dissociates from the PDGF receptor	Complex135	Protein292	
BiochemicalReaction4	Extracellular processing of novel PDGFs	Complex19	Complex22	
BiochemicalReaction4	Extracellular processing of novel PDGFs	Complex19	Protein28	
BiochemicalReaction40	Active PLCG1 hydrolyses PIP2	SmallMolecule6	SmallMolecule15	
BiochemicalReaction40	Active PLCG1 hydrolyses PIP2	SmallMolecule11	SmallMolecule15	
BiochemicalReaction40	Active PLCG1 hydrolyses PIP2	SmallMolecule11	SmallMolecule16	
BiochemicalReaction40	Active PLCG1 hydrolyses PIP2	SmallMolecule6	SmallMolecule16	
BiochemicalReaction41	DAG stimulates protein kinase C-delta	SmallMolecule4	SmallMolecule5	
BiochemicalReaction41	DAG stimulates protein kinase C-delta	Protein293	SmallMolecule5	
BiochemicalReaction41	DAG stimulates protein kinase C-delta	Protein293	Protein296	
BiochemicalReaction41	DAG stimulates protein kinase C-delta	SmallMolecule4	Protein296	
BiochemicalReaction42	IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel	SmallMolecule15	Complex137	
BiochemicalReaction42	IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel	Complex136	Complex137	
BiochemicalReaction43	Release of calcium from intracellular stores by IP3 receptor activation	SmallMolecule17	SmallMolecule18	
BiochemicalReaction44	Calcium binds calmodulin	SmallMolecule18	Complex138	
BiochemicalReaction44	Calcium binds calmodulin	Protein303	Complex138	
BiochemicalReaction45	Adenylate cyclase produces cAMP	SmallMolecule4	SmallMolecule19	
BiochemicalReaction45	Adenylate cyclase produces cAMP	SmallMolecule4	SmallMolecule20	
BiochemicalReaction46	cAMP induces dissociation of inactive PKA tetramers	Complex141	Protein319	
BiochemicalReaction46	cAMP induces dissociation of inactive PKA tetramers	SmallMolecule19	Protein319	
BiochemicalReaction46	cAMP induces dissociation of inactive PKA tetramers	SmallMolecule19	Complex142	
BiochemicalReaction46	cAMP induces dissociation of inactive PKA tetramers	Complex141	Complex142	
BiochemicalReaction47	PKA catalytic subunit translocates to the nucleus	Protein319	Protein323	
BiochemicalReaction48	PKA phosphorylates CREB	SmallMolecule9	SmallMolecule10	
BiochemicalReaction48	PKA phosphorylates CREB	Protein257	SmallMolecule10	
BiochemicalReaction48	PKA phosphorylates CREB	Protein257	Protein258	
BiochemicalReaction48	PKA phosphorylates CREB	SmallMolecule9	Protein258	
BiochemicalReaction49	Dimerisation of CREB	Protein258	Complex143	
BiochemicalReaction5	PDGF binds to extracellular matrix proteins	PhysicalEntity2	Complex31	
BiochemicalReaction5	PDGF binds to extracellular matrix proteins	Protein113	Complex31	
BiochemicalReaction50	Calmodulin binds CaMK IV	Complex138	Complex144	
BiochemicalReaction50	Calmodulin binds CaMK IV	Protein327	Complex144	
BiochemicalReaction51	CamKIV enters the nucleus	Complex144	Complex145	
BiochemicalReaction52	CaMK IV autophosphorylation	Complex145	Complex147	
BiochemicalReaction52	CaMK IV autophosphorylation	SmallMolecule9	Complex147	
BiochemicalReaction52	CaMK IV autophosphorylation	SmallMolecule9	SmallMolecule10	
BiochemicalReaction52	CaMK IV autophosphorylation	Complex145	SmallMolecule10	
BiochemicalReaction53	CaMK IV phosphorylates CREB	SmallMolecule9	SmallMolecule10	
BiochemicalReaction53	CaMK IV phosphorylates CREB	Protein257	SmallMolecule10	
BiochemicalReaction53	CaMK IV phosphorylates CREB	Protein257	Protein258	
BiochemicalReaction53	CaMK IV phosphorylates CREB	SmallMolecule9	Protein258	
BiochemicalReaction54	Calmodulin activates Cam-PDE 1	Complex149	Complex153	
BiochemicalReaction55	cAMP hydrolysis by Cam-PDE 1	SmallMolecule19	SmallMolecule23	
BiochemicalReaction55	cAMP hydrolysis by Cam-PDE 1	SmallMolecule11	SmallMolecule23	
BiochemicalReaction56	Inhibition of GRK2 by calmodulin	Protein334	Complex154	
BiochemicalReaction56	Inhibition of GRK2 by calmodulin	Protein303	Complex154	
BiochemicalReaction57	PKC phosphorylates GRK2	Protein334	SmallMolecule5	
BiochemicalReaction57	PKC phosphorylates GRK2	SmallMolecule4	SmallMolecule5	
BiochemicalReaction57	PKC phosphorylates GRK2	SmallMolecule4	Protein335	
BiochemicalReaction57	PKC phosphorylates GRK2	Protein334	Protein335	
BiochemicalReaction58	SH2 domain of Src binds to the active receptor	Protein339	Complex156	
BiochemicalReaction58	SH2 domain of Src binds to the active receptor	Complex47	Complex156	
BiochemicalReaction59	Activation of Src	Complex156	SmallMolecule5	
BiochemicalReaction59	Activation of Src	SmallMolecule4	SmallMolecule5	
BiochemicalReaction59	Activation of Src	SmallMolecule4	Complex157	
BiochemicalReaction59	Activation of Src	Complex156	Complex157	
BiochemicalReaction6	PDGF dimer binds two receptors simultaneously	Protein114	Complex32	
BiochemicalReaction6	PDGF dimer binds two receptors simultaneously	Complex14	Complex32	
BiochemicalReaction60	SHP2 binds to the active receptor	Complex47	Complex158	
BiochemicalReaction60	SHP2 binds to the active receptor	Protein341	Complex158	
BiochemicalReaction61	GAP binds to PDGF-beta receptors only	Protein342	Complex159	
BiochemicalReaction61	GAP binds to PDGF-beta receptors only	Complex38	Complex159	
BiochemicalReaction62	Grb2/Sos1 complex binds to the active receptor	Complex47	Complex161	
BiochemicalReaction62	Grb2/Sos1 complex binds to the active receptor	Complex160	Complex161	
BiochemicalReaction63	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	SmallMolecule24	Complex163	
BiochemicalReaction63	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	Complex162	Complex163	
BiochemicalReaction63	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	Complex162	SmallMolecule25	
BiochemicalReaction63	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	SmallMolecule24	SmallMolecule25	
BiochemicalReaction64	p-RAF binds 14-3-3 beta/alpha	Protein348	Complex164	
BiochemicalReaction64	p-RAF binds 14-3-3 beta/alpha	Protein349	Complex164	
BiochemicalReaction65	Transient dissociation of 14-3-3 upon Ras binding	Complex164	Complex165	
BiochemicalReaction65	Transient dissociation of 14-3-3 upon Ras binding	Complex163	Complex165	
BiochemicalReaction65	Transient dissociation of 14-3-3 upon Ras binding	Complex163	Protein348	
BiochemicalReaction65	Transient dissociation of 14-3-3 upon Ras binding	Complex164	Protein348	
BiochemicalReaction66	Stabilisation of RAS:RAF by 14-3-3	Complex165	Complex166	
BiochemicalReaction66	Stabilisation of RAS:RAF by 14-3-3	Protein348	Complex166	
BiochemicalReaction67	Stabilisation of RAF by further phosphorylation	SmallMolecule4	Complex167	
BiochemicalReaction67	Stabilisation of RAF by further phosphorylation	Complex166	Complex167	
BiochemicalReaction67	Stabilisation of RAF by further phosphorylation	Complex166	SmallMolecule5	
BiochemicalReaction67	Stabilisation of RAF by further phosphorylation	SmallMolecule4	SmallMolecule5	
BiochemicalReaction68	Phosphorylated human RAF1 binds to RAS:GTP complex	Protein349	Complex169	
BiochemicalReaction68	Phosphorylated human RAF1 binds to RAS:GTP complex	Complex168	Complex169	
BiochemicalReaction69	Activated RAF1 complex binds MEK	Protein351	Complex170	
BiochemicalReaction69	Activated RAF1 complex binds MEK	Complex167	Complex170	
BiochemicalReaction7	Autophosphorylation of PDGF beta receptors	Complex37	SmallMolecule5	
BiochemicalReaction7	Autophosphorylation of PDGF beta receptors	SmallMolecule4	SmallMolecule5	
BiochemicalReaction7	Autophosphorylation of PDGF beta receptors	SmallMolecule4	Complex38	
BiochemicalReaction7	Autophosphorylation of PDGF beta receptors	Complex37	Complex38	
BiochemicalReaction70	RAF1  phosphorylates MEK1	SmallMolecule4	Protein354	
BiochemicalReaction70	RAF1  phosphorylates MEK1	Complex171	Protein354	
BiochemicalReaction70	RAF1  phosphorylates MEK1	Complex171	Complex167	
BiochemicalReaction70	RAF1  phosphorylates MEK1	SmallMolecule4	Complex167	
BiochemicalReaction70	RAF1  phosphorylates MEK1	Complex171	SmallMolecule5	
BiochemicalReaction70	RAF1  phosphorylates MEK1	SmallMolecule4	SmallMolecule5	
BiochemicalReaction71	RAF1 phosphorylates MEK2	Complex172	Complex167	
BiochemicalReaction71	RAF1 phosphorylates MEK2	SmallMolecule4	Complex167	
BiochemicalReaction71	RAF1 phosphorylates MEK2	SmallMolecule4	SmallMolecule5	
BiochemicalReaction71	RAF1 phosphorylates MEK2	Complex172	SmallMolecule5	
BiochemicalReaction71	RAF1 phosphorylates MEK2	SmallMolecule4	Protein355	
BiochemicalReaction71	RAF1 phosphorylates MEK2	Complex172	Protein355	
BiochemicalReaction72	Inactivation of MEK1 by p34cdc2	Protein356	SmallMolecule5	
BiochemicalReaction72	Inactivation of MEK1 by p34cdc2	SmallMolecule4	SmallMolecule5	
BiochemicalReaction72	Inactivation of MEK1 by p34cdc2	SmallMolecule4	Protein357	
BiochemicalReaction72	Inactivation of MEK1 by p34cdc2	Protein356	Protein357	
BiochemicalReaction73	MEK1 binds ERK-1	Protein354	Complex173	
BiochemicalReaction73	MEK1 binds ERK-1	Protein361	Complex173	
BiochemicalReaction74	MEK1 phosphorylates ERK-1	Complex173	Complex174	
BiochemicalReaction74	MEK1 phosphorylates ERK-1	SmallMolecule4	Complex174	
BiochemicalReaction74	MEK1 phosphorylates ERK-1	SmallMolecule4	SmallMolecule5	
BiochemicalReaction74	MEK1 phosphorylates ERK-1	Complex173	SmallMolecule5	
BiochemicalReaction75	Dissociation of phospho-ERK-1:MEK1	Complex174	Protein354	
BiochemicalReaction75	Dissociation of phospho-ERK-1:MEK1	Complex174	Protein362	
BiochemicalReaction76	Dimerisation of phospho-ERK-1	Protein362	Complex175	
BiochemicalReaction77	Nuclear translocation of phospho-ERK-1 dimer	Complex175	Complex176	
BiochemicalReaction78	MEK2 binds ERK-2	Protein355	Complex185	
BiochemicalReaction78	MEK2 binds ERK-2	Protein372	Complex185	
BiochemicalReaction79	MEK2 phosphorylates ERK-2	Complex185	SmallMolecule5	
BiochemicalReaction79	MEK2 phosphorylates ERK-2	SmallMolecule4	SmallMolecule5	
BiochemicalReaction79	MEK2 phosphorylates ERK-2	SmallMolecule4	Complex186	
BiochemicalReaction79	MEK2 phosphorylates ERK-2	Complex185	Complex186	
BiochemicalReaction8	Autophosphorylation of PDGF alpha receptors	SmallMolecule4	SmallMolecule5	
BiochemicalReaction8	Autophosphorylation of PDGF alpha receptors	Complex40	SmallMolecule5	
BiochemicalReaction8	Autophosphorylation of PDGF alpha receptors	Complex40	Complex41	
BiochemicalReaction8	Autophosphorylation of PDGF alpha receptors	SmallMolecule4	Complex41	
BiochemicalReaction80	Dissociation of phospho-ERK-2:MEK2	Complex186	Protein355	
BiochemicalReaction80	Dissociation of phospho-ERK-2:MEK2	Complex186	Protein373	
BiochemicalReaction81	Dimerisation of phospho-ERK-2	Protein373	Complex187	
BiochemicalReaction82	Nuclear translocation of phospho-ERK-2 dimer	Complex187	Complex188	
BiochemicalReaction83	STAT binds to the active receptor	Complex47	Complex189	
BiochemicalReaction83	STAT binds to the active receptor	Protein375	Complex189	
BiochemicalReaction84	Crk binds to the active PDGF receptor	Complex47	Complex190	
BiochemicalReaction84	Crk binds to the active PDGF receptor	Protein381	Complex190	
BiochemicalReaction85	p130Cas and C3G bind PDGFR bound Crk	Complex190	Complex191	
BiochemicalReaction85	p130Cas and C3G bind PDGFR bound Crk	Protein384	Complex191	
BiochemicalReaction85	p130Cas and C3G bind PDGFR bound Crk	Protein385	Complex191	
BiochemicalReaction86	Nck binds to the active PDGF receptor	Complex47	Complex192	
BiochemicalReaction86	Nck binds to the active PDGF receptor	Protein386	Complex192	
BiochemicalReaction87	Grb7 binds to the active PDGF receptor	Complex47	Complex193	
BiochemicalReaction87	Grb7 binds to the active PDGF receptor	Protein389	Complex193	
BiochemicalReaction9	Autophosphorylation of PDGF alpha/beta receptors	Complex43	SmallMolecule5	
BiochemicalReaction9	Autophosphorylation of PDGF alpha/beta receptors	SmallMolecule4	SmallMolecule5	
BiochemicalReaction9	Autophosphorylation of PDGF alpha/beta receptors	SmallMolecule4	Complex45	
BiochemicalReaction9	Autophosphorylation of PDGF alpha/beta receptors	Complex43	Complex45	
