Complex10	MCT3 homodimer	plasma membrane	Reactome DB_ID: 374006	Protein4	
Complex18	phosphorylated pyruvate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 210342	Complex16	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	Complex14	
Complex19	Inactive PDHE1 complex	mitochondrial matrix	Reactome DB_ID: 204168	SmallMolecule15	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein1	
Complex2	lactate dehydrogenase A2B2 complex	cytosol	Reactome DB_ID: 70513	Protein2	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Protein19	
Complex21	PDP1 complex	mitochondrial matrix	Reactome DB_ID: 204162	Complex22	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	Protein20	
Complex22	PDPr:FAD	mitochondrial matrix	Reactome DB_ID: 210347	SmallMolecule16	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Complex22	
Complex23	PDP2 complex	mitochondrial matrix	Reactome DB_ID: 204218	Protein21	
Complex24	Citrate Synthase Holoenzyme	mitochondrial matrix	Reactome DB_ID: 70973	Protein22	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	SmallMolecule26	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein24	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein25	
Complex25	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein26	
Complex26	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	SmallMolecule26	
Complex26	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	Protein27	
Complex27	NNT dimer	mitochondrial inner membrane	Reactome DB_ID: 451008	Protein28	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex29	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex30	
Complex28	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex16	
Complex29	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	SmallMolecule30	
Complex29	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	Protein29	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein1	
Complex3	lactate dehydrogenase A3B complex	cytosol	Reactome DB_ID: 70504	Protein2	
Complex30	alpha-ketoglutarate dehydrogenase E1 homodimer	mitochondrial matrix	Reactome DB_ID: 69992	Complex31	
Complex31	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	Protein30	
Complex31	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	SmallMolecule15	
Complex32	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein31	
Complex32	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein32	
Complex33	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein33	
Complex33	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein31	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex35	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein35	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex36	
Complex34	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein37	
Complex35	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	PhysicalEntity1	
Complex35	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	Protein34	
Complex36	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	Protein36	
Complex36	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	SmallMolecule35	
Complex37	FH tetramer	mitochondrial matrix	Reactome DB_ID: 451041	Protein38	
Complex38	malate dehydrogenase 2 dimer	mitochondrial matrix	Reactome DB_ID: 198511	Protein39	
Complex4	lactate dehydrogenase A4 complex	cytosol	Reactome DB_ID: 70508	Protein2	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein1	
Complex5	lactate dehydrogenase AB3 complex	cytosol	Reactome DB_ID: 70506	Protein2	
Complex6	lactate dehydrogenase B4 complex	cytosol	Reactome DB_ID: 70516	Protein1	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Complex8	
Complex7	Basigin bound to MCTs	plasma membrane	Reactome DB_ID: 204396	Protein6	
Complex9	MCT1 homodimer	plasma membrane	Reactome DB_ID: 374001	Protein3	
