BiochemicalReaction1	Ligand-independent dimerization of overexpressed FGFR1	PhysicalEntity1	Complex1	
BiochemicalReaction22	Autocatalytic phosphorylation of FGFR1 P252X mutant dimers	SmallMolecule1	SmallMolecule2	
BiochemicalReaction22	Autocatalytic phosphorylation of FGFR1 P252X mutant dimers	SmallMolecule1	Complex48	
BiochemicalReaction22	Autocatalytic phosphorylation of FGFR1 P252X mutant dimers	Complex43	Complex48	
BiochemicalReaction23	Dimerization of FGFR1 point mutants with enhanced kinase activity	Protein62	Complex53	
BiochemicalReaction24	Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity	Complex53	SmallMolecule2	
BiochemicalReaction24	Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity	SmallMolecule1	SmallMolecule2	
BiochemicalReaction24	Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity	SmallMolecule1	Complex57	
BiochemicalReaction24	Autocatalytic phosphorylation of FGFR1 mutants with enhanced kinase activity	Complex53	Complex57	
BiochemicalReaction3	Tyrosine kinase inhibitors bind and inhibit overexpressed FGFR1 dimers	Complex1	Complex7	
BiochemicalReaction3	Tyrosine kinase inhibitors bind and inhibit overexpressed FGFR1 dimers	SmallMolecule3	Complex7	
BiochemicalReaction4	Dimerization of FGFR1 fusion proteins	Protein3	Complex8	
BiochemicalReaction5	Phosphorylation of FGFR1 fusion dimers	Complex8	SmallMolecule2	
BiochemicalReaction5	Phosphorylation of FGFR1 fusion dimers	SmallMolecule1	SmallMolecule2	
BiochemicalReaction5	Phosphorylation of FGFR1 fusion dimers	SmallMolecule1	Complex19	
BiochemicalReaction5	Phosphorylation of FGFR1 fusion dimers	Complex8	Complex19	
BiochemicalReaction6	Tyrosine kinase inhibitors bind and inhibit FGFR1 fusion dimer phosphorylation	SmallMolecule13	Complex30	
BiochemicalReaction6	Tyrosine kinase inhibitors bind and inhibit FGFR1 fusion dimer phosphorylation	Complex8	Complex30	
BiochemicalReaction7	FGFR1 fusions bind PLCgamma	PhysicalEntity4	Complex32	
BiochemicalReaction7	FGFR1 fusions bind PLCgamma	Protein25	Complex32	
BiochemicalReaction7	FGFR1 fusions bind PLCgamma	SmallMolecule15	Complex32	
BiochemicalReaction8	PLCgamma is phosphorylated by FGFR1-fusions	SmallMolecule1	SmallMolecule2	
BiochemicalReaction8	PLCgamma is phosphorylated by FGFR1-fusions	Complex32	SmallMolecule2	
BiochemicalReaction8	PLCgamma is phosphorylated by FGFR1-fusions	Complex32	Complex33	
BiochemicalReaction8	PLCgamma is phosphorylated by FGFR1-fusions	SmallMolecule1	Complex33	
BiochemicalReaction9	p-PLCgamma dissociates from FGFR1 fusions	Complex33	PhysicalEntity4	
BiochemicalReaction9	p-PLCgamma dissociates from FGFR1 fusions	Complex33	Protein26	
