Complex1	Pre-TGFB1 complex	Golgi lumen	Reactome DB_ID: 171260	Protein1	
Complex28	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein18	
Complex28	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein34	
Complex29	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein18	
Complex29	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein35	
Complex3	Dimeric TGFB1	extracellular region	Reactome DB_ID: 170852	Protein5	
Complex30	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex9	
Complex30	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex29	
Complex31	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Protein36	
Complex31	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Complex15	
Complex32	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Protein51	
Complex32	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Complex31	
Complex33	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Protein36	
Complex33	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Complex15	
Complex34	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein28	
Complex34	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein11	
Complex35	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein36	
Complex35	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein11	
Complex36	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein54	
Complex36	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein12	
Complex37	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein36	
Complex37	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein12	
Complex38	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein14	
Complex38	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein55	
Complex39	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein10	
Complex39	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein56	
Complex4	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex3	
Complex4	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex5	
Complex40	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein14	
Complex40	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein57	
Complex41	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein58	
Complex41	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein6	
Complex42	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein59	
Complex42	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein60	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein61	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein62	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein63	
Complex44	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein65	
Complex44	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein66	
Complex44	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Complex45	
Complex44	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein70	
Complex44	Tight Junction Complex:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134514	Protein71	
Complex45	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein67	
Complex45	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein68	
Complex45	PARD3:PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2133770	Protein69	
Complex46	Tight Junction Complex:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134509	Complex44	
Complex46	Tight Junction Complex:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134509	Complex6	
Complex47	Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134522	Complex44	
Complex47	Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA	cell junction	Reactome DB_ID: 2134522	Complex7	
Complex48	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134534	Complex9	
Complex48	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134534	Complex49	
Complex49	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein65	
Complex49	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein66	
Complex49	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein70	
Complex49	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Complex50	
Complex49	Tight Junction Complex:p-PARD6A:RHOA	cell junction	Reactome DB_ID: 2134529	Protein71	
Complex5	TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170866	Protein6	
Complex50	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein68	
Complex50	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein72	
Complex50	PARD3:p-PARD6A:PRKCZ	cell junction	Reactome DB_ID: 2134528	Protein69	
Complex51	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1	plasma membrane	Reactome DB_ID: 2160929	Complex48	
Complex51	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1	plasma membrane	Reactome DB_ID: 2160929	Protein31	
Complex52	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1	cell junction	Reactome DB_ID: 2160934	Protein36	
Complex52	Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1	cell junction	Reactome DB_ID: 2160934	Complex51	
Complex53	p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 173511	Protein73	
Complex53	p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 173511	Protein74	
Complex54	p-T,2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176487	Protein77	
Complex54	p-T,2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176487	Protein73	
Complex56	CDK8:CCNC	nucleoplasm	Reactome DB_ID: 1604465	Protein80	
Complex56	CDK8:CCNC	nucleoplasm	Reactome DB_ID: 1604465	Protein81	
Complex57	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein82	
Complex57	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein83	
Complex57	P-TEFb complex	nucleoplasm	Reactome DB_ID: 112431	Protein84	
Complex58	WWTR1:p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 2031357	Complex14	
Complex58	WWTR1:p-2S-SMAD2/3:SMAD4	cytosol	Reactome DB_ID: 2031357	Protein85	
Complex59	WWTR1:p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2106580	Protein86	
Complex59	WWTR1:p-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2106580	Complex53	
Complex6	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein7	
Complex6	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein8	
Complex60	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Complex53	
Complex60	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Protein88	
Complex60	p-2S-SMAD2/3:SMAD4:TGIF:HDAC1	nucleoplasm	Reactome DB_ID: 2186606	Protein89	
Complex61	SMAD7:RNF111	nucleoplasm	Reactome DB_ID: 2186769	Protein26	
Complex61	SMAD7:RNF111	nucleoplasm	Reactome DB_ID: 2186769	Protein92	
Complex62	Ub-SMAD7	nucleoplasm	Reactome DB_ID: 2186778	Protein26	
Complex62	Ub-SMAD7	nucleoplasm	Reactome DB_ID: 2186778	Protein93	
Complex63	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein108	
Complex63	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein111	
Complex63	RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127252	Protein114	
Complex64	p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127250	Complex63	
Complex64	p-SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2	nucleoplasm	Reactome DB_ID: 2127250	Complex53	
Complex65	p-2S-SMAD2/3:SMAD4:SP1	nucleoplasm	Reactome DB_ID: 2187302	Protein116	
Complex65	p-2S-SMAD2/3:SMAD4:SP1	nucleoplasm	Reactome DB_ID: 2187302	Complex53	
Complex66	p-2S-SMAD2/3:SMAD4:MEN1	nucleoplasm	Reactome DB_ID: 2186642	Complex53	
Complex66	p-2S-SMAD2/3:SMAD4:MEN1	nucleoplasm	Reactome DB_ID: 2186642	Protein118	
Complex67	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein120	
Complex67	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein73	
Complex67	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein123	
Complex67	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR	nucleoplasm	Reactome DB_ID: 177110	Protein74	
Complex68	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2	nucleoplasm	Reactome DB_ID: 2186744	Complex67	
Complex68	p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2	nucleoplasm	Reactome DB_ID: 2186744	Protein126	
Complex69	Ub-SKI/Ub-SKIL	nucleoplasm	Reactome DB_ID: 2186733	Protein123	
Complex69	Ub-SKI/Ub-SKIL	nucleoplasm	Reactome DB_ID: 2186733	Protein93	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex3	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex8	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex5	
Complex70	p-SMAD2/3:SMAD4:TRIM33	nucleoplasm	Reactome DB_ID: 870446	Protein127	
Complex70	p-SMAD2/3:SMAD4:TRIM33	nucleoplasm	Reactome DB_ID: 870446	Complex53	
Complex71	Ub-SMAD4	nucleoplasm	Reactome DB_ID: 870463	Protein73	
Complex71	Ub-SMAD4	nucleoplasm	Reactome DB_ID: 870463	Protein93	
Complex72	Ub-SMAD4	cytosol	Reactome DB_ID: 870482	Protein17	
Complex72	Ub-SMAD4	cytosol	Reactome DB_ID: 870482	Protein36	
Complex73	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein17	
Complex73	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein36	
Complex73	Ub-SMAD4:USP9X	cytosol	Reactome DB_ID: 870520	Protein128	
Complex74	p-T-2S-SMAD2/3:SMAD4:NEDDL4	nucleoplasm	Reactome DB_ID: 2176495	Protein33	
Complex74	p-T-2S-SMAD2/3:SMAD4:NEDDL4	nucleoplasm	Reactome DB_ID: 2176495	Complex54	
Complex75	Ub-p-T-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176504	Protein93	
Complex75	Ub-p-T-2S-SMAD2/3:SMAD4	nucleoplasm	Reactome DB_ID: 2176504	Complex54	
Complex76	p-T-2S-SMAD2/3:SMAD4:SMURF2	nucleoplasm	Reactome DB_ID: 2179277	Protein27	
Complex76	p-T-2S-SMAD2/3:SMAD4:SMURF2	nucleoplasm	Reactome DB_ID: 2179277	Complex54	
Complex77	Ub-p-T-2S-SMAD2/3	nucleoplasm	Reactome DB_ID: 2179273	Protein77	
Complex77	Ub-p-T-2S-SMAD2/3	nucleoplasm	Reactome DB_ID: 2179273	Protein93	
Complex78	p-2S-SMAD2/3:SMAD4:PARP1	nucleoplasm	Reactome DB_ID: 2187322	Complex53	
Complex78	p-2S-SMAD2/3:SMAD4:PARP1	nucleoplasm	Reactome DB_ID: 2187322	Protein129	
Complex79	PAR-SMAD2/3:PAR-SMAD4	nucleoplasm	Reactome DB_ID: 2187328	Protein130	
Complex79	PAR-SMAD2/3:PAR-SMAD4	nucleoplasm	Reactome DB_ID: 2187328	Protein131	
Complex8	TGFBR1 homodimer	plasma membrane	Reactome DB_ID: 170864	Protein7	
Complex80	p-2S-SMAD2/3:SMAD4:PPM1A	nucleoplasm	Reactome DB_ID: 2187392	Complex53	
Complex80	p-2S-SMAD2/3:SMAD4:PPM1A	nucleoplasm	Reactome DB_ID: 2187392	Protein133	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex3	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex10	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex5	
