BiochemicalReaction1	Pro-EGF is cleaved to form mature EGF	Protein1	Protein2	
BiochemicalReaction1019	RLBP1 binds atROL	SmallMolecule284	Complex1282	
BiochemicalReaction1019	RLBP1 binds atROL	Protein2900	Complex1282	
BiochemicalReaction102	Beta-Pix pushes CIN85 away from CBL	Complex179	Protein310	
BiochemicalReaction102	Beta-Pix pushes CIN85 away from CBL	Complex180	Protein310	
BiochemicalReaction102	Beta-Pix pushes CIN85 away from CBL	Complex180	Complex181	
BiochemicalReaction102	Beta-Pix pushes CIN85 away from CBL	Complex179	Complex181	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	Complex1282	Complex1283	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	SmallMolecule227	Complex1283	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	SmallMolecule227	SmallMolecule25	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	Complex1282	SmallMolecule25	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	SmallMolecule227	SmallMolecule226	
BiochemicalReaction1020	11cRDH oxidises 11cROL to 11cRAL	Complex1282	SmallMolecule226	
BiochemicalReaction1021	Photons induce isomerisation of 11cRAL to atRAL	Complex1287	Complex1291	
BiochemicalReaction1022	atRAL is hydrolysed from R*	SmallMolecule5	Protein2915	
BiochemicalReaction1022	atRAL is hydrolysed from R*	Complex1291	Protein2915	
BiochemicalReaction1022	atRAL is hydrolysed from R*	Complex1291	SmallMolecule225	
BiochemicalReaction1022	atRAL is hydrolysed from R*	SmallMolecule5	SmallMolecule225	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule25	SmallMolecule294	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule225	SmallMolecule294	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule226	SmallMolecule294	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule226	SmallMolecule227	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule225	SmallMolecule227	
BiochemicalReaction1023	atRAL is reduced to atROL	SmallMolecule25	SmallMolecule227	
BiochemicalReaction1024	MII catalyses GDP/GTP exchange on Gt	Complex1295	Complex1298	
BiochemicalReaction1024	MII catalyses GDP/GTP exchange on Gt	SmallMolecule17	Complex1298	
BiochemicalReaction1024	MII catalyses GDP/GTP exchange on Gt	SmallMolecule17	SmallMolecule18	
BiochemicalReaction1024	MII catalyses GDP/GTP exchange on Gt	Complex1295	SmallMolecule18	
BiochemicalReaction1025	Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1	Complex1298	Complex1299	
BiochemicalReaction1025	Gt-GTP dissociates to GNAT1-GTP and GNB1:GNGT1	Complex1298	Complex1297	
BiochemicalReaction1026	GNAT1-GTP binds PDE6 and activates it	Complex1299	Complex1301	
BiochemicalReaction1026	GNAT1-GTP binds PDE6 and activates it	Complex1300	Complex1301	
BiochemicalReaction1027	PDE hydrolyses cGMP to GMP	SmallMolecule298	SmallMolecule299	
BiochemicalReaction1027	PDE hydrolyses cGMP to GMP	SmallMolecule5	SmallMolecule299	
BiochemicalReaction1028	cGMP:CNG transports Na+ and Ca2+ into the rod outer segment	SmallMolecule59	SmallMolecule9	
BiochemicalReaction1028	cGMP:CNG transports Na+ and Ca2+ into the rod outer segment	SmallMolecule300	SmallMolecule9	
BiochemicalReaction1028	cGMP:CNG transports Na+ and Ca2+ into the rod outer segment	SmallMolecule300	SmallMolecule301	
BiochemicalReaction1028	cGMP:CNG transports Na+ and Ca2+ into the rod outer segment	SmallMolecule59	SmallMolecule301	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule300	SmallMolecule303	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule302	SmallMolecule303	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule9	SmallMolecule303	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule9	SmallMolecule59	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule302	SmallMolecule59	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule300	SmallMolecule59	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule9	SmallMolecule301	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule302	SmallMolecule301	
BiochemicalReaction1029	NCKX1 exchanges Na+ for Ca2+/K+	SmallMolecule300	SmallMolecule301	
BiochemicalReaction103	CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix	Protein281	Complex182	
BiochemicalReaction103	CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix	Complex181	Complex182	
BiochemicalReaction103	CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix	Complex181	Complex164	
BiochemicalReaction103	CBL escapes CDC42-mediated inhibition by down-regulating the adaptor molecule Beta-Pix	Protein281	Complex164	
BiochemicalReaction1030	cGMP dissociates from CNG channels	Complex1302	SmallMolecule298	
BiochemicalReaction1030	cGMP dissociates from CNG channels	Complex1302	Complex1303	
BiochemicalReaction1031	METAP1/2 demethylates GNAT1	Protein2930	Protein2931	
BiochemicalReaction1031	METAP1/2 demethylates GNAT1	Protein2930	SmallMolecule304	
BiochemicalReaction1032	NMT1/2 transfer MYS to GNAT1	Protein2931	Protein2921	
BiochemicalReaction1032	NMT1/2 transfer MYS to GNAT1	SmallMolecule306	Protein2921	
BiochemicalReaction1032	NMT1/2 transfer MYS to GNAT1	SmallMolecule306	SmallMolecule307	
BiochemicalReaction1032	NMT1/2 transfer MYS to GNAT1	Protein2931	SmallMolecule307	
BiochemicalReaction1033	FNTA:FNTB transfers FARN to GNGT1	SmallMolecule308	Protein2922	
BiochemicalReaction1033	FNTA:FNTB transfers FARN to GNGT1	Protein2937	Protein2922	
BiochemicalReaction1033	FNTA:FNTB transfers FARN to GNGT1	Protein2937	SmallMolecule11	
BiochemicalReaction1033	FNTA:FNTB transfers FARN to GNGT1	SmallMolecule308	SmallMolecule11	
BiochemicalReaction1034	Unknown NAT N-acylates Gly in GNAT1	Protein2931	Protein2940	
BiochemicalReaction1034	Unknown NAT N-acylates Gly in GNAT1	SmallMolecule309	Protein2940	
BiochemicalReaction1034	Unknown NAT N-acylates Gly in GNAT1	SmallMolecule309	SmallMolecule307	
BiochemicalReaction1034	Unknown NAT N-acylates Gly in GNAT1	Protein2931	SmallMolecule307	
BiochemicalReaction1035	GRK1 phosphorylates MII to p-MII	Complex1285	Complex1308	
BiochemicalReaction1035	GRK1 phosphorylates MII to p-MII	SmallMolecule2	Complex1308	
BiochemicalReaction1035	GRK1 phosphorylates MII to p-MII	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1035	GRK1 phosphorylates MII to p-MII	Complex1285	SmallMolecule3	
BiochemicalReaction1036	RCVRN:Ca2+ binds to and inhibits GRK1	Protein2942	Complex1310	
BiochemicalReaction1036	RCVRN:Ca2+ binds to and inhibits GRK1	Complex1309	Complex1310	
BiochemicalReaction1037	SAG binds p-MII to form p-MII:SAG	Protein2944	Complex1311	
BiochemicalReaction1037	SAG binds p-MII to form p-MII:SAG	Complex1308	Complex1311	
BiochemicalReaction1038	atRAL dissociates from p-MII:SAG	Complex1311	Complex1312	
BiochemicalReaction1038	atRAL dissociates from p-MII:SAG	Complex1311	SmallMolecule289	
BiochemicalReaction1039	p-MII:SAG dissociates to p-RHO and SAG	Complex1312	Protein2941	
BiochemicalReaction1039	p-MII:SAG dissociates to p-RHO and SAG	Complex1312	Protein2944	
BiochemicalReaction104	Assembly of EGFR complex in clathrin-coated vesicles	Complex183	Complex184	
BiochemicalReaction104	Assembly of EGFR complex in clathrin-coated vesicles	Complex171	Complex184	
BiochemicalReaction1040	PP2A dephosphorylates p-RHO to RHO	Protein2941	Protein1756	
BiochemicalReaction1040	PP2A dephosphorylates p-RHO to RHO	SmallMolecule5	Protein1756	
BiochemicalReaction1040	PP2A dephosphorylates p-RHO to RHO	SmallMolecule5	SmallMolecule21	
BiochemicalReaction1040	PP2A dephosphorylates p-RHO to RHO	Protein2941	SmallMolecule21	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	SmallMolecule5	SmallMolecule21	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	Complex1301	SmallMolecule21	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	Complex1301	Complex1296	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	SmallMolecule5	Complex1296	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	Complex1301	Complex1300	
BiochemicalReaction1041	GNAT1-GTP hydrolyses its bound GTP to GDP	SmallMolecule5	Complex1300	
BiochemicalReaction1042	PRKCA/Q phosphorylate RGS9-1:GN5B:RGS9BP	Complex1314	Complex1315	
BiochemicalReaction1042	PRKCA/Q phosphorylate RGS9-1:GN5B:RGS9BP	SmallMolecule2	Complex1315	
BiochemicalReaction1042	PRKCA/Q phosphorylate RGS9-1:GN5B:RGS9BP	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1042	PRKCA/Q phosphorylate RGS9-1:GN5B:RGS9BP	Complex1314	SmallMolecule3	
BiochemicalReaction1043	GNAT1-GDP binds to GNB1:GNGT1	Complex1297	Complex1295	
BiochemicalReaction1043	GNAT1-GDP binds to GNB1:GNGT1	Complex1296	Complex1295	
BiochemicalReaction1044	GUCA binds Ca2+ to form GUCA:Ca2+	Protein2953	Complex1316	
BiochemicalReaction1044	GUCA binds Ca2+ to form GUCA:Ca2+	SmallMolecule9	Complex1316	
BiochemicalReaction1045	GUCYs converts GTP to cGMP	SmallMolecule17	SmallMolecule298	
BiochemicalReaction1045	GUCYs converts GTP to cGMP	SmallMolecule17	SmallMolecule11	
BiochemicalReaction1046	cGMP binds CNG channel to form cGMP:CNG channel	SmallMolecule298	Complex1302	
BiochemicalReaction1046	cGMP binds CNG channel to form cGMP:CNG channel	Complex1303	Complex1302	
BiochemicalReaction1047	CALM1:Ca2+ binds CNG channel	Complex1322	Complex1323	
BiochemicalReaction1047	CALM1:Ca2+ binds CNG channel	Complex1303	Complex1323	
BiochemicalReaction1048	LEP Binds LEPR:JAK2	Complex1324	Complex1326	
BiochemicalReaction1048	LEP Binds LEPR:JAK2	Protein2963	Complex1326	
BiochemicalReaction1049	JAK2 Autophosphorylates in Response to Leptin	Complex1326	Complex1327	
BiochemicalReaction1049	JAK2 Autophosphorylates in Response to Leptin	SmallMolecule2	Complex1327	
BiochemicalReaction1049	JAK2 Autophosphorylates in Response to Leptin	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1049	JAK2 Autophosphorylates in Response to Leptin	Complex1326	SmallMolecule3	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Complex185	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Complex186	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	SmallMolecule4	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Complex187	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Complex184	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Protein325	Complex188	
BiochemicalReaction105	Assembly in clathrin-coated vesicles (CCVs)	Protein326	Complex188	
BiochemicalReaction1050	JAK2 Phosphorylates LEPR	Complex1327	Complex1330	
BiochemicalReaction1050	JAK2 Phosphorylates LEPR	SmallMolecule2	Complex1330	
BiochemicalReaction1050	JAK2 Phosphorylates LEPR	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1050	JAK2 Phosphorylates LEPR	Complex1327	SmallMolecule3	
BiochemicalReaction1051	Phosphorylated LEPR Binds SHP2 (PTPN11)	Protein272	Complex1333	
BiochemicalReaction1051	Phosphorylated LEPR Binds SHP2 (PTPN11)	Complex1330	Complex1333	
BiochemicalReaction1052	JAK2 Phosphorylates SHP2 (PTPN11) in Response to Leptin	SmallMolecule2	Complex1334	
BiochemicalReaction1052	JAK2 Phosphorylates SHP2 (PTPN11) in Response to Leptin	Complex1333	Complex1334	
BiochemicalReaction1052	JAK2 Phosphorylates SHP2 (PTPN11) in Response to Leptin	Complex1333	SmallMolecule3	
BiochemicalReaction1052	JAK2 Phosphorylates SHP2 (PTPN11) in Response to Leptin	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1053	Phosphorylated LEPR Binds STAT5	Complex1330	Complex1335	
BiochemicalReaction1053	Phosphorylated LEPR Binds STAT5	Protein943	Complex1335	
BiochemicalReaction1054	JAK2 Phosphorylates STAT5 in Response to Leptin	SmallMolecule2	Complex1336	
BiochemicalReaction1054	JAK2 Phosphorylates STAT5 in Response to Leptin	Complex1335	Complex1336	
BiochemicalReaction1054	JAK2 Phosphorylates STAT5 in Response to Leptin	Complex1335	SmallMolecule3	
BiochemicalReaction1054	JAK2 Phosphorylates STAT5 in Response to Leptin	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1055	Phosphorylated STAT5 Dissociates from Leptin Receptor	Complex1336	Protein944	
BiochemicalReaction1055	Phosphorylated STAT5 Dissociates from Leptin Receptor	Complex1336	Complex1330	
BiochemicalReaction1056	Phosphorylated STAT5 forms dimers	Protein944	Complex1337	
BiochemicalReaction1057	STAT5 dimers translocate to the nucleus and bind to specific DNA sequences	Complex1337	Complex1338	
BiochemicalReaction1058	Phosphorylated LEPR Binds STAT3	Protein653	Complex1339	
BiochemicalReaction1058	Phosphorylated LEPR Binds STAT3	Complex1330	Complex1339	
BiochemicalReaction1059	JAK2 Phosphoryates STAT3 in Response to Leptin	SmallMolecule2	Complex1340	
BiochemicalReaction1059	JAK2 Phosphoryates STAT3 in Response to Leptin	Complex1339	Complex1340	
BiochemicalReaction1059	JAK2 Phosphoryates STAT3 in Response to Leptin	Complex1339	SmallMolecule3	
BiochemicalReaction1059	JAK2 Phosphoryates STAT3 in Response to Leptin	SmallMolecule2	SmallMolecule3	
BiochemicalReaction106	EGFR non-clathrin mediated endocytosis	Complex183	Complex190	
BiochemicalReaction106	EGFR non-clathrin mediated endocytosis	Complex186	Complex190	
BiochemicalReaction106	EGFR non-clathrin mediated endocytosis	Protein325	Complex190	
BiochemicalReaction106	EGFR non-clathrin mediated endocytosis	Protein326	Complex190	
BiochemicalReaction106	EGFR non-clathrin mediated endocytosis	Complex165	Complex190	
BiochemicalReaction1060	Phosphorylated STAT3 Dissociates from Leptin Receptor	Complex1340	Protein871	
BiochemicalReaction1060	Phosphorylated STAT3 Dissociates from Leptin Receptor	Complex1340	Complex1330	
BiochemicalReaction1061	Phosphorylated STAT3 Forms Dimer	Protein871	Complex1341	
BiochemicalReaction1062	Phosphorylated STAT3 Dimer Translocates to the Nucleus	Complex1341	Complex1342	
BiochemicalReaction1063	Phosphorylated LEP:LEPR:JAK2 Binds SH2B1	Protein940	Complex1343	
BiochemicalReaction1063	Phosphorylated LEP:LEPR:JAK2 Binds SH2B1	Complex1330	Complex1343	
BiochemicalReaction1064	Phosphorylated LEP:LEPR:JAK2:SH2B1 Binds IRS1/2	Complex1343	Complex1344	
BiochemicalReaction1064	Phosphorylated LEP:LEPR:JAK2:SH2B1 Binds IRS1/2	Protein651	Complex1344	
BiochemicalReaction1065	JAK2 Phosphorylates IRS in Response to Leptin	SmallMolecule2	Complex1345	
BiochemicalReaction1065	JAK2 Phosphorylates IRS in Response to Leptin	Complex1344	Complex1345	
BiochemicalReaction1065	JAK2 Phosphorylates IRS in Response to Leptin	Complex1344	SmallMolecule3	
BiochemicalReaction1065	JAK2 Phosphorylates IRS in Response to Leptin	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1066	Phosphorylated LEPR Binds SOCS3	Protein2965	Complex1329	
BiochemicalReaction1066	Phosphorylated LEPR Binds SOCS3	Complex1330	Complex1329	
BiochemicalReaction1067	Activation of Rap1 by cytosolic GEFs	Complex1346	Complex1347	
BiochemicalReaction1067	Activation of Rap1 by cytosolic GEFs	SmallMolecule17	Complex1347	
BiochemicalReaction1067	Activation of Rap1 by cytosolic GEFs	SmallMolecule17	SmallMolecule18	
BiochemicalReaction1067	Activation of Rap1 by cytosolic GEFs	Complex1346	SmallMolecule18	
BiochemicalReaction1068	Activation of Rap1 by membrane-associated GEFs	Complex1346	Complex1347	
BiochemicalReaction1068	Activation of Rap1 by membrane-associated GEFs	SmallMolecule17	Complex1347	
BiochemicalReaction1068	Activation of Rap1 by membrane-associated GEFs	SmallMolecule17	SmallMolecule18	
BiochemicalReaction1068	Activation of Rap1 by membrane-associated GEFs	Complex1346	SmallMolecule18	
BiochemicalReaction1069	Translocation of RIAM to plasma membrane	SmallMolecule4	Complex1348	
BiochemicalReaction1069	Translocation of RIAM to plasma membrane	Protein2974	Complex1348	
BiochemicalReaction1069	Translocation of RIAM to plasma membrane	Complex1347	Complex1348	
BiochemicalReaction107	CBL ubiquitinates Sprouty	Protein281	Complex166	
BiochemicalReaction107	CBL ubiquitinates Sprouty	Complex191	Complex166	
BiochemicalReaction1070	Activation of Talin	Protein2975	Complex1349	
BiochemicalReaction1070	Activation of Talin	Complex1348	Complex1349	
BiochemicalReaction1071	Integrin alphaIIb beta3 activation	Complex1349	Complex1353	
BiochemicalReaction1071	Integrin alphaIIb beta3 activation	Complex1350	Complex1353	
BiochemicalReaction1072	Interaction of integrin alphaIIb beta3 with Fibrinogen	PhysicalEntity66	Complex1355	
BiochemicalReaction1072	Interaction of integrin alphaIIb beta3 with Fibrinogen	Complex1353	Complex1355	
BiochemicalReaction1072	Interaction of integrin alphaIIb beta3 with Fibrinogen	SmallMolecule313	Complex1355	
BiochemicalReaction1073	Clustering of Integrin alphaIIb beta3 complexes	Complex1350	Complex1356	
BiochemicalReaction1073	Clustering of Integrin alphaIIb beta3 complexes	Complex1355	Complex1356	
BiochemicalReaction1074	Release of CSK from SRC	Complex1356	Protein2976	
BiochemicalReaction1074	Release of CSK from SRC	Complex1356	Complex1357	
BiochemicalReaction1075	Dephosphorylation of inactive SRC by PTPB1	SmallMolecule5	SmallMolecule21	
BiochemicalReaction1075	Dephosphorylation of inactive SRC by PTPB1	Complex1357	SmallMolecule21	
BiochemicalReaction1075	Dephosphorylation of inactive SRC by PTPB1	Complex1357	Complex1359	
BiochemicalReaction1075	Dephosphorylation of inactive SRC by PTPB1	SmallMolecule5	Complex1359	
BiochemicalReaction1076	Autophosphorylation of SRC	SmallMolecule2	Complex1361	
BiochemicalReaction1076	Autophosphorylation of SRC	Complex1359	Complex1361	
BiochemicalReaction1076	Autophosphorylation of SRC	Complex1359	SmallMolecule3	
BiochemicalReaction1076	Autophosphorylation of SRC	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1077	Translocation of FADK1 to Focal complexes	Protein2987	Complex1363	
BiochemicalReaction1077	Translocation of FADK1 to Focal complexes	Complex1361	Complex1363	
BiochemicalReaction1078	Autophosphorylation of FADK1 at Y397	SmallMolecule2	Complex1364	
BiochemicalReaction1078	Autophosphorylation of FADK1 at Y397	Complex1363	Complex1364	
BiochemicalReaction1078	Autophosphorylation of FADK1 at Y397	Complex1363	SmallMolecule3	
BiochemicalReaction1078	Autophosphorylation of FADK1 at Y397	SmallMolecule2	SmallMolecule3	
BiochemicalReaction1079	Phosphorylation of pFADK1 by SRC	SmallMolecule2	Complex1365	
BiochemicalReaction1079	Phosphorylation of pFADK1 by SRC	Complex1364	Complex1365	
BiochemicalReaction1079	Phosphorylation of pFADK1 by SRC	Complex1364	SmallMolecule3	
BiochemicalReaction1079	Phosphorylation of pFADK1 by SRC	SmallMolecule2	SmallMolecule3	
BiochemicalReaction108	CBL-mediated ubiquitination of CIN85	Protein281	Complex192	
BiochemicalReaction108	CBL-mediated ubiquitination of CIN85	Complex190	Complex192	
