Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein1	
Complex131	activated TLR3/TLR4:TRIF:RIP1:FADD	endosome membrane	Reactome DB_ID: 2562577	Protein258	
Complex131	activated TLR3/TLR4:TRIF:RIP1:FADD	endosome membrane	Reactome DB_ID: 2562577	Protein267	
Complex133	RIP3:TRIF:activated TLR3/4	endosome membrane	Reactome DB_ID: 2569054	Complex108	
Complex133	RIP3:TRIF:activated TLR3/4	endosome membrane	Reactome DB_ID: 2569054	Protein259	
Complex134	RIP3:RIP1:TRIF:activated TLR3/4	endosome membrane	Reactome DB_ID: 2569053	Protein259	
Complex134	RIP3:RIP1:TRIF:activated TLR3/4	endosome membrane	Reactome DB_ID: 2569053	Complex120	
Complex135	activated TLR4/TLR3:TRIF:TRAF6	endosome membrane	Reactome DB_ID: 936976	Protein47	
Complex135	activated TLR4/TLR3:TRIF:TRAF6	endosome membrane	Reactome DB_ID: 936976	Complex108	
Complex136	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6	endosome membrane	Reactome DB_ID: 936965	Protein86	
Complex136	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6	endosome membrane	Reactome DB_ID: 936965	Complex108	
Complex137	TAB1:TAB2/TAB3:TAK1	cytosol	Reactome DB_ID: 450277	Protein91	
Complex137	TAB1:TAB2/TAB3:TAK1	cytosol	Reactome DB_ID: 450277	Protein76	
Complex137	TAB1:TAB2/TAB3:TAK1	cytosol	Reactome DB_ID: 450277	Protein77	
Complex138	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:TAK1complex	endosome membrane	Reactome DB_ID: 936954	PhysicalEntity6	
Complex138	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:TAK1complex	endosome membrane	Reactome DB_ID: 936954	Complex137	
Complex138	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:TAK1complex	endosome membrane	Reactome DB_ID: 936954	Complex136	
Complex139	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:activated TAK1 complex	endosome membrane	Reactome DB_ID: 936946	Protein91	
Complex139	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:activated TAK1 complex	endosome membrane	Reactome DB_ID: 936946	PhysicalEntity6	
Complex139	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:activated TAK1 complex	endosome membrane	Reactome DB_ID: 936946	Complex136	
Complex139	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:activated TAK1 complex	endosome membrane	Reactome DB_ID: 936946	Protein77	
Complex139	activated TLR4/TLR3:TRIF:K63-pUb-TRAF6:free K63-linked pUb:activated TAK1 complex	endosome membrane	Reactome DB_ID: 936946	Protein81	
Complex14	FL-TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1679073	Protein17	
Complex141	C-ter TLR7 dimer	endosome membrane	Reactome DB_ID: 1679575	Protein272	
Complex142	TLR8 dimer	endosome membrane	Reactome DB_ID: 1679576	Protein273	
Complex143	TLR7 or TLR8:recognized ligand	endosome membrane	Reactome DB_ID: 188132	PhysicalEntity15	
Complex143	TLR7 or TLR8:recognized ligand	endosome membrane	Reactome DB_ID: 188132	Complex140	
Complex145	C-ter TLR9 dimer:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 1679087	PhysicalEntity17	
Complex145	C-ter TLR9 dimer:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 1679087	Complex146	
Complex146	C-ter-TLR9 dimer	endosome membrane	Reactome DB_ID: 1679581	Protein274	
Complex147	MyD88 complexed with the activated TLR receptor	endosome membrane	Reactome DB_ID: 975124	Complex148	
Complex147	MyD88 complexed with the activated TLR receptor	endosome membrane	Reactome DB_ID: 975124	Complex144	
Complex148	MYD88 homodimer	endosome membrane	Reactome DB_ID: 975152	Protein275	
Complex149	oligo-MyD88:activated TLR7-9	endosome membrane	Reactome DB_ID: 975114	Complex144	
Complex149	oligo-MyD88:activated TLR7-9	endosome membrane	Reactome DB_ID: 975114	Complex150	
Complex15	C-ter-TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1678956	Protein18	
Complex150	MyD88 oligomer	endosome membrane	Reactome DB_ID: 975141	Protein275	
Complex151	IRAK4:oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975183	Complex149	
Complex151	IRAK4:oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975183	Protein276	
Complex152	p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9 receptor	endosome membrane	Reactome DB_ID: 975159	Complex149	
Complex152	p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9 receptor	endosome membrane	Reactome DB_ID: 975159	Protein277	
Complex153	IRAK1/or IRAK2 :p-S,2T-IRAK4:oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975113	Complex152	
Complex153	IRAK1/or IRAK2 :p-S,2T-IRAK4:oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975113	Protein278	
Complex154	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR 7/8 or9	endosome membrane	Reactome DB_ID: 975146	Complex152	
Complex154	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR 7/8 or9	endosome membrane	Reactome DB_ID: 975146	Protein280	
Complex155	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR 7/8 or9	endosome membrane	Reactome DB_ID: 975133	Complex152	
Complex155	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR 7/8 or9	endosome membrane	Reactome DB_ID: 975133	Protein281	
Complex156	IRAK1:p-S,2T-IRAK4 :oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975132	Complex152	
Complex156	IRAK1:p-S,2T-IRAK4 :oligo-MyD88:activated TLR 7/8 or 9	endosome membrane	Reactome DB_ID: 975132	Protein279	
Complex157	p-IRAK1:p-IRAK4:oligo-MyD88:activated TLR7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975130	Complex152	
Complex157	p-IRAK1:p-IRAK4:oligo-MyD88:activated TLR7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975130	Protein282	
Complex158	pp-IRAK1:p-IRAK4:oligo-MyD88:activated TLR 7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975161	Complex152	
Complex158	pp-IRAK1:p-IRAK4:oligo-MyD88:activated TLR 7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975161	Protein283	
Complex159	p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975107	Complex152	
Complex159	p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975107	Protein284	
Complex16	C-ter TLR7 dimer	endolysosome membrane	Reactome DB_ID: 1678924	Protein19	
Complex160	hp-IRAK1 or p-IRAK2 bound to the pIRAK4:MyD88:activated TLR7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975178	Complex152	
Complex160	hp-IRAK1 or p-IRAK2 bound to the pIRAK4:MyD88:activated TLR7/8 or 9 complex	endosome membrane	Reactome DB_ID: 975178	Protein285	
Complex161	TRAF6:hp-IRAK1/or p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975182	Complex160	
Complex161	TRAF6:hp-IRAK1/or p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975182	Protein286	
Complex162	hp-IRAK1/or p-IRAK2 :TRAF6	endosome membrane	Reactome DB_ID: 975126	Protein286	
Complex162	hp-IRAK1/or p-IRAK2 :TRAF6	endosome membrane	Reactome DB_ID: 975126	Protein285	
Complex163	TRAF6:hp-IRAK1	endosome membrane	Reactome DB_ID: 975150	Protein286	
Complex163	TRAF6:hp-IRAK1	endosome membrane	Reactome DB_ID: 975150	Protein284	
Complex164	TRAF6:hp-IRAK1:Pellino	endosome membrane	Reactome DB_ID: 975143	Protein50	
Complex164	TRAF6:hp-IRAK1:Pellino	endosome membrane	Reactome DB_ID: 975143	Complex163	
Complex165	p-Pellino:hp-IRAK1:TRAF6	endosome membrane	Reactome DB_ID: 975166	Protein50	
Complex165	p-Pellino:hp-IRAK1:TRAF6	endosome membrane	Reactome DB_ID: 975166	Complex163	
Complex166	K63-linked poly-Ub-p-3S,3T-IRAK1:TRAF6	endosome membrane	Reactome DB_ID: 975172	Protein287	
Complex166	K63-linked poly-Ub-p-3S,3T-IRAK1:TRAF6	endosome membrane	Reactome DB_ID: 975172	Protein286	
Complex167	TRAF6:K63-linked polyUb p-IRAK1:IKK complex	endosome membrane	Reactome DB_ID: 975121	Complex45	
Complex167	TRAF6:K63-linked polyUb p-IRAK1:IKK complex	endosome membrane	Reactome DB_ID: 975121	Complex166	
Complex168	TRAF6:p-IRAK2	endosome membrane	Reactome DB_ID: 975108	Protein281	
Complex168	TRAF6:p-IRAK2	endosome membrane	Reactome DB_ID: 975108	Protein286	
Complex169	p-IRAK2:oligo-TRAF6	endosome membrane	Reactome DB_ID: 975137	Complex168	
Complex169	p-IRAK2:oligo-TRAF6	endosome membrane	Reactome DB_ID: 975137	Protein286	
Complex17	Cathepsin L1	endolysosome lumen	Reactome DB_ID: 1678983	Protein20	
Complex17	Cathepsin L1	endolysosome lumen	Reactome DB_ID: 1678983	Protein21	
Complex170	p-IRAK2:K63-linked pUb oligo-TRAF6	endosome membrane	Reactome DB_ID: 975164	Protein281	
Complex170	p-IRAK2:K63-linked pUb oligo-TRAF6	endosome membrane	Reactome DB_ID: 975164	Protein288	
Complex171	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	endosome membrane	Reactome DB_ID: 975099	Complex172	
Complex171	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	endosome membrane	Reactome DB_ID: 975099	PhysicalEntity6	
Complex171	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	endosome membrane	Reactome DB_ID: 975099	Complex170	
Complex172	TAK1 complex	endosome membrane	Reactome DB_ID: 975128	Protein289	
Complex172	TAK1 complex	endosome membrane	Reactome DB_ID: 975128	Protein292	
Complex172	TAK1 complex	endosome membrane	Reactome DB_ID: 975128	Protein293	
Complex173	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	endosome membrane	Reactome DB_ID: 975171	PhysicalEntity6	
Complex173	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	endosome membrane	Reactome DB_ID: 975171	Protein289	
Complex173	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	endosome membrane	Reactome DB_ID: 975171	Protein292	
Complex173	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	endosome membrane	Reactome DB_ID: 975171	Protein294	
Complex173	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	endosome membrane	Reactome DB_ID: 975171	Complex170	
Complex174	TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975148	Complex159	
Complex174	TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975148	Protein286	
Complex175	IRF7:TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975131	Protein295	
Complex175	IRF7:TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9	endosome membrane	Reactome DB_ID: 975131	Complex174	
Complex176	K63-linked poly-Ub-IRF7:TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9.	endosome membrane	Reactome DB_ID: 975174	Complex174	
Complex176	K63-linked poly-Ub-IRF7:TRAF6:p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR7/8 or 9.	endosome membrane	Reactome DB_ID: 975174	Protein296	
Complex177	DHX36:CpG:MyD88	cytosol	Reactome DB_ID: 3134859	Protein116	
Complex177	DHX36:CpG:MyD88	cytosol	Reactome DB_ID: 3134859	Complex178	
Complex178	DHX36:CpG	cytosol	Reactome DB_ID: 3134858	Protein297	
Complex178	DHX36:CpG	cytosol	Reactome DB_ID: 3134858	PhysicalEntity8	
Complex179	fl-TLR9:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 187884	PhysicalEntity17	
Complex179	fl-TLR9:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 187884	Protein298	
Complex18	N-ter TLR9 dimer	endolysosome membrane	Reactome DB_ID: 1679007	Protein26	
Complex180	N-ter TLR9 dimer	endosome membrane	Reactome DB_ID: 1679574	Protein299	
Complex181	N-ter TLR9 dimer:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 1679094	PhysicalEntity17	
Complex181	N-ter TLR9 dimer:unmethylated CpG DNA	endosome membrane	Reactome DB_ID: 1679094	Complex180	
Complex182	EEA1:EEA1	endosome membrane	Reactome DB_ID: 187897	Protein300	
Complex183	PI3K class III	cytosol	Reactome DB_ID: 188015	Protein301	
Complex183	PI3K class III	cytosol	Reactome DB_ID: 188015	Protein302	
Complex184	activated TLR9:PI3K class III	endosome membrane	Reactome DB_ID: 188017	Complex179	
Complex184	activated TLR9:PI3K class III	endosome membrane	Reactome DB_ID: 188017	Complex183	
Complex185	LBP:bacterial LPS	extracellular region	Reactome DB_ID: 166013	SmallMolecule23	
Complex185	LBP:bacterial LPS	extracellular region	Reactome DB_ID: 166013	Protein304	
Complex186	LPS:GPI-anchored CD14	plasma membrane	Reactome DB_ID: 166034	SmallMolecule23	
Complex186	LPS:GPI-anchored CD14	plasma membrane	Reactome DB_ID: 166034	Protein305	
Complex187	LPS:secreted CD14	extracellular region	Reactome DB_ID: 166026	SmallMolecule23	
Complex187	LPS:secreted CD14	extracellular region	Reactome DB_ID: 166026	Protein306	
Complex189	TLR4:MD2	plasma membrane	Reactome DB_ID: 166050	Protein307	
Complex189	TLR4:MD2	plasma membrane	Reactome DB_ID: 166050	Protein308	
Complex19	TLR10 homodimer bound to ligand	plasma membrane	Reactome DB_ID: 188116	PhysicalEntity5	
Complex19	TLR10 homodimer bound to ligand	plasma membrane	Reactome DB_ID: 188116	Complex20	
Complex190	TLR4:MD2:LPS:CD14	plasma membrane	Reactome DB_ID: 166850	SmallMolecule23	
Complex190	TLR4:MD2:LPS:CD14	plasma membrane	Reactome DB_ID: 166850	Protein309	
Complex190	TLR4:MD2:LPS:CD14	plasma membrane	Reactome DB_ID: 166850	Complex189	
Complex191	RP105:MD1	plasma membrane	Reactome DB_ID: 166154	Protein310	
Complex191	RP105:MD1	plasma membrane	Reactome DB_ID: 166154	Protein311	
Complex192	Integrin MAC-1	plasma membrane	Reactome DB_ID: 202755	Protein312	
Complex192	Integrin MAC-1	plasma membrane	Reactome DB_ID: 202755	Protein313	
Complex193	LPS:CD14:CR3	plasma membrane	Reactome DB_ID: 2559438	Complex192	
Complex193	LPS:CD14:CR3	plasma membrane	Reactome DB_ID: 2559438	Complex186	
Complex194	MAL:PI(4,5)P2	plasma membrane	Reactome DB_ID: 2559415	SmallMolecule24	
Complex194	MAL:PI(4,5)P2	plasma membrane	Reactome DB_ID: 2559415	Protein314	
Complex196	TLR1:TLR2:TLR1/2 ligand:CD14	plasma membrane	Reactome DB_ID: 181226	Complex197	
Complex196	TLR1:TLR2:TLR1/2 ligand:CD14	plasma membrane	Reactome DB_ID: 181226	Complex198	
Complex197	TLR1:TLR2	plasma membrane	Reactome DB_ID: 168946	Protein321	
Complex197	TLR1:TLR2	plasma membrane	Reactome DB_ID: 168946	Protein322	
Complex198	TLR1:TLR2 ligand:CD14	plasma membrane	Reactome DB_ID: 2559462	Protein305	
Complex198	TLR1:TLR2 ligand:CD14	plasma membrane	Reactome DB_ID: 2559462	PhysicalEntity18	
Complex199	PorB Homotrimer	extracellular region	Reactome DB_ID: 180817	Protein323	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein1	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	SmallMolecule1	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein2	
Complex2	ATP-bound Gp96 dimer:CNPY3:TLR7/8/9	endoplasmic reticulum membrane	Reactome DB_ID: 1679076	Protein6	
Complex20	TLR10 homodimer	plasma membrane	Reactome DB_ID: 188112	Protein29	
Complex200	TLR6:TLR2:ligand:CD14:CD36	plasma membrane	Reactome DB_ID: 181410	Complex201	
Complex200	TLR6:TLR2:ligand:CD14:CD36	plasma membrane	Reactome DB_ID: 181410	Complex202	
Complex201	TLR6/2 ligand:CD14:CD36	plasma membrane	Reactome DB_ID: 2559461	SmallMolecule26	
Complex201	TLR6/2 ligand:CD14:CD36	plasma membrane	Reactome DB_ID: 2559461	Protein305	
Complex201	TLR6/2 ligand:CD14:CD36	plasma membrane	Reactome DB_ID: 2559461	Protein324	
Complex202	TLR6:TLR2	plasma membrane	Reactome DB_ID: 168949	Protein325	
Complex202	TLR6:TLR2	plasma membrane	Reactome DB_ID: 168949	Protein321	
Complex203	MAL:activated TLR2/4	plasma membrane	Reactome DB_ID: 2559411	Complex195	
Complex203	MAL:activated TLR2/4	plasma membrane	Reactome DB_ID: 2559411	Complex194	
Complex204	MAL:BTK:activated TLR2/4	plasma membrane	Reactome DB_ID: 2201331	Protein326	
Complex204	MAL:BTK:activated TLR2/4	plasma membrane	Reactome DB_ID: 2201331	Complex195	
Complex204	MAL:BTK:activated TLR2/4	plasma membrane	Reactome DB_ID: 2201331	Complex194	
Complex205	activated TLR2/4:p-4Y-MAL:BTK	plasma membrane	Reactome DB_ID: 2201325	Protein326	
Complex205	activated TLR2/4:p-4Y-MAL:BTK	plasma membrane	Reactome DB_ID: 2201325	Protein327	
Complex205	activated TLR2/4:p-4Y-MAL:BTK	plasma membrane	Reactome DB_ID: 2201325	Complex195	
Complex206	MyD88:Mal complexed with the activated TLR	plasma membrane	Reactome DB_ID: 166062	Complex24	
Complex206	MyD88:Mal complexed with the activated TLR	plasma membrane	Reactome DB_ID: 166062	Complex205	
Complex207	oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937033	Complex26	
Complex207	oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937033	Complex205	
Complex208	IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166080	Complex207	
Complex208	IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166080	Protein35	
Complex209	p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR receptor	plasma membrane	Reactome DB_ID: 937048	Protein36	
Complex209	p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR receptor	plasma membrane	Reactome DB_ID: 937048	Complex207	
Complex210	IRAK1/or IRAK2:p-IRAK4:MyD88 oligomer:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166100	Complex209	
Complex210	IRAK1/or IRAK2:p-IRAK4:MyD88 oligomer:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166100	Protein40	
Complex211	IRAK2:p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937028	Complex209	
Complex211	IRAK2:p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937028	Protein42	
Complex212	p-IRAK2:p-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937055	Complex209	
Complex212	p-IRAK2:p-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937055	Protein43	
Complex213	IRAK1:p-S,2T-IRAK4 :oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937018	Complex209	
Complex213	IRAK1:p-S,2T-IRAK4 :oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 937018	Protein41	
Complex214	p-IRAK1:p-IRAK4:oligo-MyD88:Mal:activated TLR 	plasma membrane	Reactome DB_ID: 166118	Protein44	
Complex214	p-IRAK1:p-IRAK4:oligo-MyD88:Mal:activated TLR 	plasma membrane	Reactome DB_ID: 166118	Complex209	
Complex215	pp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 166281	Protein45	
Complex215	pp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 166281	Complex208	
Complex216	p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166360	Complex209	
