Complex1	Pre-TGFB1 complex	Golgi lumen	Reactome DB_ID: 171260	Protein1	
Complex28	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein18	
Complex28	SMAD7:NEDD4L	cytosol	Reactome DB_ID: 2176419	Protein34	
Complex29	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein18	
Complex29	SMAD7:SMURF/NEDD4L	cytosol	Reactome DB_ID: 2169026	Protein35	
Complex3	Dimeric TGFB1	extracellular region	Reactome DB_ID: 170852	Protein5	
Complex30	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex9	
Complex30	TGFB1:TGFBR2:p-TGFBR1:SMAD7:SMURF/NEDD4L	plasma membrane	Reactome DB_ID: 2169025	Complex29	
Complex31	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Protein36	
Complex31	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2169047	Complex15	
Complex32	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Protein51	
Complex32	TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15	plasma membrane	Reactome DB_ID: 2179287	Complex31	
Complex33	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Protein36	
Complex33	TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7	plasma membrane	Reactome DB_ID: 2179328	Complex15	
Complex34	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein28	
Complex34	SMAD2:SMURF2	cytosol	Reactome DB_ID: 2176457	Protein11	
Complex35	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein36	
Complex35	Ub-SMAD2	cytosol	Reactome DB_ID: 2176443	Protein11	
Complex36	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein54	
Complex36	SMAD3:STUB1	cytosol	Reactome DB_ID: 2187365	Protein12	
Complex37	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein36	
Complex37	Ub-SMAD3	cytosol	Reactome DB_ID: 2187371	Protein12	
Complex38	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein14	
Complex38	p-2S-SMAD2/3:PMEPA1	early endosome membrane	Reactome DB_ID: 2187343	Protein55	
Complex39	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein10	
Complex39	SMAD2/3:PMEPA1	plasma membrane	Reactome DB_ID: 2187341	Protein56	
Complex4	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex3	
Complex4	Dimeric TGFB1:TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170865	Complex5	
Complex40	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein14	
Complex40	p-2S-SMAD2/3:MTMR4	early endosome membrane	Reactome DB_ID: 2187399	Protein57	
Complex41	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein58	
Complex41	TGFBR2:CBL	plasma membrane	Reactome DB_ID: 4332229	Protein6	
Complex42	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein59	
Complex42	NEDD8:UBE2M	cytosol	Reactome DB_ID: 4419896	Protein60	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein61	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein62	
Complex43	Neddylated TGFBR2	plasma membrane	Reactome DB_ID: 4419904	Protein63	
Complex5	TGFBR2 homodimer	plasma membrane	Reactome DB_ID: 170866	Protein6	
Complex6	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein7	
Complex6	TGFBR1:FKBP1A	plasma membrane	Reactome DB_ID: 2187279	Protein8	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex3	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex8	
Complex7	TGFB1:TGFBR2:TGFBR1	plasma membrane	Reactome DB_ID: 170840	Complex5	
Complex8	TGFBR1 homodimer	plasma membrane	Reactome DB_ID: 170864	Protein7	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex3	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex10	
Complex9	TGFB1:TGFBR2:p-TGFBR1	plasma membrane	Reactome DB_ID: 170841	Complex5	
