Complex1	pro-beta-NGF homodimer	endoplasmic reticulum lumen	Reactome DB_ID: 166554	Protein2	
Complex122	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Protein228	
Complex123	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein229	
Complex123	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Complex69	
Complex123	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein226	
Complex123	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein228	
Complex124	Rap1-GDP	endosome	Reactome DB_ID: 190077	SmallMolecule18	
Complex124	Rap1-GDP	endosome	Reactome DB_ID: 190077	Protein230	
Complex125	Rap1-GTP	endosome	Reactome DB_ID: 190069	SmallMolecule19	
Complex125	Rap1-GTP	endosome	Reactome DB_ID: 190069	Protein230	
Complex126	B-Raf complex	endosome	Reactome DB_ID: 190075	Protein231	
Complex126	B-Raf complex	endosome	Reactome DB_ID: 190075	Protein232	
Complex126	B-Raf complex	endosome	Reactome DB_ID: 190075	SmallMolecule20	
Complex127	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	Complex126	
Complex127	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	SmallMolecule19	
Complex127	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	Protein230	
Complex128	ARMS:Crk	cytosol	Reactome DB_ID: 169872	Protein233	
Complex128	ARMS:Crk	cytosol	Reactome DB_ID: 169872	Protein234	
Complex129	Active TrkA receptor:ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169871	Complex128	
Complex129	Active TrkA receptor:ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169871	Complex68	
Complex13	RAC1:GTP	plasma membrane	Reactome DB_ID: 217289	SmallMolecule6	
Complex13	RAC1:GTP	plasma membrane	Reactome DB_ID: 217289	Protein17	
Complex130	Active TrkA receptor:Phospho-ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169865	Complex131	
Complex130	Active TrkA receptor:Phospho-ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169865	Complex68	
Complex131	Phospho-ARMS:Crk	cytosol	Reactome DB_ID: 169854	Protein234	
Complex131	Phospho-ARMS:Crk	cytosol	Reactome DB_ID: 169854	Protein235	
Complex132	Active TrkA receptor:Phospho-ARMS:Crk:C3G complex	plasma membrane	Reactome DB_ID: 169857	Complex131	
Complex132	Active TrkA receptor:Phospho-ARMS:Crk:C3G complex	plasma membrane	Reactome DB_ID: 169857	Complex68	
Complex133	Rap1-GDP	cytosol	Reactome DB_ID: 169860	SmallMolecule7	
Complex133	Rap1-GDP	cytosol	Reactome DB_ID: 169860	Protein236	
Complex134	Rap1-GTP	cytosol	Reactome DB_ID: 169866	SmallMolecule4	
Complex134	Rap1-GTP	cytosol	Reactome DB_ID: 169866	Protein236	
Complex135	B-Raf complex	cytosol	Reactome DB_ID: 170966	Protein224	
Complex135	B-Raf complex	cytosol	Reactome DB_ID: 170966	Protein174	
Complex135	B-Raf complex	cytosol	Reactome DB_ID: 170966	SmallMolecule15	
Complex136	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1-GTP complex	plasma membrane	Reactome DB_ID: 169874	Complex134	
Complex136	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1-GTP complex	plasma membrane	Reactome DB_ID: 169874	Complex132	
Complex137	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex138	
Complex137	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex134	
Complex137	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex132	
Complex138	Phospho-B-Raf	cytosol	Reactome DB_ID: 169877	Protein237	
Complex138	Phospho-B-Raf	cytosol	Reactome DB_ID: 169877	SmallMolecule15	
Complex139	Active TrkA receptor:Phospho-PLCG1 complex	plasma membrane	Reactome DB_ID: 167681	Protein238	
Complex139	Active TrkA receptor:Phospho-PLCG1 complex	plasma membrane	Reactome DB_ID: 167681	Complex68	
Complex14	NGF ligand:p75NTR:NRIF	plasma membrane	Reactome DB_ID: 205100	Complex9	
Complex14	NGF ligand:p75NTR:NRIF	plasma membrane	Reactome DB_ID: 205100	Protein61	
Complex140	IP3 receptor homotetramer	endoplasmic reticulum membrane	Reactome DB_ID: 169686	Protein245	
Complex141	IP3 receptor:IP3 complex	endoplasmic reticulum membrane	Reactome DB_ID: 169696	SmallMolecule22	
Complex141	IP3 receptor:IP3 complex	endoplasmic reticulum membrane	Reactome DB_ID: 169696	Complex140	
Complex142	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	SmallMolecule25	
Complex142	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	Protein249	
Complex143	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	Protein250	
Complex143	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	SmallMolecule8	
Complex144	active Calmodulin	cytosol	Reactome DB_ID: 194447	SmallMolecule25	
Complex144	active Calmodulin	cytosol	Reactome DB_ID: 194447	Protein249	
Complex145	PKA tetramer	cytosol	Reactome DB_ID: 111922	Protein260	
Complex145	PKA tetramer	cytosol	Reactome DB_ID: 111922	Protein265	
Complex146	cAMP:PKA regulatory subunit	cytosol	Reactome DB_ID: 111923	Protein260	
Complex146	cAMP:PKA regulatory subunit	cytosol	Reactome DB_ID: 111923	SmallMolecule26	
Complex147	phospho-CREB dimer	nucleoplasm	Reactome DB_ID: 111911	Protein274	
Complex147	phospho-CREB dimer	nucleoplasm	Reactome DB_ID: 111911	PhysicalEntity6	
Complex148	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Protein275	
Complex148	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Complex142	
Complex149	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Complex150	
Complex149	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Protein277	
Complex15	TRAF6 homotrimer	cytosol	Reactome DB_ID: 421373	Protein62	
Complex150	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	SmallMolecule30	
Complex150	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	Protein276	
Complex151	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Protein278	
Complex151	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Complex152	
Complex152	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	SmallMolecule30	
Complex152	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	Protein276	
Complex154	Cam-PDE 1A homodimer	cytosol	Reactome DB_ID: 111974	Protein279	
Complex155	Cam-PDE 1B homodimer	cytosol	Reactome DB_ID: 111975	Protein280	
Complex156	Cam-PDE 1C homodimer	cytosol	Reactome DB_ID: 111976	Protein281	
Complex157	active Cam-PDE 1	cytosol	Reactome DB_ID: 111953	Complex153	
Complex158	GRK2:calmodulin	plasma membrane	Reactome DB_ID: 111965	Protein282	
Complex158	GRK2:calmodulin	plasma membrane	Reactome DB_ID: 111965	Protein249	
Complex159	active PKC (alpha, gamma, delta)	cytosol	Reactome DB_ID: 112002	Protein284	
Complex159	active PKC (alpha, gamma, delta)	cytosol	Reactome DB_ID: 112002	SmallMolecule25	
Complex16	NGF ligand:p75NTR:NRIF:TRAF6	plasma membrane	Reactome DB_ID: 204977	Complex15	
Complex16	NGF ligand:p75NTR:NRIF:TRAF6	plasma membrane	Reactome DB_ID: 204977	Complex9	
Complex16	NGF ligand:p75NTR:NRIF:TRAF6	plasma membrane	Reactome DB_ID: 204977	Protein61	
Complex160	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Protein149	
Complex160	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Complex66	
Complex160	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Protein287	
Complex161	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Protein149	
Complex161	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Protein290	
Complex161	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Complex66	
Complex162	PI3K	cytosol	Reactome DB_ID: 74693	Protein293	
Complex162	PI3K	cytosol	Reactome DB_ID: 74693	Protein296	
Complex163	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Protein149	
Complex163	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Protein290	
Complex163	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Complex66	
Complex163	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 213135	Complex162	
Complex164	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Complex162	
Complex164	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Protein299	
Complex165	PIP3:RhoA	plasma membrane	Reactome DB_ID: 202676	Protein133	
Complex165	PIP3:RhoA	plasma membrane	Reactome DB_ID: 202676	SmallMolecule33	
Complex167	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Complex168	
Complex167	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Protein294	
Complex168	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex169	
Complex168	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1268238	Complex170	
Complex169	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein302	
Complex169	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein297	
Complex169	GRB2:GAB1:PIK3R1	cytosol	Reactome DB_ID: 179864	Protein169	
Complex17	gamma-secretase complex	plasma membrane	Reactome DB_ID: 157343	Protein63	
Complex17	gamma-secretase complex	plasma membrane	Reactome DB_ID: 157343	Protein66	
Complex17	gamma-secretase complex	plasma membrane	Reactome DB_ID: 157343	Complex18	
Complex17	gamma-secretase complex	plasma membrane	Reactome DB_ID: 157343	Protein68	
Complex170	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	PhysicalEntity7	
Complex170	Activated FGFR:p-FRS2alpha	plasma membrane	Reactome DB_ID: 190350	Protein338	
Complex171	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	Protein303	
Complex171	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	SmallMolecule34	
Complex171	Activated FGFR1b homodimer	plasma membrane	Reactome DB_ID: 190430	PhysicalEntity8	
Complex172	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein309	
Complex172	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	SmallMolecule34	
Complex172	Activated FGFR1c homodimer 	plasma membrane	Reactome DB_ID: 190425	Protein318	
Complex173	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	SmallMolecule34	
Complex173	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Complex174	
Complex173	Activated FGFR1c bound to FGF23:Klotho	plasma membrane	Reactome DB_ID: 500333	Protein318	
Complex174	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Protein317	
Complex174	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Complex175	
Complex175	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex176	
Complex177	Membrane-bound Klotho homodimer	plasma membrane	Reactome DB_ID: 190204	Protein319	
Complex178	Secreted Klotho homodimer	extracellular region	Reactome DB_ID: 190203	Protein320	
Complex18	PSEN2 dimer	plasma membrane	Reactome DB_ID: 157352	Protein67	
Complex180	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein321	
Complex180	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	SmallMolecule34	
Complex180	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein323	
Complex181	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein321	
Complex181	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	SmallMolecule34	
Complex181	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein324	
Complex183	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein325	
Complex183	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	SmallMolecule34	
Complex183	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein326	
Complex184	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein329	
Complex184	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	SmallMolecule34	
Complex184	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein326	
Complex185	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein330	
Complex185	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein331	
Complex185	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	SmallMolecule34	
Complex186	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein332	
Complex186	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	SmallMolecule34	
Complex186	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein333	
Complex187	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein334	
Complex187	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	SmallMolecule34	
Complex187	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein336	
Complex188	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein337	
Complex188	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein335	
Complex188	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein336	
Complex189	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Complex190	
Complex189	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Protein294	
Complex19	K63 linked polyubiquitin chain	cytosol	Reactome DB_ID: 204940	Protein69	
Complex190	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex191	
Complex190	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex169	
Complex191	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Protein190	
Complex191	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Complex170	
Complex192	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex193	
Complex192	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex194	
Complex193	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein294	
Complex193	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein339	
Complex194	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Protein341	
Complex194	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Complex195	
Complex195	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein342	
Complex196	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex193	
Complex196	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex197	
Complex197	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity9	
Complex197	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex199	
Complex197	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein346	
Complex198	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein343	
Complex199	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein345	
Complex2	pro-beta-NGF homodimer	Golgi lumen	Reactome DB_ID: 187028	Protein3	
Complex20	Ubiquitinated NRIF	cytosol	Reactome DB_ID: 204965	Protein61	
Complex20	Ubiquitinated NRIF	cytosol	Reactome DB_ID: 204965	Complex19	
Complex200	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex201	
Complex200	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex162	
Complex200	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex205	
Complex202	Phospho-alpha receptor homodimer	plasma membrane	Reactome DB_ID: 186816	Protein349	
Complex203	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein350	
Complex203	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein349	
Complex204	Phospho-beta receptor homodimer	plasma membrane	Reactome DB_ID: 186805	Protein350	
Complex206	PDGF A homodimer	extracellular region	Reactome DB_ID: 380761	Protein351	
Complex207	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein354	
Complex208	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein355	
Complex208	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein353	
Complex209	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Complex162	
Complex209	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Protein357	
Complex21	Ubiquitinated NRIF:Sequestosome	cytosol	Reactome DB_ID: 205035	Protein61	
Complex21	Ubiquitinated NRIF:Sequestosome	cytosol	Reactome DB_ID: 205035	Protein84	
Complex21	Ubiquitinated NRIF:Sequestosome	cytosol	Reactome DB_ID: 205035	Complex19	
Complex210	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Protein294	
Complex210	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Complex211	
Complex211	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Protein358	
Complex211	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Complex212	
Complex212	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex213	
Complex212	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex217	
Complex214	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Protein359	
Complex214	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Complex215	
Complex215	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein360	
Complex215	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein361	
Complex216	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Protein362	
Complex216	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Complex215	
Complex217	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein302	
Complex217	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein169	
Complex218	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Protein294	
Complex218	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Complex219	
Complex219	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Protein358	
Complex219	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Complex220	
Complex22	Ubiquitinated NRIF:Sequestosome	nucleoplasm	Reactome DB_ID: 210946	Protein85	
Complex22	Ubiquitinated NRIF:Sequestosome	nucleoplasm	Reactome DB_ID: 210946	Complex23	
Complex22	Ubiquitinated NRIF:Sequestosome	nucleoplasm	Reactome DB_ID: 210946	Protein101	
Complex221	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Complex222	
Complex221	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Protein368	
Complex222	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	Protein363	
Complex222	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	PhysicalEntity10	
Complex223	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Complex222	
Complex223	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Protein369	
Complex224	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Protein294	
Complex224	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Complex225	
Complex225	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Complex226	
Complex225	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Protein358	
Complex227	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Protein359	
Complex227	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Complex228	
Complex228	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	Protein370	
