Complex10	NOD1:iE-DAP oligomer	cytosol	Reactome DB_ID: 622306	Complex11	
Complex30	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein78	
Complex30	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein79	
Complex31	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex29	
Complex31	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex32	
Complex32	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein78	
Complex32	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein80	
Complex33	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein81	
Complex33	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein82	
Complex34	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein81	
Complex34	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein83	
Complex35	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein83	
Complex36	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein84	
Complex38	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein109	
Complex38	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein112	
Complex38	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein113	
Complex39	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein127	
Complex39	p-2S-cJUN:p-2T-ATF2	nucleoplasm	Reactome DB_ID: 450262	Protein129	
Complex4	hp-IRAK1:K6 poly-Ub oligo-TRAF6	cytosol	Reactome DB_ID: 450144	Complex5	
Complex4	hp-IRAK1:K6 poly-Ub oligo-TRAF6	cytosol	Reactome DB_ID: 450144	Protein13	
Complex40	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein129	
Complex40	p-2S-cJUN:p-2S,2T-cFOS	nucleoplasm	Reactome DB_ID: 450327	Protein131	
Complex5	hp-IRAK1:K6-polyUb TRAF6	cytosol	Reactome DB_ID: 450147	Protein12	
Complex5	hp-IRAK1:K6-polyUb TRAF6	cytosol	Reactome DB_ID: 450147	Protein13	
Complex6	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO:activated TAK1 complex	cytosol	Reactome DB_ID: 706477	Complex3	
Complex6	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO:activated TAK1 complex	cytosol	Reactome DB_ID: 706477	Complex7	
Complex7	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	Complex8	
Complex7	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	PhysicalEntity1	
Complex7	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	Protein17	
Complex8	PAMP:NOD oligomer:K63-Ub-RIP2	cytosol	Reactome DB_ID: 706482	Complex9	
Complex8	PAMP:NOD oligomer:K63-Ub-RIP2	cytosol	Reactome DB_ID: 706482	Protein16	
