Complex1	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein1	
Complex115	GINS complex	nucleoplasm	Reactome DB_ID: 176952	PhysicalEntity16	
Complex115	GINS complex	nucleoplasm	Reactome DB_ID: 176952	Protein326	
Complex116	Unwinding complex at replication fork	nucleoplasm	Reactome DB_ID: 176949	PhysicalEntity14	
Complex116	Unwinding complex at replication fork	nucleoplasm	Reactome DB_ID: 176949	Complex28	
Complex116	Unwinding complex at replication fork	nucleoplasm	Reactome DB_ID: 176949	Protein128	
Complex116	Unwinding complex at replication fork	nucleoplasm	Reactome DB_ID: 176949	Complex115	
Complex117	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein101	
Complex117	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein103	
Complex117	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein104	
Complex117	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein327	
Complex117	RFC Heteropentamer	nucleoplasm	Reactome DB_ID: 68436	Protein105	
Complex118	RFC Heteropentamer:RNA primer-DNA primer:origin duplex	nucleoplasm	Reactome DB_ID: 68437	Complex94	
Complex118	RFC Heteropentamer:RNA primer-DNA primer:origin duplex	nucleoplasm	Reactome DB_ID: 68437	Complex117	
Complex119	PCNA homotrimer	nucleoplasm	Reactome DB_ID: 68440	Protein168	
Complex12	CCNB1:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170073	Protein89	
Complex12	CCNB1:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170073	Protein90	
Complex120	RFC Heteropentamer:RNA primer-DNA primer:origin duplex:PCNA homotrimer	nucleoplasm	Reactome DB_ID: 68471	Complex119	
Complex120	RFC Heteropentamer:RNA primer-DNA primer:origin duplex:PCNA homotrimer	nucleoplasm	Reactome DB_ID: 68471	Complex118	
Complex121	RNA primer-DNA primer:origin duplex:PCNA 	nucleoplasm	Reactome DB_ID: 68441	Complex119	
Complex121	RNA primer-DNA primer:origin duplex:PCNA 	nucleoplasm	Reactome DB_ID: 68441	Complex94	
Complex122	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein328	
Complex122	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein329	
Complex122	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein330	
Complex122	DNA Polymerase delta tetramer	nucleoplasm	Reactome DB_ID: 68450	Protein331	
Complex123	Processive complex	nucleoplasm	Reactome DB_ID: 68451	Complex122	
Complex123	Processive complex	nucleoplasm	Reactome DB_ID: 68451	Complex121	
Complex124	Processive complex:Okazaki fragment complex	nucleoplasm	Reactome DB_ID: 68453	PhysicalEntity17	
Complex124	Processive complex:Okazaki fragment complex	nucleoplasm	Reactome DB_ID: 68453	Complex123	
Complex125	Processive complex:Okazaki fragment:Flap	nucleoplasm	Reactome DB_ID: 68455	Complex124	
Complex125	Processive complex:Okazaki fragment:Flap	nucleoplasm	Reactome DB_ID: 68455	PhysicalEntity18	
Complex126	Processive complex:Okazaki fragment:Flap:RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68463	Complex125	
Complex126	Processive complex:Okazaki fragment:Flap:RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68463	Complex16	
Complex127	Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	nucleoplasm	Reactome DB_ID: 68466	Complex126	
Complex127	Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	nucleoplasm	Reactome DB_ID: 68466	Protein332	
Complex128	Processive complex:Okazaki fragments:Remaining Flap	nucleoplasm	Reactome DB_ID: 68468	PhysicalEntity17	
Complex128	Processive complex:Okazaki fragments:Remaining Flap	nucleoplasm	Reactome DB_ID: 68468	Complex123	
Complex128	Processive complex:Okazaki fragments:Remaining Flap	nucleoplasm	Reactome DB_ID: 68468	PhysicalEntity19	
Complex129	Processive complex:nicked DNA from adjacent Okazaki fragments	nucleoplasm	Reactome DB_ID: 68470	PhysicalEntity20	
Complex129	Processive complex:nicked DNA from adjacent Okazaki fragments	nucleoplasm	Reactome DB_ID: 68470	Complex123	
Complex13	CCNB1:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170065	Protein91	
Complex13	CCNB1:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170065	Protein90	
Complex130	Cyclin D1:Cdk4	nucleoplasm	Reactome DB_ID: 113844	Protein192	
Complex130	Cyclin D1:Cdk4	nucleoplasm	Reactome DB_ID: 113844	Protein196	
Complex131	phospho(T286)-Cyclin D1:Cdk4	nucleoplasm	Reactome DB_ID: 75812	Protein335	
Complex131	phospho(T286)-Cyclin D1:Cdk4	nucleoplasm	Reactome DB_ID: 75812	Protein196	
Complex132	phospho(T286)-Cyclin D1:Cdk4	cytosol	Reactome DB_ID: 75814	Protein176	
Complex132	phospho(T286)-Cyclin D1:Cdk4	cytosol	Reactome DB_ID: 75814	Protein336	
Complex133	multi-ubiquitinated phospho-(T286) Cyclin D1	cytosol	Reactome DB_ID: 177997	Protein9	
Complex133	multi-ubiquitinated phospho-(T286) Cyclin D1	cytosol	Reactome DB_ID: 177997	Protein336	
Complex134	Cohesin:PDS5:WAPAL:Chromosomal Arm	nucleoplasm	Reactome DB_ID: 2545179	PhysicalEntity23	
Complex134	Cohesin:PDS5:WAPAL:Chromosomal Arm	nucleoplasm	Reactome DB_ID: 2545179	Complex135	
Complex135	Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468042	Complex136	
Complex135	Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468042	Protein342	
Complex135	Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468042	Protein343	
Complex136	Cohesin Complex	nucleoplasm	Reactome DB_ID: 1641505	Protein337	
Complex136	Cohesin Complex	nucleoplasm	Reactome DB_ID: 1641505	Protein338	
Complex136	Cohesin Complex	nucleoplasm	Reactome DB_ID: 1641505	Protein339	
Complex136	Cohesin Complex	nucleoplasm	Reactome DB_ID: 1641505	Protein340	
Complex136	Cohesin Complex	nucleoplasm	Reactome DB_ID: 1641505	Protein341	
Complex137	Ac-Cohesin:PDS5:WAPAL:Chromosomal Arm	nucleoplasm	Reactome DB_ID: 2473153	PhysicalEntity23	
Complex137	Ac-Cohesin:PDS5:WAPAL:Chromosomal Arm	nucleoplasm	Reactome DB_ID: 2473153	Complex138	
Complex138	Ac-Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468047	Complex139	
Complex138	Ac-Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468047	Protein342	
Complex138	Ac-Cohesin:PDS5:WAPAL	nucleoplasm	Reactome DB_ID: 2468047	Protein343	
Complex139	Ac-Cohesin Complex	nucleoplasm	Reactome DB_ID: 2468048	Protein337	
Complex139	Ac-Cohesin Complex	nucleoplasm	Reactome DB_ID: 2468048	Protein346	
Complex139	Ac-Cohesin Complex	nucleoplasm	Reactome DB_ID: 2468048	Protein338	
Complex139	Ac-Cohesin Complex	nucleoplasm	Reactome DB_ID: 2468048	Protein339	
Complex139	Ac-Cohesin Complex	nucleoplasm	Reactome DB_ID: 2468048	Protein340	
Complex14	CCNB:CDK1	cytosol	Reactome DB_ID: 170077	Protein92	
Complex14	CCNB:CDK1	cytosol	Reactome DB_ID: 170077	Protein93	
Complex140	Cohesin:PDS5:WAPAL:Centromere	nucleoplasm	Reactome DB_ID: 2545177	PhysicalEntity24	
Complex140	Cohesin:PDS5:WAPAL:Centromere	nucleoplasm	Reactome DB_ID: 2545177	Complex135	
Complex141	Ac-Cohesin:PDS5:WAPAL:Centromere	nucleoplasm	Reactome DB_ID: 2473149	PhysicalEntity24	
Complex141	Ac-Cohesin:PDS5:WAPAL:Centromere	nucleoplasm	Reactome DB_ID: 2473149	Complex138	
Complex142	Sister Chromosomal Arms:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 1638802	Complex143	
Complex142	Sister Chromosomal Arms:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 1638802	PhysicalEntity23	
Complex143	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 2468165	Protein351	
Complex143	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 2468165	Complex144	
Complex143	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 2468165	Protein357	
Complex143	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome	Reactome DB_ID: 2468165	Protein358	
Complex144	Ac-Cohesin Complex	chromosome	Reactome DB_ID: 1638788	Protein352	
Complex144	Ac-Cohesin Complex	chromosome	Reactome DB_ID: 1638788	Protein353	
Complex144	Ac-Cohesin Complex	chromosome	Reactome DB_ID: 1638788	Protein354	
Complex144	Ac-Cohesin Complex	chromosome	Reactome DB_ID: 1638788	Protein355	
Complex144	Ac-Cohesin Complex	chromosome	Reactome DB_ID: 1638788	Protein356	
Complex145	Sister Centromeres:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 1638799	PhysicalEntity24	
Complex145	Sister Centromeres:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 1638799	Complex146	
Complex146	Centromere:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2473148	PhysicalEntity24	
Complex146	Centromere:Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2473148	Complex147	
Complex147	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2574847	Protein361	
Complex147	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2574847	Protein362	
Complex147	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2574847	Protein363	
Complex147	Ac-Cohesin:PDS5:CDCA5:WAPAL	chromosome, centromeric region	Reactome DB_ID: 2574847	Complex148	
Complex148	Ac-Cohesin Complex	chromosome, centromeric region	Reactome DB_ID: 2466014	Protein366	
Complex148	Ac-Cohesin Complex	chromosome, centromeric region	Reactome DB_ID: 2466014	Protein367	
Complex148	Ac-Cohesin Complex	chromosome, centromeric region	Reactome DB_ID: 2466014	Protein368	
Complex148	Ac-Cohesin Complex	chromosome, centromeric region	Reactome DB_ID: 2466014	Protein369	
Complex148	Ac-Cohesin Complex	chromosome, centromeric region	Reactome DB_ID: 2466014	Protein370	
Complex149	Orc4:Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68520	Complex150	
Complex149	Orc4:Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68520	Protein124	
Complex15	CCNB:p-T14-CDK1	cytosol	Reactome DB_ID: 170069	Protein96	
Complex15	CCNB:p-T14-CDK1	cytosol	Reactome DB_ID: 170069	Protein93	
Complex150	Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68517	Complex151	
Complex150	Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68517	Protein123	
Complex151	Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68514	Protein120	
Complex151	Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68514	Complex152	
Complex152	Orc2:origin	nucleoplasm	Reactome DB_ID: 68511	PhysicalEntity6	
Complex152	Orc2:origin	nucleoplasm	Reactome DB_ID: 68511	Protein122	
Complex153	Orc1:Orc4:Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68592	Complex149	
Complex153	Orc1:Orc4:Orc5:Orc3:Orc2:origin	nucleoplasm	Reactome DB_ID: 68592	Protein126	
Complex154	Cdt1:geminin	cytosol	Reactome DB_ID: 68537	Protein371	
Complex154	Cdt1:geminin	cytosol	Reactome DB_ID: 68537	Protein372	
Complex155	geminin:ubiquitin complex	cytosol	Reactome DB_ID: 68585	Protein9	
Complex155	geminin:ubiquitin complex	cytosol	Reactome DB_ID: 68585	Protein372	
Complex156	Cdt1:geminin	nucleoplasm	Reactome DB_ID: 156502	Protein373	
Complex156	Cdt1:geminin	nucleoplasm	Reactome DB_ID: 156502	Protein295	
Complex157	CCNA:p-T160-CDK2:E2F1/E2F3	nucleoplasm	Reactome DB_ID: 187932	Complex105	
Complex157	CCNA:p-T160-CDK2:E2F1/E2F3	nucleoplasm	Reactome DB_ID: 187932	Protein374	
Complex158	CCNA:p-T160-CDK2:p-E2F1/p-E2F3	nucleoplasm	Reactome DB_ID: 187944	Complex105	
Complex158	CCNA:p-T160-CDK2:p-E2F1/p-E2F3	nucleoplasm	Reactome DB_ID: 187944	Protein375	
Complex159	CCNA:CDK1	cytosol	Reactome DB_ID: 170091	Protein309	
Complex159	CCNA:CDK1	cytosol	Reactome DB_ID: 170091	Protein92	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein98	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein99	
Complex16	RPA heterotrimer	nucleoplasm	Reactome DB_ID: 68462	Protein100	
Complex160	CCNA:p-T14-CDK1	cytosol	Reactome DB_ID: 170085	Protein309	
Complex160	CCNA:p-T14-CDK1	cytosol	Reactome DB_ID: 170085	Protein96	
Complex161	CCNA:p-T14-CDK1	nucleoplasm	Reactome DB_ID: 170090	Protein170	
Complex161	CCNA:p-T14-CDK1	nucleoplasm	Reactome DB_ID: 170090	Protein378	
Complex162	CCNA:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170092	Protein170	
Complex162	CCNA:p-T14,T161-CDK1	nucleoplasm	Reactome DB_ID: 170092	Protein89	
Complex163	CCNA:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170147	Protein170	
Complex163	CCNA:p-T14,Y15,T161-CDK1	nucleoplasm	Reactome DB_ID: 170147	Protein91	
Complex164	CCNA:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170146	Protein170	
Complex164	CCNA:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170146	Protein380	
Complex165	CCNA1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 68892	Protein171	
Complex165	CCNA1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 68892	Protein380	
Complex166	CCNA2:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 68906	Protein172	
Complex166	CCNA2:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 68906	Protein380	
Complex168	Cyclin B1:phospho-Cdc2 ( Thr 14)	cytosol	Reactome DB_ID: 170048	Protein96	
Complex168	Cyclin B1:phospho-Cdc2 ( Thr 14)	cytosol	Reactome DB_ID: 170048	Protein94	
Complex169	Cyclin B1:phospho-Cdc2(Thr 161, Thr 14, Tyr 15)	cytosol	Reactome DB_ID: 170068	Protein383	
Complex169	Cyclin B1:phospho-Cdc2(Thr 161, Thr 14, Tyr 15)	cytosol	Reactome DB_ID: 170068	Protein94	
Complex17	RPA-ssDNA complex	nucleoplasm	Reactome DB_ID: 176293	Complex16	
Complex17	RPA-ssDNA complex	nucleoplasm	Reactome DB_ID: 176293	PhysicalEntity5	
Complex170	phospho-cyclin B1(CRS):phosph-Cdc2(Thr 161)	cytosol	Reactome DB_ID: 170047	Protein384	
Complex170	phospho-cyclin B1(CRS):phosph-Cdc2(Thr 161)	cytosol	Reactome DB_ID: 170047	Protein385	
Complex172	CCNB1:p-T14-CDK1	nucleoplasm	Reactome DB_ID: 170056	Protein378	
Complex172	CCNB1:p-T14-CDK1	nucleoplasm	Reactome DB_ID: 170056	Protein90	
Complex173	p-4S-CCNB1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170081	Protein386	
Complex173	p-4S-CCNB1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170081	Protein380	
Complex174	CCNB1:p-T161-CDK1	cytosol	Reactome DB_ID: 157456	Protein384	
Complex174	CCNB1:p-T161-CDK1	cytosol	Reactome DB_ID: 157456	Protein94	
Complex175	Phospho-Cyclin B1 (CRS):phospho-Cdc2(Thr 161)	cytosol	Reactome DB_ID: 170121	Protein384	
Complex175	Phospho-Cyclin B1 (CRS):phospho-Cdc2(Thr 161)	cytosol	Reactome DB_ID: 170121	Protein385	
Complex176	phospho-Cyclin B1(CRS):phospho-Cdc2 (Thr 161)	nucleoplasm	Reactome DB_ID: 170127	Protein386	
Complex176	phospho-Cyclin B1(CRS):phospho-Cdc2 (Thr 161)	nucleoplasm	Reactome DB_ID: 170127	Protein380	
Complex177	CCNB1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170160	Protein90	
Complex177	CCNB1:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 170160	Protein380	
Complex18	ATR-ATRIP-RPA-ssDNA signaling complex	nucleoplasm	Reactome DB_ID: 176281	Complex10	
Complex18	ATR-ATRIP-RPA-ssDNA signaling complex	nucleoplasm	Reactome DB_ID: 176281	Complex17	
Complex181	CCNB2:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 4088052	Protein380	
Complex181	CCNB2:p-T161-CDK1	nucleoplasm	Reactome DB_ID: 4088052	Protein395	
Complex182	PP2A-PPP2R2A	nucleoplasm	Reactome DB_ID: 4088142	Protein210	
Complex182	PP2A-PPP2R2A	nucleoplasm	Reactome DB_ID: 4088142	Protein215	
Complex182	PP2A-PPP2R2A	nucleoplasm	Reactome DB_ID: 4088142	Protein216	
Complex183	Cyclin B2:phospho-Cdc2(Thr 14, Thr 161)	cytosol	Reactome DB_ID: 170152	Protein95	
Complex183	Cyclin B2:phospho-Cdc2(Thr 14, Thr 161)	cytosol	Reactome DB_ID: 170152	Protein396	
Complex184	CCNB2:p-T161-CDK1	cytosol	Reactome DB_ID: 68898	Protein95	
Complex184	CCNB2:p-T161-CDK1	cytosol	Reactome DB_ID: 68898	Protein384	
Complex185	Centrosome:AURKA	cytosol	Reactome DB_ID: 2574827	Complex186	
Complex185	Centrosome:AURKA	cytosol	Reactome DB_ID: 2574827	Protein457	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein397	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein398	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein399	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein400	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein401	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein402	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein403	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein404	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein405	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein406	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein407	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein408	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein409	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein410	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein411	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein412	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein413	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein414	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein415	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein416	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein417	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein418	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein419	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein420	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein421	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein422	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein423	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein424	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein391	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein425	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein426	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein427	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein428	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein429	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein430	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein431	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein432	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein433	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein434	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein435	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein436	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein437	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein92	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein438	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein439	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein440	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein441	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein442	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein443	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein444	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein445	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein446	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein447	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein448	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein449	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein450	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein451	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein452	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein453	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein454	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein455	
Complex186	centrosome	cytosol	Reactome DB_ID: 380268	Protein456	
Complex187	Centrosome:AURKA:AJUBA	cytosol	Reactome DB_ID: 2574836	Complex185	
Complex187	Centrosome:AURKA:AJUBA	cytosol	Reactome DB_ID: 2574836	Protein458	
Complex188	Centrosome:p-T288-AURKA	cytosol	Reactome DB_ID: 3000302	Complex186	
Complex188	Centrosome:p-T288-AURKA	cytosol	Reactome DB_ID: 3000302	Protein460	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein101	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein102	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein103	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein104	
Complex19	Rad17-RFC complex	nucleoplasm	Reactome DB_ID: 176353	Protein105	
