Complex1	Transthyretin tetramer	extracellular region	Reactome DB_ID: 2426300	Protein3	
Complex45	Protein Kinase C, alpha type: DAG	plasma membrane	Reactome DB_ID: 422275	SmallMolecule2	
Complex45	Protein Kinase C, alpha type: DAG	plasma membrane	Reactome DB_ID: 422275	Protein58	
Complex46	Syndecan-4:PI(4,5)P2:Protein kinase C, alpha type:DAG	plasma membrane	Reactome DB_ID: 2750166	Complex45	
Complex46	Syndecan-4:PI(4,5)P2:Protein kinase C, alpha type:DAG	plasma membrane	Reactome DB_ID: 2750166	Complex44	
Complex47	Syndecan-1, 2 & 4:VTN	plasma membrane	Reactome DB_ID: 2731126	PhysicalEntity16	
Complex47	Syndecan-1, 2 & 4:VTN	plasma membrane	Reactome DB_ID: 2731126	Protein59	
Complex48	SDC1,2,4,(3):FGF2	plasma membrane	Reactome DB_ID: 2684512	PhysicalEntity17	
Complex48	SDC1,2,4,(3):FGF2	plasma membrane	Reactome DB_ID: 2684512	Protein2	
Complex49	Syndecans 2, (4):TGFB1	plasma membrane	Reactome DB_ID: 2731087	Protein67	
Complex49	Syndecans 2, (4):TGFB1	plasma membrane	Reactome DB_ID: 2731087	PhysicalEntity18	
Complex50	TNC:Syndecan-3	plasma membrane	Reactome DB_ID: 2682267	Protein68	
Complex50	TNC:Syndecan-3	plasma membrane	Reactome DB_ID: 2682267	Protein60	
Complex6	Merosin	extracellular region	Reactome DB_ID: 216003	Protein6	
Complex6	Merosin	extracellular region	Reactome DB_ID: 216003	Protein7	
Complex6	Merosin	extracellular region	Reactome DB_ID: 216003	Protein8	
Complex7	Laminin-1	extracellular region	Reactome DB_ID: 215989	Protein6	
Complex7	Laminin-1	extracellular region	Reactome DB_ID: 215989	Protein8	
Complex7	Laminin-1	extracellular region	Reactome DB_ID: 215989	Protein9	
Complex8	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein10	
Complex8	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein11	
Complex8	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein12	
Complex9	Laminin-3	extracellular region	Reactome DB_ID: 2328169	Protein6	
Complex9	Laminin-3	extracellular region	Reactome DB_ID: 2328169	Protein13	
Complex9	Laminin-3	extracellular region	Reactome DB_ID: 2328169	Protein9	
