BiochemicalReaction1	The signal peptide is excised from beta-NGF pre-pro-precursor	Protein1	Protein2	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein56	SmallMolecule3	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	SmallMolecule2	SmallMolecule3	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein57	SmallMolecule3	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein57	Protein58	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	SmallMolecule2	Protein58	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein56	Protein58	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein57	Protein59	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	SmallMolecule2	Protein59	
BiochemicalReaction13	JNK phosphorylates BIM, BAD and other targets	Protein56	Protein59	
BiochemicalReaction130	PIP3 recruits AKT to the membrane	Protein384	Complex242	
BiochemicalReaction130	PIP3 recruits AKT to the membrane	SmallMolecule32	Complex242	
BiochemicalReaction131	PIP3 recruits PDPK1 to the membrane	Protein392	Complex243	
BiochemicalReaction131	PIP3 recruits PDPK1 to the membrane	SmallMolecule32	Complex243	
BiochemicalReaction132	TORC2 (mTOR) phosphorylates AKT at S473	SmallMolecule2	SmallMolecule3	
BiochemicalReaction132	TORC2 (mTOR) phosphorylates AKT at S473	Complex242	SmallMolecule3	
BiochemicalReaction132	TORC2 (mTOR) phosphorylates AKT at S473	Complex242	Complex244	
BiochemicalReaction132	TORC2 (mTOR) phosphorylates AKT at S473	SmallMolecule2	Complex244	
BiochemicalReaction133	AKT binds PDPK1	Complex243	Complex247	
BiochemicalReaction133	AKT binds PDPK1	Complex244	Complex247	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	Complex247	Complex243	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	SmallMolecule2	Complex243	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	SmallMolecule2	SmallMolecule3	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	Complex247	SmallMolecule3	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	SmallMolecule2	Protein405	
BiochemicalReaction134	PDPK1 phosphorylates AKT at T308	Complex247	Protein405	
BiochemicalReaction135	AKT phosphorylates BAD	SmallMolecule2	SmallMolecule3	
BiochemicalReaction135	AKT phosphorylates BAD	Protein57	SmallMolecule3	
BiochemicalReaction135	AKT phosphorylates BAD	Protein57	Protein409	
BiochemicalReaction135	AKT phosphorylates BAD	SmallMolecule2	Protein409	
BiochemicalReaction136	AKT phosphorylates GSK3	SmallMolecule2	SmallMolecule3	
BiochemicalReaction136	AKT phosphorylates GSK3	Protein410	SmallMolecule3	
BiochemicalReaction136	AKT phosphorylates GSK3	Protein410	Protein413	
BiochemicalReaction136	AKT phosphorylates GSK3	SmallMolecule2	Protein413	
BiochemicalReaction137	AKT phosphorylates caspase-9	Protein416	SmallMolecule3	
BiochemicalReaction137	AKT phosphorylates caspase-9	SmallMolecule2	SmallMolecule3	
BiochemicalReaction137	AKT phosphorylates caspase-9	SmallMolecule2	Protein417	
BiochemicalReaction137	AKT phosphorylates caspase-9	Protein416	Protein417	
BiochemicalReaction138	AKT phosphorylates MDM2	SmallMolecule2	Protein419	
BiochemicalReaction138	AKT phosphorylates MDM2	Protein418	Protein419	
BiochemicalReaction138	AKT phosphorylates MDM2	Protein418	SmallMolecule3	
BiochemicalReaction138	AKT phosphorylates MDM2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction139	AKT phosphorylates IKKalpha	Protein420	SmallMolecule3	
BiochemicalReaction139	AKT phosphorylates IKKalpha	SmallMolecule2	SmallMolecule3	
BiochemicalReaction139	AKT phosphorylates IKKalpha	SmallMolecule2	Protein421	
BiochemicalReaction139	AKT phosphorylates IKKalpha	Protein420	Protein421	
BiochemicalReaction14	Active JNK moves to the nucleus and phosphorylates different transcription factors	Protein16	Protein60	
BiochemicalReaction140	AKT phosphorylates p21Cip1 and p27Kip1	Protein422	Protein425	
BiochemicalReaction140	AKT phosphorylates p21Cip1 and p27Kip1	SmallMolecule2	Protein425	
BiochemicalReaction140	AKT phosphorylates p21Cip1 and p27Kip1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction140	AKT phosphorylates p21Cip1 and p27Kip1	Protein422	SmallMolecule3	
BiochemicalReaction141	AKT phosphorylates TSC2, inhibiting it	Protein428	SmallMolecule3	
BiochemicalReaction141	AKT phosphorylates TSC2, inhibiting it	SmallMolecule2	SmallMolecule3	
BiochemicalReaction141	AKT phosphorylates TSC2, inhibiting it	SmallMolecule2	Protein429	
BiochemicalReaction141	AKT phosphorylates TSC2, inhibiting it	Protein428	Protein429	
BiochemicalReaction142	AKT phosphorylates AKT1S1 (PRAS40)	Protein430	Protein431	
BiochemicalReaction142	AKT phosphorylates AKT1S1 (PRAS40)	SmallMolecule2	Protein431	
BiochemicalReaction142	AKT phosphorylates AKT1S1 (PRAS40)	SmallMolecule2	SmallMolecule3	
BiochemicalReaction142	AKT phosphorylates AKT1S1 (PRAS40)	Protein430	SmallMolecule3	
BiochemicalReaction143	AKT translocates to the nucleus	Protein405	Protein432	
BiochemicalReaction144	AKT phosphorylates CREB1	SmallMolecule28	SmallMolecule29	
BiochemicalReaction144	AKT phosphorylates CREB1	Protein273	SmallMolecule29	
BiochemicalReaction144	AKT phosphorylates CREB1	Protein273	Protein274	
BiochemicalReaction144	AKT phosphorylates CREB1	SmallMolecule28	Protein274	
BiochemicalReaction145	AKT can phosphorylate forkhead box transcription factors	Protein436	SmallMolecule29	
BiochemicalReaction145	AKT can phosphorylate forkhead box transcription factors	SmallMolecule28	SmallMolecule29	
BiochemicalReaction145	AKT can phosphorylate forkhead box transcription factors	SmallMolecule28	Protein441	
BiochemicalReaction145	AKT can phosphorylate forkhead box transcription factors	Protein436	Protein441	
BiochemicalReaction146	AKT can phosphorylate RSK	SmallMolecule28	SmallMolecule29	
BiochemicalReaction146	AKT can phosphorylate RSK	Protein446	SmallMolecule29	
BiochemicalReaction146	AKT can phosphorylate RSK	Protein446	Protein447	
BiochemicalReaction146	AKT can phosphorylate RSK	SmallMolecule28	Protein447	
BiochemicalReaction147	AKT can phosphorylate NR4A1 (NUR77)	SmallMolecule28	Protein449	
BiochemicalReaction147	AKT can phosphorylate NR4A1 (NUR77)	Protein448	Protein449	
BiochemicalReaction147	AKT can phosphorylate NR4A1 (NUR77)	Protein448	SmallMolecule29	
BiochemicalReaction147	AKT can phosphorylate NR4A1 (NUR77)	SmallMolecule28	SmallMolecule29	
BiochemicalReaction148	PTEN dephosphorylates PIP3	SmallMolecule9	SmallMolecule35	
BiochemicalReaction148	PTEN dephosphorylates PIP3	SmallMolecule32	SmallMolecule35	
BiochemicalReaction148	PTEN dephosphorylates PIP3	SmallMolecule32	SmallMolecule21	
BiochemicalReaction148	PTEN dephosphorylates PIP3	SmallMolecule9	SmallMolecule21	
BiochemicalReaction149	THEM4 (CTMP) and/or TRIB3 inhibit AKT phosphorylation	Protein402	Complex246	
BiochemicalReaction149	THEM4 (CTMP) and/or TRIB3 inhibit AKT phosphorylation	Complex242	Complex246	
BiochemicalReaction15	NRIF binds to p75NTR	Complex9	Complex14	
BiochemicalReaction15	NRIF binds to p75NTR	Protein61	Complex14	
BiochemicalReaction150	PHLPP dephosphorylates S473 in AKT	Protein405	SmallMolecule35	
BiochemicalReaction150	PHLPP dephosphorylates S473 in AKT	SmallMolecule9	SmallMolecule35	
BiochemicalReaction150	PHLPP dephosphorylates S473 in AKT	SmallMolecule9	Protein451	
BiochemicalReaction150	PHLPP dephosphorylates S473 in AKT	Protein405	Protein451	
BiochemicalReaction151	PDPK1 binds PIP2	SmallMolecule21	Complex250	
BiochemicalReaction151	PDPK1 binds PIP2	Protein392	Complex250	
BiochemicalReaction152	MIR26A microRNAs bind PTEN mRNA	Complex251	Complex256	
BiochemicalReaction152	MIR26A microRNAs bind PTEN mRNA	Rna4	Complex256	
BiochemicalReaction153	PTEN mRNA translation negatively regulated by microRNAs	Rna4	Complex248	
BiochemicalReaction154	STAT3 activation	SmallMolecule2	SmallMolecule3	
BiochemicalReaction154	STAT3 activation	Protein468	SmallMolecule3	
BiochemicalReaction154	STAT3 activation	Protein468	Protein469	
BiochemicalReaction154	STAT3 activation	SmallMolecule2	Protein469	
BiochemicalReaction155	ERK5 is activated	Protein470	SmallMolecule3	
BiochemicalReaction155	ERK5 is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction155	ERK5 is activated	SmallMolecule2	Protein471	
BiochemicalReaction155	ERK5 is activated	Protein470	Protein471	
BiochemicalReaction156	ERK5 translocates to the nucleus	Protein471	Protein473	
BiochemicalReaction157	Formation of clathrin-coated vesicle	Complex257	Complex260	
BiochemicalReaction157	Formation of clathrin-coated vesicle	Complex68	Complex260	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Protein481	SmallMolecule35	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule4	SmallMolecule35	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Complex260	SmallMolecule35	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule9	SmallMolecule35	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule9	SmallMolecule7	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Complex260	SmallMolecule7	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule4	SmallMolecule7	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Protein481	SmallMolecule7	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule9	Complex261	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Complex260	Complex261	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule4	Complex261	
BiochemicalReaction158	Endocytosis (internalization) of clathrin-coated vesicle	Protein481	Complex261	
BiochemicalReaction159	Axonal transport of NGF:Trk complexes	Complex261	Complex262	
BiochemicalReaction16	TRAF6 binds to p75NTR:NRIF	Complex15	Complex16	
BiochemicalReaction16	TRAF6 binds to p75NTR:NRIF	Complex14	Complex16	
BiochemicalReaction160	ERK1/2 activates ELK1	SmallMolecule28	SmallMolecule29	
BiochemicalReaction160	ERK1/2 activates ELK1	Protein487	SmallMolecule29	
BiochemicalReaction160	ERK1/2 activates ELK1	Protein487	Protein488	
BiochemicalReaction160	ERK1/2 activates ELK1	SmallMolecule28	Protein488	
BiochemicalReaction161	ERK1/2 phosphorylates MSK1	SmallMolecule28	SmallMolecule29	
BiochemicalReaction161	ERK1/2 phosphorylates MSK1	Protein489	SmallMolecule29	
BiochemicalReaction161	ERK1/2 phosphorylates MSK1	Protein489	Protein490	
BiochemicalReaction161	ERK1/2 phosphorylates MSK1	SmallMolecule28	Protein490	
BiochemicalReaction162	p38MAPK phosphorylates MSK1	SmallMolecule28	SmallMolecule29	
BiochemicalReaction162	p38MAPK phosphorylates MSK1	Protein489	SmallMolecule29	
BiochemicalReaction162	p38MAPK phosphorylates MSK1	Protein489	Protein490	
BiochemicalReaction162	p38MAPK phosphorylates MSK1	SmallMolecule28	Protein490	
BiochemicalReaction163	ERK1/2/5 activate RSK1/2/3	SmallMolecule28	Protein498	
BiochemicalReaction163	ERK1/2/5 activate RSK1/2/3	Protein494	Protein498	
BiochemicalReaction163	ERK1/2/5 activate RSK1/2/3	Protein494	SmallMolecule29	
BiochemicalReaction163	ERK1/2/5 activate RSK1/2/3	SmallMolecule28	SmallMolecule29	
BiochemicalReaction164	ERK5 activates the transcription factor MEF2	Protein503	SmallMolecule29	
BiochemicalReaction164	ERK5 activates the transcription factor MEF2	SmallMolecule28	SmallMolecule29	
BiochemicalReaction164	ERK5 activates the transcription factor MEF2	SmallMolecule28	Protein506	
BiochemicalReaction164	ERK5 activates the transcription factor MEF2	Protein503	Protein506	
BiochemicalReaction165	ERKs are inactivated by protein phosphatase 2A	Protein502	SmallMolecule38	
BiochemicalReaction165	ERKs are inactivated by protein phosphatase 2A	SmallMolecule37	SmallMolecule38	
BiochemicalReaction165	ERKs are inactivated by protein phosphatase 2A	SmallMolecule37	Protein509	
BiochemicalReaction165	ERKs are inactivated by protein phosphatase 2A	Protein502	Protein509	
BiochemicalReaction166	ERKs are inactivated by dual-specific phosphatases (DUSPs)	Protein502	SmallMolecule38	
BiochemicalReaction166	ERKs are inactivated by dual-specific phosphatases (DUSPs)	SmallMolecule37	SmallMolecule38	
BiochemicalReaction166	ERKs are inactivated by dual-specific phosphatases (DUSPs)	SmallMolecule37	Protein509	
BiochemicalReaction166	ERKs are inactivated by dual-specific phosphatases (DUSPs)	Protein502	Protein509	
BiochemicalReaction167	MSK1 activates CREB	SmallMolecule28	SmallMolecule29	
BiochemicalReaction167	MSK1 activates CREB	Protein273	SmallMolecule29	
BiochemicalReaction167	MSK1 activates CREB	Protein273	Protein274	
BiochemicalReaction167	MSK1 activates CREB	SmallMolecule28	Protein274	
BiochemicalReaction168	MSK1 activates ATF1	Protein525	Protein526	
BiochemicalReaction168	MSK1 activates ATF1	SmallMolecule28	Protein526	
BiochemicalReaction168	MSK1 activates ATF1	SmallMolecule28	SmallMolecule29	
BiochemicalReaction168	MSK1 activates ATF1	Protein525	SmallMolecule29	
BiochemicalReaction169	RSK1/2/3 phosphorylates CREB at Serine 133	SmallMolecule28	SmallMolecule29	
BiochemicalReaction169	RSK1/2/3 phosphorylates CREB at Serine 133	Protein273	SmallMolecule29	
BiochemicalReaction169	RSK1/2/3 phosphorylates CREB at Serine 133	Protein273	Protein274	
BiochemicalReaction169	RSK1/2/3 phosphorylates CREB at Serine 133	SmallMolecule28	Protein274	
BiochemicalReaction17	NRIF and TRAF6 may activate JNK	Protein15	SmallMolecule3	
BiochemicalReaction17	NRIF and TRAF6 may activate JNK	SmallMolecule2	SmallMolecule3	
BiochemicalReaction17	NRIF and TRAF6 may activate JNK	SmallMolecule2	Protein16	
BiochemicalReaction17	NRIF and TRAF6 may activate JNK	Protein15	Protein16	
BiochemicalReaction170	MAPKAPK2 phosphorylates CREB at Serine 133	SmallMolecule28	SmallMolecule29	
BiochemicalReaction170	MAPKAPK2 phosphorylates CREB at Serine 133	Protein273	SmallMolecule29	
BiochemicalReaction170	MAPKAPK2 phosphorylates CREB at Serine 133	Protein273	Protein274	
BiochemicalReaction170	MAPKAPK2 phosphorylates CREB at Serine 133	SmallMolecule28	Protein274	
BiochemicalReaction18	gamma-secretase cleaves p75NTR, releasing NRIF and TRAF6	Complex16	Complex15	
BiochemicalReaction18	gamma-secretase cleaves p75NTR, releasing NRIF and TRAF6	Complex16	Complex9	
BiochemicalReaction18	gamma-secretase cleaves p75NTR, releasing NRIF and TRAF6	Complex16	Protein61	
BiochemicalReaction19	TRAF6 polyubiquitinates NRIF	Protein61	Complex20	
BiochemicalReaction19	TRAF6 polyubiquitinates NRIF	Complex19	Complex20	
BiochemicalReaction2	pro-beta-NGF dimerizes	Protein2	Complex1	
BiochemicalReaction20	Polyubiquitinated NRIF binds to p62 (Sequestosome)	Protein84	Complex21	
BiochemicalReaction20	Polyubiquitinated NRIF binds to p62 (Sequestosome)	Complex20	Complex21	
BiochemicalReaction21	Polyubiquitinated NRIF migrates to the nucleus	Complex21	Complex22	
BiochemicalReaction22	p75NTR binds to NADE	Complex9	Complex24	
BiochemicalReaction22	p75NTR binds to NADE	Protein102	Complex24	
BiochemicalReaction23	p75NTR:NADE promotes caspase2/3 activation	Protein103	Complex25	
BiochemicalReaction24	14-3-3epsilon attentuates NADE-related apoptosis	Complex24	Complex31	
BiochemicalReaction24	14-3-3epsilon attentuates NADE-related apoptosis	Complex30	Complex31	
BiochemicalReaction25	PRDM4 (SC1) binds to p75NTR	Complex9	Complex32	
BiochemicalReaction25	PRDM4 (SC1) binds to p75NTR	Protein111	Complex32	
BiochemicalReaction26	PRDM4 translocates to the nucleus	Protein111	Protein112	
BiochemicalReaction27	PRDM4 inhibits cyclin E transcription	Protein112	Complex33	
BiochemicalReaction27	PRDM4 inhibits cyclin E transcription	Protein113	Complex33	
BiochemicalReaction28	p75NTR interacts with RIP2	Complex9	Complex34	
BiochemicalReaction28	p75NTR interacts with RIP2	Protein117	Complex34	
BiochemicalReaction29	p75NTR interacts with IRAK:MYD88	Complex9	Complex37	
BiochemicalReaction29	p75NTR interacts with IRAK:MYD88	Complex35	Complex37	
BiochemicalReaction3	pro-beta-NGF homodimer transits to the golgi apparatus	Complex1	Complex2	
BiochemicalReaction30	IRAK is activated	Complex37	SmallMolecule3	
BiochemicalReaction30	IRAK is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction30	IRAK is activated	SmallMolecule2	Complex38	
BiochemicalReaction30	IRAK is activated	Complex37	Complex38	
BiochemicalReaction31	IRAK interacts with TRAF6	Protein62	Complex39	
BiochemicalReaction31	IRAK interacts with TRAF6	Complex38	Complex39	
BiochemicalReaction32	MYD88 dissociates	Complex39	Complex40	
BiochemicalReaction32	MYD88 dissociates	Complex39	Complex36	
BiochemicalReaction33	p62 is recruited and forms a complex with TRAF6	Complex40	Complex41	
BiochemicalReaction33	p62 is recruited and forms a complex with TRAF6	Protein84	Complex41	
BiochemicalReaction34	TRAF6 is auto-ubiquitinated	Protein69	Complex42	
BiochemicalReaction34	TRAF6 is auto-ubiquitinated	Complex41	Complex42	
BiochemicalReaction35	p62 recruits an atypical PKC	Protein123	Complex43	
BiochemicalReaction35	p62 recruits an atypical PKC	Complex41	Complex43	
BiochemicalReaction36	IKK-beta is recruited	Complex44	Complex45	
BiochemicalReaction36	IKK-beta is recruited	Complex41	Complex45	
BiochemicalReaction37	IKKbeta is activated	Complex45	SmallMolecule3	
BiochemicalReaction37	IKKbeta is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction37	IKKbeta is activated	SmallMolecule2	Complex46	
BiochemicalReaction37	IKKbeta is activated	Complex45	Complex46	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex48	Complex49	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	Complex49	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	SmallMolecule3	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex48	SmallMolecule3	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	Protein129	
BiochemicalReaction38	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex48	Protein129	
BiochemicalReaction39	IkB is ubiquitinated and degraded	Protein69	Complex50	
BiochemicalReaction39	IkB is ubiquitinated and degraded	Protein129	Complex50	
BiochemicalReaction4	Part of pro-beta-NGF is processed to mature beta-NGF	Complex2	Complex3	
BiochemicalReaction40	NF-kB migrates to the nucleus and turns on transcription	Complex49	Complex51	
BiochemicalReaction41	Sphingomyelinase is activated by the NGF:p75NTR complex	Protein132	Complex52	
BiochemicalReaction41	Sphingomyelinase is activated by the NGF:p75NTR complex	SmallMolecule8	Complex52	
BiochemicalReaction42	Production of ceramide which can activate JNK and other targets	SmallMolecule9	SmallMolecule11	
BiochemicalReaction42	Production of ceramide which can activate JNK and other targets	SmallMolecule10	SmallMolecule11	
